onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument
29.0,30.0,70,B-4,1.0,0,8,2.0,trumpet2
30.0,31.0,70,B-4,1.0,0,8,3.0,trumpet2
31.0,32.0,70,B-4,1.0,0,8,4.0,trumpet2
32.5,33.0,59,C-4,0.5,0,9,1.5,trumpet2
33.5,34.0,59,C-4,0.5,0,9,2.5,trumpet2
34.5,35.0,59,C-4,0.5,0,9,3.5,trumpet2
35.5,36.0,59,C-4,0.5,0,9,4.5,trumpet2
36.0,38.0,64,F-4,2.0,0,10,1.0,trumpet2
38.0,39.0,66,G-4,1.0,0,10,3.0,trumpet2
39.0,40.0,67,A--4,1.0,0,10,4.0,trumpet2
40.0,41.5,66,G-4,1.5,0,11,1.0,trumpet2
41.5,42.0,64,F-4,0.5,0,11,2.5,trumpet2
42.0,44.0,64,F-4,2.0,0,11,3.0,trumpet2
44.0,46.0,64,F-4,2.0,0,12,1.0,trumpet2
46.0,47.0,62,E--4,1.0,0,12,3.0,trumpet2
47.0,47.5,59,C-4,0.5,0,12,4.0,trumpet2
47.5,48.0,62,E--4,0.5,0,12,4.5,trumpet2
48.0,51.0,64,F-4,3.0,0,13,1.0,trumpet2
51.0,52.0,64,F-4,1.0,0,13,4.0,trumpet2
52.0,54.0,64,F-4,2.0,0,14,1.0,trumpet2
54.0,55.0,66,G-4,1.0,0,14,3.0,trumpet2
55.0,56.0,67,A--4,1.0,0,14,4.0,trumpet2
56.0,57.5,66,G-4,1.5,0,15,1.0,trumpet2
57.5,58.0,64,F-4,0.5,0,15,2.5,trumpet2
58.0,60.0,64,F-4,2.0,0,15,3.0,trumpet2
60.0,61.0,64,F-4,1.0,0,16,1.0,trumpet2
61.0,61.333333333333336,67,A--4,0.3333333333333333,0,16,2.0,trumpet2
61.333333333333336,61.66666666666667,64,F-4,0.3333333333333333,0,16,2.333333333333333,trumpet2
61.66666666666666,62.0,67,A--4,0.3333333333333333,0,16,2.6666666666666665,trumpet2
62.0,63.0,71,C-5,1.0,0,16,3.0,trumpet2
63.0,64.0,59,C-4,1.0,0,16,4.0,trumpet2
64.0,66.5,64,F-4,2.5,0,17,1.0,trumpet2
68.0,70.0,64,F-4,2.0,0,18,1.0,trumpet2
70.0,71.0,66,G-4,1.0,0,18,3.0,trumpet2
71.0,72.0,67,A--4,1.0,0,18,4.0,trumpet2
72.0,73.5,66,G-4,1.5,0,19,1.0,trumpet2
73.5,74.0,64,F-4,0.5,0,19,2.5,trumpet2
74.0,76.0,64,F-4,2.0,0,19,3.0,trumpet2
76.0,78.0,64,F-4,2.0,0,20,1.0,trumpet2
78.0,79.0,62,E--4,1.0,0,20,3.0,trumpet2
79.0,79.5,59,C-4,0.5,0,20,4.0,trumpet2
79.5,80.0,62,E--4,0.5,0,20,4.5,trumpet2
80.0,82.0,64,F-4,2.0,0,21,1.0,trumpet2
83.0,84.0,64,F-4,1.0,0,21,4.0,trumpet2
84.0,86.0,64,F-4,2.0,0,22,1.0,trumpet2
86.0,87.0,66,G-4,1.0,0,22,3.0,trumpet2
87.0,88.0,67,A--4,1.0,0,22,4.0,trumpet2
88.0,89.5,66,G-4,1.5,0,23,1.0,trumpet2
89.5,90.0,64,F-4,0.5,0,23,2.5,trumpet2
90.0,92.0,64,F-4,2.0,0,23,3.0,trumpet2
92.0,93.0,64,F-4,1.0,0,24,1.0,trumpet2
93.0,93.33333333333331,67,A--4,0.3333333333333333,0,24,2.0,trumpet2
93.33333333333331,93.66666666666666,64,F-4,0.3333333333333333,0,24,2.333333333333333,trumpet2
93.66666666666669,94.0,67,A--4,0.3333333333333333,0,24,2.6666666666666665,trumpet2
94.0,95.0,71,C-5,1.0,0,24,3.0,trumpet2
95.0,96.0,59,C-4,1.0,0,24,4.0,trumpet2
96.0,98.5,64,F-4,2.5,0,25,1.0,trumpet2
132.0,133.0,71,C-5,1.0,0,34,1.0,trumpet2
136.0,137.0,64,E4,1.0,0,35,1.0,trumpet2
140.0,141.0,71,B4,1.0,0,36,1.0,trumpet2
142.0,143.0,71,B4,1.0,0,36,3.0,trumpet2
144.0,145.0,71,B4,1.0,0,37,1.0,trumpet2
148.0,149.0,71,B4,1.0,0,38,1.0,trumpet2
152.0,153.0,69,B--4,1.0,0,39,1.0,trumpet2
153.0,153.5,67,A--4,0.5,0,39,2.0,trumpet2
153.5,154.0,69,B--4,0.5,0,39,2.5,trumpet2
154.0,156.0,71,C-5,2.0,0,39,3.0,trumpet2
156.0,158.0,72,C5,2.0,0,40,1.0,trumpet2
158.0,159.0,72,C5,1.0,0,40,3.0,trumpet2
159.0,160.0,71,C-5,1.0,0,40,4.0,trumpet2
160.0,162.0,72,C5,2.0,0,41,1.0,trumpet2
162.0,163.0,72,C5,1.0,0,41,3.0,trumpet2
163.0,164.0,71,C-5,1.0,0,41,4.0,trumpet2
164.0,165.0,72,C5,1.0,0,42,1.0,trumpet2
165.0,165.5,72,C5,0.5,0,42,2.0,trumpet2
165.5,166.0,71,C-5,0.5,0,42,2.5,trumpet2
166.0,167.0,72,C5,1.0,0,42,3.0,trumpet2
167.0,167.5,72,C5,0.5,0,42,4.0,trumpet2
167.5,168.0,71,C-5,0.5,0,42,4.5,trumpet2
168.0,169.0,72,C5,1.0,0,43,1.0,trumpet2
169.0,169.5,72,C5,0.5,0,43,2.0,trumpet2
169.5,170.0,71,C-5,0.5,0,43,2.5,trumpet2
170.0,170.5,72,C5,0.5,0,43,3.0,trumpet2
170.5,171.0,71,C-5,0.5,0,43,3.5,trumpet2
171.0,171.5,72,C5,0.5,0,43,4.0,trumpet2
171.5,172.0,71,C-5,0.5,0,43,4.5,trumpet2
172.0,172.5,64,F-4,0.5,0,44,1.0,trumpet2
174.0,174.5,64,F-4,0.5,0,44,3.0,trumpet2
176.0,176.5,64,F-4,0.5,0,45,1.0,trumpet2
184.0,184.5,64,F-4,0.5,0,47,1.0,trumpet2
186.0,186.5,64,F-4,0.5,0,47,3.0,trumpet2
188.0,188.5,64,F-4,0.5,0,48,1.0,trumpet2
191.0,191.5,64,F-4,0.5,0,48,4.0,trumpet2
192.0,192.5,71,C-5,0.5,0,49,1.0,trumpet2
193.0,193.5,71,C-5,0.5,0,49,2.0,trumpet2
194.0,194.5,64,F-4,0.5,0,49,3.0,trumpet2
212.0,212.5,64,F-4,0.5,0,54,1.0,trumpet2
214.0,214.5,64,F-4,0.5,0,54,3.0,trumpet2
216.0,216.5,64,F-4,0.5,0,55,1.0,trumpet2
224.0,224.5,64,F-4,0.5,0,57,1.0,trumpet2
225.0,225.5,67,A--4,0.5,0,57,2.0,trumpet2
226.0,226.5,64,F-4,0.5,0,57,3.0,trumpet2
227.0,227.5,67,A--4,0.5,0,57,4.0,trumpet2
228.0,228.5,64,F-4,0.5,0,58,1.0,trumpet2
232.0,232.5,59,C-4,0.5,0,59,1.0,trumpet2
237.0,238.0,64,F-4,1.0,0,60,2.0,trumpet2
239.0,240.0,64,F-4,1.0,0,60,4.0,trumpet2
241.0,242.0,64,F-4,1.0,0,61,2.0,trumpet2
243.0,244.0,64,F-4,1.0,0,61,4.0,trumpet2
364.0,366.0,71,C-5,2.0,0,92,1.0,trumpet2
366.5,366.75,71,C-5,0.25,0,92,3.5,trumpet2
