onset,offset,role
28,32,rhythm+harm
32,36,rhythm
36,100,rhythm+harm
131,152,mel
152,164,rhythm+harm
164,172,rhythm
172,192,harm
192,196,rhythm
196,213,mel+harm
213,236,harm
236,244,rhythm
244,252,rhythm
256,261,rhythm+harm
348,364,harm
364,396,harm
412,420,harm
420,436,rhythm
436,444,rhythm
444,452,mel+harm
592,596,mel+harm
600,605,mel+harm
684,700,rhythm
700,708,harm
708,724,rhythm
724,732,harm
732,748,rhythm
756,772,mel
772,780,rhythm+harm
780,788,rhythm+harm
788,796,harm
796,812,rhythm
812,836,harm
836,852,rhythm+harm
984,1000,harm
1000,1032,harm
1032,1049,mel+rhythm
1048,1065,mel
1096,1112,mel
1112,1120,harm
1120,1144,rhythm
1144,1152,mel+rhythm
1152,1168,harm
1168,1176,rhythm+harm
1176,1192,rhythm
1192,1216,rhythm+harm
1216,1249,harm
1304,1312,mel
1304,1312,rhythm+harm
1312,1320,rhythm+harm
1320,1344,harm
1344,1356,rhythm
1356,1373,mel+rhythm
1376,1392,rhythm
