onset,offset,role
28,40.0,mel
36,100.0,rhythm+harm
131,152.0,mel
152,164.0,rhythm+harm
164,172.0,rhythm
172,196.0,rhythm+harm
196,212.0,mel
212,236.0,rhythm+harm
236,244.0,rhythm
244,256.0,rhythm
256,264.0,harm
356,364.0,mel+harm
364,396.0,mel
396,412.0,mel
412,420.0,mel
436,452.0,mel
452,471.0,harm
510,524.0,mel
524,542.0,harm
542,556.0,mel
556,574.0,harm
576,582.0,rhythm
584,590.0,rhythm
592,598.0,rhythm
600,607.0,rhythm
620,636.0,mel
636,644.0,harm
644,660.0,mel
660,667.0,harm
668,683.0,mel
684,700.0,rhythm
700,708.0,harm
708,724.0,rhythm
724,732.0,harm
732,744.0,rhythm
744,756.0,mel+rhythm
756,772.0,harm
772,780.0,rhythm+harm
780,788.0,rhythm+harm
788,796.0,harm
796,812.0,rhythm
812,836.0,harm
836,853.0,rhythm+harm
968,1000.0,mel
1000,1032.0,mel
1032,1048.0,mel
1048,1052.0,rhythm
1052,1056.0,harm
1056,1060.0,rhythm
1060,1067.0,harm
1072,1078.0,mel
1096,1120.0,harm
1120,1144.0,rhythm
1144,1152.0,rhythm
1152,1168.0,harm
1168,1184.0,rhythm+harm
1184,1192.0,mel+rhythm
1192,1216.0,rhythm+harm
1216,1226.5,harm
1304,1328.0,mel
1328,1344.0,harm
1344,1356.0,mel+rhythm
1356,1375.0,rhythm
1376,1393.5,rhythm
