onset,offset,role
28,32,rhythm+harm
32,36,rhythm
36,100,rhythm+harm
132,164,rhythm+harm
164,172,rhythm
172,196,rhythm+harm
212,236,rhythm+harm
236,244,rhythm
364,396,rhythm
396,412,rhythm+harm
412,420,mel+rhythm
700,708,mel
724,732,mel
756,772,harm
772,780,rhythm+harm
780,789,mel
828,852,mel
852,868,harm
1112,1120,mel
1120,1145,mel
1152,1160,mel
1160,1168,harm
1168,1192,rhythm+harm
1192,1216,rhythm+harm
1216,1225,harm
1288,1301,harm
1312,1320,rhythm+harm
1320,1328,harm
1328,1344,mel
1344,1356,mel+rhythm
1356,1373,mel+rhythm
1376,1389,rhythm
