onset,offset,role
0,12,mel
12,20,mel
20,28,mel
28,40,mel
36,64,rhythm+harm
64,68,mel+rhythm
68,96,rhythm+harm
96,100,mel+rhythm
100,131,mel
131,172,mel
172,196,mel
196,212,rhythm
212,264,mel
264,330,harm
330,364,mel
364,420,mel
420,436,mel
452,468,mel
468,484,mel
484,509,harm
510,520,mel+rhythm
520,540,rhythm+harm
540,552,mel+rhythm
552,573,rhythm+harm
576,580,mel
584,588,mel
592,596,mel
600,610,mel
627,630,rhythm
651,654,rhythm
686,700,mel
700,708,rhythm+harm
710,724,mel
724,732,rhythm+harm
732,756,mel
756,772,mel
772,780,mel
780,788,mel
788,796,rhythm
796,828,mel+rhythm
828,836,rhythm
836,852,rhythm+harm
868,876,harm
876,896,mel
896,904,harm
904,919,mel
965,1001,mel
1030,1048,rhythm
1048,1064,harm
1064,1081,mel+rhythm
1096,1120,harm
1120,1152,mel+rhythm
1152,1160,harm
1160,1168,mel+rhythm
1168,1176,mel
1176,1192,mel+rhythm
1192,1216,rhythm+harm
1216,1224,harm
1224,1248,rhythm+harm
1263,1265,rhythm
1296,1304,mel+rhythm
1304,1320,mel
1320,1344,harm
1344,1356,rhythm
1356,1373,rhythm
1376,1389,rhythm
