onset,resolve time,offset,cadence type
10,2,14,HC
26,4,30,AC
72,12,91,HC
102,2,106,HC
140,4,144,HC
208,8,216,HC
238,2,240,HC
276,4,280,AC
308,4,314,HC
350,2,352,AC
392,4,396,AC
436,4,440,AC
466,10,478,AC
490,2,14,HC
506,4,30,AC
552,12,91,HC
582,2,106,HC
620,4,144,HC
688,8,216,HC
718,2,240,HC
756,4,280,AC
788,4,314,HC
830,2,352,AC
872,4,396,AC
916,4,440,AC
946,10,478,AC
1004,4,528,AC
1085,3,608,HC
1116,4,640,AC
1130,2,654,HC
1152,8,680,AC
1198,2,720,AC
1228,4,752,AC
1242,2,766,HC
1258,4,782,AC
1304,12,843,HC
1334,2,858,HC
1372,4,896,HC
1440,8,968,HC
1470,2,992,HC
1508,4,1032,AC
1540,4,1066,HC
1572,4,1104,AC
1602,2,1124,AC
1624,4,1148,HC
1660,12,1192,AC
1700,16,1248,AC
