onset,offset,role
0,5,mel
16,21,mel
32,65,rhythm+harm
65,73,mel+rhythm
73,80,rhythm+harm
80,92,mel
108,113,rhythm
144,149,rhythm
151,184,mel
184,193,rhythm+harm
193,217,rhythm+harm
320,344,harm
344,364,mel
364,372,rhythm+harm
372,384,mel
384,393,mel+rhythm
441,449,mel
449,453,rhythm
453,461,mel
461,465,rhythm
466,480,rhythm+harm
480,485,mel
496,501,mel
512,545,rhythm+harm
545,553,mel+rhythm
553,560,rhythm+harm
560,572,mel
588,593,rhythm
624,629,rhythm
631,664,mel
664,673,rhythm+harm
673,697,rhythm+harm
800,824,harm
824,844,mel
844,852,rhythm+harm
852,864,mel
864,873,mel+rhythm
921,929,mel
929,933,rhythm
933,941,mel
941,945,rhythm
946,960,rhythm+harm
960,969,mel
1012,1034,rhythm
1034,1057,harm
1059,1065,mel
1065,1089,rhythm+harm
1120,1136,mel
1161,1193,rhythm+harm
1193,1201,mel
1227,1232,mel
1232,1237,mel
1248,1253,mel
1264,1296,rhythm+harm
1296,1304,mel+rhythm
1304,1312,rhythm+harm
1312,1324,mel
1324,1329,rhythm
1340,1355,mel
1376,1381,rhythm
1383,1424,mel
1424,1452,rhythm+harm
1552,1576,harm
1576,1584,rhythm+harm
1584,1596,mel
1596,1604,rhythm+harm
1604,1616,harm
1616,1625,rhythm+harm
1673,1681,mel
1681,1685,rhythm+harm
1685,1693,mel
1693,1701,mel
1702,1729,rhythm+harm
