onset,offset,role
0,5,mel
16,21,mel
32,65,rhythm+harm
65,73,mel+rhythm
73,80,rhythm+harm
80,92,mel
92,120,mel
120,136,rhythm+harm
144,152,mel
152,184,harm
184,193,mel
193,217,rhythm+harm
267,281,mel
320,344,mel
344,352,mel
352,364,harm
364,372,rhythm+harm
372,393,mel
432,441,mel
441,449,rhythm
449,453,mel
453,461,rhythm
461,465,mel
466,480,rhythm+harm
480,485,mel
496,501,mel
512,545,rhythm+harm
545,553,mel+rhythm
553,560,rhythm+harm
560,572,mel
572,600,mel
600,616,rhythm+harm
624,632,mel
632,664,harm
664,673,mel
673,697,rhythm+harm
747,761,mel
800,824,mel
824,832,mel
832,844,harm
844,852,rhythm+harm
852,873,mel
912,921,mel
921,929,rhythm
929,933,mel
933,941,rhythm
941,945,mel
946,960,rhythm+harm
960,969,mel
976,996,harm
1009,1029,rhythm
1036,1049,harm
1049,1065,mel
1065,1089,rhythm+harm
1098,1105,rhythm+harm
1136,1144,mel
1144,1152,harm
1152,1161,mel
1161,1201,rhythm+harm
1208,1217,mel
1227,1232,mel
1232,1237,mel
1248,1253,mel
1264,1296,rhythm+harm
1296,1304,mel+rhythm
1304,1312,rhythm+harm
1312,1324,mel
1324,1355,mel
1356,1369,rhythm
1372,1384,mel
1384,1416,harm
1416,1424,mel
1424,1452,rhythm+harm
1472,1492,mel
1504,1513,mel
1532,1537,mel
1537,1548,rhythm+harm
1552,1576,mel
1576,1584,rhythm+harm
1584,1596,mel
1596,1604,mel
1604,1616,harm
1616,1625,rhythm+harm
1648,1657,mel
1664,1673,mel
1673,1681,mel
1681,1685,mel
1685,1693,mel
1693,1701,mel
1702,1729,rhythm+harm
