onset,offset,role
0,5,mel
16,21,mel
32,65,rhythm+harm
65,73,mel+rhythm
73,80,rhythm+harm
80,92,rhythm
92,120,mel
120,136,rhythm+harm
144,152,mel
152,184,harm
184,193,mel
193,217,rhythm+harm
320,344,harm
344,352,mel
352,364,harm
364,372,rhythm+harm
372,384,harm
384,393,mel
408,425,harm
430,441,rhythm+harm
441,449,mel
449,453,mel
453,461,mel
461,465,mel
466,480,rhythm+harm
480,485,mel
496,501,mel
512,545,rhythm+harm
545,553,mel+rhythm
553,560,rhythm+harm
560,572,rhythm
572,600,mel
600,616,rhythm+harm
624,632,mel
632,664,harm
664,673,mel
673,697,rhythm+harm
800,824,harm
824,832,mel
832,844,harm
844,852,rhythm+harm
852,864,harm
864,873,mel
888,905,harm
910,921,rhythm+harm
921,929,mel
929,933,mel
933,941,mel
941,945,mel
946,960,rhythm+harm
960,969,mel
976,996,harm
1000,1009,mel
1009,1034,rhythm
1034,1057,harm
1059,1065,mel
1065,1089,rhythm+harm
1096,1105,mel
1144,1152,mel
1152,1161,mel
1161,1201,rhythm+harm
1210,1217,rhythm+harm
1218,1232,mel
1232,1237,mel
1248,1253,mel
1264,1296,rhythm+harm
1296,1304,mel+rhythm
1304,1312,rhythm+harm
1312,1324,rhythm
1324,1355,mel
1356,1370,rhythm
1370,1376,harm
1376,1384,mel
1384,1416,harm
1416,1424,mel
1424,1452,rhythm+harm
1491,1513,mel
1527,1537,mel
1537,1548,rhythm+harm
1552,1576,harm
1576,1584,rhythm+harm
1584,1596,mel
1596,1616,mel
1616,1625,rhythm+harm
1640,1657,harm
1662,1673,rhythm+harm
1673,1681,rhythm+harm
1681,1685,mel
1685,1693,rhythm+harm
1693,1701,mel
1702,1729,rhythm+harm
