onset,offset,role
0,5,rhythm+harm
16,21,rhythm+harm
32,65,rhythm+harm
65,73,mel
73,80,rhythm+harm
80,92,rhythm
144,149,rhythm+harm
152,184,rhythm
184,190,rhythm+harm
192,208,rhythm
208,217,rhythm+harm
320,336,rhythm
336,344,mel
344,364,rhythm
364,372,rhythm+harm
372,393,rhythm
441,465,rhythm
466,480,rhythm+harm
480,485,rhythm+harm
496,501,rhythm+harm
512,545,rhythm+harm
545,553,mel
553,560,rhythm+harm
560,572,rhythm
624,629,rhythm+harm
632,664,rhythm
664,670,rhythm+harm
672,688,rhythm
688,697,rhythm+harm
800,816,rhythm
816,824,mel
824,844,rhythm
844,852,rhythm+harm
852,873,rhythm
921,945,rhythm
946,960,rhythm+harm
1160,1201,rhythm+harm
1216,1232,rhythm+harm
1232,1237,rhythm+harm
1248,1253,rhythm+harm
1264,1296,rhythm+harm
1296,1304,mel
1304,1312,rhythm+harm
1312,1324,rhythm
1376,1381,rhythm+harm
1384,1440,rhythm
1440,1452,rhythm+harm
1552,1560,harm
1568,1576,rhythm
1576,1584,rhythm+harm
1584,1596,rhythm
1596,1604,rhythm+harm
1604,1616,rhythm
1616,1625,rhythm+harm
1640,1657,rhythm+harm
1662,1673,rhythm+harm
1673,1693,rhythm+harm
1695,1729,rhythm+harm
