onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument,tie_type,mode,select_time
0.0,1.0,48,C3,1.0,0,1,1.0,bassoon2,None,note,0
1.5,1.6666666666666667,43,G2,0.16666666666666666,0,1,2.5,bassoon2,None,note,0
1.6666666666666667,1.8333333333333335,45,A2,0.16666666666666666,0,1,2.6666666666666665,bassoon2,None,note,0
1.8333333333333333,2.0,47,B2,0.16666666666666666,0,1,2.8333333333333335,bassoon2,None,note,0
2.0,3.0,48,C3,1.0,0,1,3.0,bassoon2,None,note,0
3.5,3.6666666666666665,43,G2,0.16666666666666666,0,1,4.5,bassoon2,None,note,0
3.6666666666666665,3.833333333333333,45,A2,0.16666666666666666,0,1,4.666666666666667,bassoon2,None,note,0
3.8333333333333335,4.0,47,B2,0.16666666666666666,0,1,4.833333333333333,bassoon2,None,note,0
4.0,5.0,48,C3,1.0,0,2,1.0,bassoon2,None,note,0
16.0,17.0,55,G3,1.0,0,5,1.0,bassoon2,None,note,0
17.5,17.666666666666668,50,D3,0.16666666666666666,0,5,2.5,bassoon2,None,note,0
17.666666666666668,17.833333333333336,52,E3,0.16666666666666666,0,5,2.6666666666666665,bassoon2,None,note,0
17.833333333333332,18.0,54,F#3,0.16666666666666666,0,5,2.8333333333333335,bassoon2,None,note,0
18.0,19.0,55,G3,1.0,0,5,3.0,bassoon2,None,note,0
19.5,19.666666666666668,50,D3,0.16666666666666666,0,5,4.5,bassoon2,None,note,0
19.666666666666668,19.833333333333336,52,E3,0.16666666666666666,0,5,4.666666666666667,bassoon2,None,note,0
19.833333333333332,20.0,54,F#3,0.16666666666666666,0,5,4.833333333333333,bassoon2,None,note,0
20.0,21.0,55,G3,1.0,0,6,1.0,bassoon2,None,note,0
32.0,33.0,55,G3,1.0,0,9,1.0,bassoon2,None,note,0
33.0,33.75,55,G3,0.75,0,9,2.0,bassoon2,None,note,0
33.75,34.0,55,G3,0.25,0,9,2.75,bassoon2,None,note,0
34.0,35.0,55,G3,1.0,0,9,3.0,bassoon2,None,note,0
35.0,36.0,55,G3,1.0,0,9,4.0,bassoon2,None,note,0
36.0,37.0,57,A3,1.0,0,10,1.0,bassoon2,None,note,0
37.0,37.75,57,A3,0.75,0,10,2.0,bassoon2,None,note,0
37.75,38.0,57,A3,0.25,0,10,2.75,bassoon2,None,note,0
38.0,39.0,57,A3,1.0,0,10,3.0,bassoon2,None,note,0
39.0,40.0,57,A3,1.0,0,10,4.0,bassoon2,None,note,0
40.0,41.0,59,B3,1.0,0,11,1.0,bassoon2,None,note,0
41.0,41.75,59,B3,0.75,0,11,2.0,bassoon2,None,note,0
41.75,42.0,59,B3,0.25,0,11,2.75,bassoon2,None,note,0
42.0,43.0,59,B3,1.0,0,11,3.0,bassoon2,None,note,0
43.0,44.0,59,B3,1.0,0,11,4.0,bassoon2,None,note,0
44.0,45.0,60,C4,1.0,0,12,1.0,bassoon2,None,note,0
45.0,45.75,55,G3,0.75,0,12,2.0,bassoon2,None,note,0
45.75,46.0,55,G3,0.25,0,12,2.75,bassoon2,None,note,0
46.0,47.0,55,G3,1.0,0,12,3.0,bassoon2,None,note,0
47.0,48.0,55,G3,1.0,0,12,4.0,bassoon2,None,note,0
48.0,49.0,57,A3,1.0,0,13,1.0,bassoon2,None,note,0
49.0,49.75,57,A3,0.75,0,13,2.0,bassoon2,None,note,0
49.75,50.0,57,A3,0.25,0,13,2.75,bassoon2,None,note,0
50.0,51.0,57,A3,1.0,0,13,3.0,bassoon2,None,note,0
51.0,52.0,57,A3,1.0,0,13,4.0,bassoon2,None,note,0
52.0,53.0,59,B3,1.0,0,14,1.0,bassoon2,None,note,0
53.0,53.75,59,B3,0.75,0,14,2.0,bassoon2,None,note,0
53.75,54.0,59,B3,0.25,0,14,2.75,bassoon2,None,note,0
54.0,55.0,59,B3,1.0,0,14,3.0,bassoon2,None,note,0
55.0,56.0,59,B3,1.0,0,14,4.0,bassoon2,None,note,0
56.0,57.0,60,C4,1.0,0,15,1.0,bassoon2,None,note,0
58.0,59.0,59,B3,1.0,0,15,3.0,bassoon2,None,note,0
60.0,61.0,60,C4,1.0,0,16,1.0,bassoon2,None,note,0
62.0,63.0,59,B3,1.0,0,16,3.0,bassoon2,None,note,0
64.0,65.0,60,C4,1.0,0,17,1.0,bassoon2,None,note,0
65.0,65.5,55,G3,0.5,0,17,2.0,bassoon2,None,note,0
65.5,66.0,55,G3,0.5,0,17,2.5,bassoon2,None,note,0
66.0,66.5,60,C4,0.5,0,17,3.0,bassoon2,None,note,0
66.5,67.0,60,C4,0.5,0,17,3.5,bassoon2,None,note,0
67.0,67.5,55,G3,0.5,0,17,4.0,bassoon2,None,note,0
67.5,68.0,55,G3,0.5,0,17,4.5,bassoon2,None,note,0
68.0,68.5,60,C4,0.5,0,18,1.0,bassoon2,None,note,0
68.5,69.0,60,C4,0.5,0,18,1.5,bassoon2,None,note,0
69.0,69.5,55,G3,0.5,0,18,2.0,bassoon2,None,note,0
69.5,70.0,55,G3,0.5,0,18,2.5,bassoon2,None,note,0
70.0,70.5,52,E3,0.5,0,18,3.0,bassoon2,None,note,0
70.5,71.0,52,E3,0.5,0,18,3.5,bassoon2,None,note,0
71.0,71.5,48,C3,0.5,0,18,4.0,bassoon2,None,note,0
71.5,72.0,48,C3,0.5,0,18,4.5,bassoon2,None,note,0
72.0,73.0,55,G3,1.0,0,19,1.0,bassoon2,None,note,0
73.0,74.0,59,B3,1.0,0,19,2.0,bassoon2,None,note,0
75.0,76.0,60,C4,1.0,0,19,4.0,bassoon2,None,note,0
77.0,78.0,59,B3,1.0,0,20,2.0,bassoon2,None,note,0
79.0,80.0,60,C4,1.0,0,20,4.0,bassoon2,None,note,0
80.0,80.5,59,B3,0.5,0,21,1.0,bassoon2,None,note,0
80.5,81.0,60,C4,0.5,0,21,1.5,bassoon2,None,note,0
81.0,81.5,59,B3,0.5,0,21,2.0,bassoon2,None,note,0
81.5,82.0,60,C4,0.5,0,21,2.5,bassoon2,None,note,0
82.0,82.5,59,B3,0.5,0,21,3.0,bassoon2,None,note,0
82.5,83.0,60,C4,0.5,0,21,3.5,bassoon2,None,note,0
83.0,83.5,59,B3,0.5,0,21,4.0,bassoon2,None,note,0
83.5,84.0,60,C4,0.5,0,21,4.5,bassoon2,None,note,0
84.0,85.0,59,B3,1.0,0,22,1.0,bassoon2,None,note,0
86.0,87.0,55,G3,1.0,0,22,3.0,bassoon2,None,note,0
87.0,88.0,55,G3,1.0,0,22,4.0,bassoon2,None,note,0
88.0,92.0,55,G3,4.0,0,23,1.0,bassoon2,None,note,0
108.0,109.0,43,G2,1.0,0,28,1.0,bassoon2,None,note,0
109.0,110.0,47,B2,1.0,0,28,2.0,bassoon2,None,note,0
110.0,111.0,50,D3,1.0,0,28,3.0,bassoon2,None,note,0
111.0,112.0,47,B2,1.0,0,28,4.0,bassoon2,None,note,0
112.0,113.0,43,G2,1.0,0,29,1.0,bassoon2,None,note,0
144.0,145.0,43,G2,1.0,0,37,1.0,bassoon2,None,note,0
145.0,146.0,47,B2,1.0,0,37,2.0,bassoon2,None,note,0
146.0,147.0,50,D3,1.0,0,37,3.0,bassoon2,None,note,0
147.0,148.0,47,B2,1.0,0,37,4.0,bassoon2,None,note,0
148.0,149.0,43,G2,1.0,0,38,1.0,bassoon2,None,note,0
151.5,152.0,59,B3,0.5,0,38,4.5,bassoon2,None,note,0
152.0,153.5,60,C4,1.5,0,39,1.0,bassoon2,None,note,0
153.5,154.0,59,B3,0.5,0,39,2.5,bassoon2,None,note,0
154.0,155.5,62,D4,1.5,0,39,3.0,bassoon2,None,note,0
155.5,156.0,60,C4,0.5,0,39,4.5,bassoon2,None,note,0
156.0,158.0,64,E4,2.0,0,40,1.0,bassoon2,None,note,0
158.0,159.0,62,D4,1.0,0,40,3.0,bassoon2,None,note,0
159.5,160.0,59,B3,0.5,0,40,4.5,bassoon2,None,note,0
160.0,161.5,62,D4,1.5,0,41,1.0,bassoon2,None,note,0
161.5,162.0,60,C4,0.5,0,41,2.5,bassoon2,None,note,0
162.0,163.5,64,E4,1.5,0,41,3.0,bassoon2,None,note,0
163.5,164.0,62,D4,0.5,0,41,4.5,bassoon2,None,note,0
164.0,166.0,65,F4,2.0,0,42,1.0,bassoon2,None,note,0
166.0,167.0,64,E4,1.0,0,42,3.0,bassoon2,None,note,0
167.5,168.0,61,C#4,0.5,0,42,4.5,bassoon2,None,note,0
168.0,169.5,64,E4,1.5,0,43,1.0,bassoon2,None,note,0
169.5,170.0,62,D4,0.5,0,43,2.5,bassoon2,None,note,0
170.0,171.5,65,F4,1.5,0,43,3.0,bassoon2,None,note,0
171.5,172.0,64,E4,0.5,0,43,4.5,bassoon2,None,note,0
172.0,174.0,67,G4,2.0,0,44,1.0,bassoon2,None,note,0
174.0,175.0,65,F4,1.0,0,44,3.0,bassoon2,None,note,0
175.5,176.0,63,D#4,0.5,0,44,4.5,bassoon2,None,note,0
176.0,178.0,65,F4,2.0,0,45,1.0,bassoon2,None,note,0
178.0,179.0,64,E4,1.0,0,45,3.0,bassoon2,None,note,0
179.5,180.0,61,C#4,0.5,0,45,4.5,bassoon2,None,note,0
180.0,182.0,64,E4,2.0,0,46,1.0,bassoon2,None,note,0
182.0,183.0,62,D4,1.0,0,46,3.0,bassoon2,None,note,0
183.5,184.0,55,G3,0.5,0,46,4.5,bassoon2,None,note,0
184.0,184.5,60,C4,0.5,0,47,1.0,bassoon2,None,note,0
184.5,185.0,60,C4,0.5,0,47,1.5,bassoon2,None,note,0
185.0,185.5,59,B3,0.5,0,47,2.0,bassoon2,None,note,0
185.5,186.0,59,B3,0.5,0,47,2.5,bassoon2,None,note,0
186.0,186.5,60,C4,0.5,0,47,3.0,bassoon2,None,note,0
186.5,187.0,60,C4,0.5,0,47,3.5,bassoon2,None,note,0
187.0,187.5,59,B3,0.5,0,47,4.0,bassoon2,None,note,0
187.5,188.0,59,B3,0.5,0,47,4.5,bassoon2,None,note,0
188.0,191.0,60,C4,3.0,0,48,1.0,bassoon2,None,note,0
191.0,192.0,61,C#4,1.0,0,48,4.0,bassoon2,None,note,0
192.0,193.0,62,D4,1.0,0,49,1.0,bassoon2,None,note,0
193.0,193.75,54,F#3,0.75,0,49,2.0,bassoon2,None,note,0
193.75,194.0,54,F#3,0.25,0,49,2.75,bassoon2,None,note,0
194.0,195.0,54,F#3,1.0,0,49,3.0,bassoon2,None,note,0
195.0,196.0,54,F#3,1.0,0,49,4.0,bassoon2,None,note,0
196.0,197.0,55,G3,1.0,0,50,1.0,bassoon2,None,note,0
197.0,197.75,55,G3,0.75,0,50,2.0,bassoon2,None,note,0
197.75,198.0,55,G3,0.25,0,50,2.75,bassoon2,None,note,0
198.0,199.0,55,G3,1.0,0,50,3.0,bassoon2,None,note,0
199.0,200.0,55,G3,1.0,0,50,4.0,bassoon2,None,note,0
200.0,201.0,54,F#3,1.0,0,51,1.0,bassoon2,None,note,0
201.0,201.75,54,F#3,0.75,0,51,2.0,bassoon2,None,note,0
201.75,202.0,54,F#3,0.25,0,51,2.75,bassoon2,None,note,0
202.0,203.0,54,F#3,1.0,0,51,3.0,bassoon2,None,note,0
203.0,204.0,54,F#3,1.0,0,51,4.0,bassoon2,None,note,0
204.0,205.0,55,G3,1.0,0,52,1.0,bassoon2,None,note,0
