onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,1.0,84,C6,1.0,0,1,1.0,flute
1.5,1.6666666666666667,79,G5,1/6,0,1,2.5,flute
5/3,11/6,81,A5,1/6,0,1,8/3,flute
11/6,2,83,B5,1/6,0,1,17/6,flute
2.0,3.0,84,C6,1.0,0,1,3.0,flute
3.5,3.6666666666666665,79,G5,1/6,0,1,4.5,flute
11/3,23/6,81,A5,1/6,0,1,14/3,flute
23/6,4,83,B5,1/6,0,1,29/6,flute
4.0,5.0,84,C6,1.0,0,2,1.0,flute
16.0,17.0,79,G5,1.0,0,5,1.0,flute
17.5,17.666666666666668,74,D5,1/6,0,5,2.5,flute
53/3,107/6,76,E5,1/6,0,5,8/3,flute
107/6,18,78,F#5,1/6,0,5,17/6,flute
18.0,19.0,79,G5,1.0,0,5,3.0,flute
19.5,19.666666666666668,74,D5,1/6,0,5,4.5,flute
59/3,119/6,76,E5,1/6,0,5,14/3,flute
119/6,20,78,F#5,1/6,0,5,29/6,flute
20.0,21.0,79,G5,1.0,0,6,1.0,flute
32.0,33.0,84,C6,1.0,0,9,1.0,flute
33.0,33.75,84,C6,0.75,0,9,2.0,flute
33.75,34.0,84,C6,0.25,0,9,2.75,flute
34.0,35.0,84,C6,1.0,0,9,3.0,flute
35.0,36.0,84,C6,1.0,0,9,4.0,flute
36.0,37.0,81,A5,1.0,0,10,1.0,flute
37.0,37.75,81,A5,0.75,0,10,2.0,flute
37.75,38.0,81,A5,0.25,0,10,2.75,flute
38.0,39.0,81,A5,1.0,0,10,3.0,flute
39.0,40.0,81,A5,1.0,0,10,4.0,flute
40.0,41.0,83,B5,1.0,0,11,1.0,flute
41.0,41.75,83,B5,0.75,0,11,2.0,flute
41.75,42.0,83,B5,0.25,0,11,2.75,flute
42.0,43.0,83,B5,1.0,0,11,3.0,flute
43.0,44.0,83,B5,1.0,0,11,4.0,flute
44.0,45.0,84,C6,1.0,0,12,1.0,flute
45.0,45.75,84,C6,0.75,0,12,2.0,flute
45.75,46.0,84,C6,0.25,0,12,2.75,flute
46.0,47.0,84,C6,1.0,0,12,3.0,flute
47.0,48.0,84,C6,1.0,0,12,4.0,flute
48.0,49.0,81,A5,1.0,0,13,1.0,flute
49.0,49.75,81,A5,0.75,0,13,2.0,flute
49.75,50.0,81,A5,0.25,0,13,2.75,flute
50.0,51.0,81,A5,1.0,0,13,3.0,flute
51.0,52.0,81,A5,1.0,0,13,4.0,flute
52.0,53.0,83,B5,1.0,0,14,1.0,flute
53.0,53.75,83,B5,0.75,0,14,2.0,flute
53.75,54.0,83,B5,0.25,0,14,2.75,flute
54.0,55.0,83,B5,1.0,0,14,3.0,flute
55.0,56.0,83,B5,1.0,0,14,4.0,flute
56.0,57.0,84,C6,1.0,0,15,1.0,flute
57.0,58.0,84,C6,1.0,0,15,2.0,flute
59.0,60.0,83,B5,1.0,0,15,4.0,flute
61.0,62.0,84,C6,1.0,0,16,2.0,flute
63.0,64.0,83,B5,1.0,0,16,4.0,flute
64.0,65.0,84,C6,1.0,0,17,1.0,flute
65.0,65.5,79,G5,0.5,0,17,2.0,flute
65.5,66.0,79,G5,0.5,0,17,2.5,flute
66.0,66.5,84,C6,0.5,0,17,3.0,flute
66.5,67.0,84,C6,0.5,0,17,3.5,flute
67.0,67.5,79,G5,0.5,0,17,4.0,flute
67.5,68.0,79,G5,0.5,0,17,4.5,flute
68.0,68.5,84,C6,0.5,0,18,1.0,flute
68.5,69.0,84,C6,0.5,0,18,1.5,flute
69.0,69.5,79,G5,0.5,0,18,2.0,flute
69.5,70.0,79,G5,0.5,0,18,2.5,flute
70.0,70.5,76,E5,0.5,0,18,3.0,flute
70.5,71.0,76,E5,0.5,0,18,3.5,flute
71.0,71.5,72,C5,0.5,0,18,4.0,flute
71.5,72.0,72,C5,0.5,0,18,4.5,flute
