onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument,tie_type,mode,select_time
0.0,1.0,48,C3,1.0,0,1,1.0,timpani,None,note,0
2.0,3.0,48,C3,1.0,0,1,3.0,timpani,None,note,0
4.0,5.0,48,C3,1.0,0,2,1.0,timpani,None,note,0
16.0,17.0,43,G2,1.0,0,5,1.0,timpani,None,note,0
18.0,19.0,43,G2,1.0,0,5,3.0,timpani,None,note,0
20.0,21.0,43,G2,1.0,0,6,1.0,timpani,None,note,0
33.0,33.75,48,C3,0.75,0,9,2.0,timpani,None,note,0
33.75,34.0,48,C3,0.25,0,9,2.75,timpani,None,note,0
34.0,35.0,48,C3,1.0,0,9,3.0,timpani,None,note,0
37.0,37.75,48,C3,0.75,0,10,2.0,timpani,None,note,0
37.75,38.0,48,C3,0.25,0,10,2.75,timpani,None,note,0
38.0,39.0,48,C3,1.0,0,10,3.0,timpani,None,note,0
41.0,41.75,48,C3,0.75,0,11,2.0,timpani,None,note,0
41.75,42.0,48,C3,0.25,0,11,2.75,timpani,None,note,0
42.0,43.0,48,C3,1.0,0,11,3.0,timpani,None,note,0
45.0,45.75,48,C3,0.75,0,12,2.0,timpani,None,note,0
45.75,46.0,48,C3,0.25,0,12,2.75,timpani,None,note,0
46.0,47.0,48,C3,1.0,0,12,3.0,timpani,None,note,0
49.0,49.75,48,C3,0.75,0,13,2.0,timpani,None,note,0
49.75,50.0,48,C3,0.25,0,13,2.75,timpani,None,note,0
50.0,51.0,48,C3,1.0,0,13,3.0,timpani,None,note,0
53.0,53.75,48,C3,0.75,0,14,2.0,timpani,None,note,0
53.75,54.0,48,C3,0.25,0,14,2.75,timpani,None,note,0
54.0,55.0,48,C3,1.0,0,14,3.0,timpani,None,note,0
56.0,57.0,48,C3,1.0,0,15,1.0,timpani,None,note,0
58.0,59.0,43,G2,1.0,0,15,3.0,timpani,None,note,0
60.0,61.0,48,C3,1.0,0,16,1.0,timpani,None,note,0
62.0,63.0,43,G2,1.0,0,16,3.0,timpani,None,note,0
64.0,65.0,48,C3,1.0,0,17,1.0,timpani,None,note,0
65.0,66.0,43,G2,1.0,0,17,2.0,timpani,None,note,0
66.0,67.0,48,C3,1.0,0,17,3.0,timpani,None,note,0
67.0,68.0,43,G2,1.0,0,17,4.0,timpani,None,note,0
68.0,69.0,48,C3,1.0,0,18,1.0,timpani,None,note,0
69.0,69.5,48,C3,0.5,0,18,2.0,timpani,None,note,0
69.5,70.0,48,C3,0.5,0,18,2.5,timpani,None,note,0
70.0,71.0,48,C3,1.0,0,18,3.0,timpani,None,note,0
71.0,72.0,48,C3,1.0,0,18,4.0,timpani,None,note,0
72.0,73.0,43,G2,1.0,0,19,1.0,timpani,None,note,0
74.0,75.0,48,C3,1.0,0,19,3.0,timpani,None,note,0
76.0,77.0,43,G2,1.0,0,20,1.0,timpani,None,note,0
78.0,79.0,48,C3,1.0,0,20,3.0,timpani,None,note,0
80.0,81.0,43,G2,1.0,0,21,1.0,timpani,None,note,0
81.0,82.0,43,G2,1.0,0,21,2.0,timpani,None,note,0
82.0,83.0,43,G2,1.0,0,21,3.0,timpani,None,note,0
83.0,84.0,43,G2,1.0,0,21,4.0,timpani,None,note,0
84.0,85.0,43,G2,1.0,0,22,1.0,timpani,None,note,0
86.0,87.0,43,G2,1.0,0,22,3.0,timpani,None,note,0
87.0,88.0,43,G2,1.0,0,22,4.0,timpani,None,note,0
88.0,92.0,43,G2,4.0,0,23,1.0,timpani,None,note,0
144.0,145.0,43,G2,1.0,0,37,1.0,timpani,None,note,0
146.0,147.0,43,G2,1.0,0,37,3.0,timpani,None,note,0
148.0,149.0,43,G2,1.0,0,38,1.0,timpani,None,note,0
152.0,153.0,43,G2,1.0,0,39,1.0,timpani,None,note,0
154.0,155.0,43,G2,1.0,0,39,3.0,timpani,None,note,0
156.0,157.0,43,G2,1.0,0,40,1.0,timpani,None,note,0
160.0,161.0,43,G2,1.0,0,41,1.0,timpani,None,note,0
162.0,163.0,43,G2,1.0,0,41,3.0,timpani,None,note,0
164.0,165.0,43,G2,1.0,0,42,1.0,timpani,None,note,0
168.0,169.0,43,G2,1.0,0,43,1.0,timpani,None,note,0
170.0,171.0,43,G2,1.0,0,43,3.0,timpani,None,note,0
172.0,173.0,43,G2,1.0,0,44,1.0,timpani,None,note,0
176.0,177.0,43,G2,1.0,0,45,1.0,timpani,None,note,0
180.0,181.0,43,G2,1.0,0,46,1.0,timpani,None,note,0
320.0,322.0,48,C3,2.0,0,81,1.0,timpani,None,note,0
322.0,323.5,48,C3,1.5,0,81,3.0,timpani,None,note,0
323.5,324.0,48,C3,0.5,0,81,4.5,timpani,None,note,0
324.0,325.0,48,C3,1.0,0,82,1.0,timpani,None,note,0
325.0,326.0,48,C3,1.0,0,82,2.0,timpani,None,note,0
326.0,327.0,48,C3,1.0,0,82,3.0,timpani,None,note,0
327.0,328.0,48,C3,1.0,0,82,4.0,timpani,None,note,0
328.0,336.0,48,C3,8.0,0,83,1.0,timpani,<music21.tie.Tie start>,note,1
336.0,337.0,48,C3,1.0,0,85,1.0,timpani,None,note,0
