onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,1.0,60,C4,1.0,0,1,1.0,viola
1.5,1.6666666666666667,55,G3,1/6,0,1,2.5,viola
5/3,11/6,57,A3,1/6,0,1,8/3,viola
11/6,2,59,B3,1/6,0,1,17/6,viola
2.0,3.0,60,C4,1.0,0,1,3.0,viola
3.5,3.6666666666666665,55,G3,1/6,0,1,4.5,viola
11/3,23/6,57,A3,1/6,0,1,14/3,viola
23/6,4,59,B3,1/6,0,1,29/6,viola
4.0,5.0,60,C4,1.0,0,2,1.0,viola
8.0,15.0,67,G4,7.0,0,3,1.0,viola
16.0,17.0,67,G4,1.0,0,5,1.0,viola
17.5,17.666666666666668,62,D4,1/6,0,5,2.5,viola
53/3,107/6,64,E4,1/6,0,5,8/3,viola
107/6,18,66,F#4,1/6,0,5,17/6,viola
18.0,19.0,67,G4,1.0,0,5,3.0,viola
19.5,19.666666666666668,62,D4,1/6,0,5,4.5,viola
59/3,119/6,64,E4,1/6,0,5,14/3,viola
119/6,20,66,F#4,1/6,0,5,29/6,viola
20.0,21.0,67,G4,1.0,0,6,1.0,viola
24.0,28.0,67,G4,4.0,0,7,1.0,viola
28.0,31.0,72,C5,3.0,0,8,1.0,viola
33.5,33.625,55,G3,0.125,0,9,2.5,viola
33.625,33.75,53,F3,0.125,0,9,2.625,viola
33.75,33.875,52,E3,0.125,0,9,2.75,viola
33.875,34.0,50,D3,0.125,0,9,2.875,viola
34.0,35.0,48,C3,1.0,0,9,3.0,viola
37.5,37.625,60,C4,0.125,0,10,2.5,viola
37.625,37.75,58,B-3,0.125,0,10,2.625,viola
37.75,37.875,57,A3,0.125,0,10,2.75,viola
37.875,38.0,55,G3,0.125,0,10,2.875,viola
38.0,39.0,53,F3,1.0,0,10,3.0,viola
41.5,41.625,62,D4,0.125,0,11,2.5,viola
41.625,41.75,60,C4,0.125,0,11,2.625,viola
41.75,41.875,59,B3,0.125,0,11,2.75,viola
41.875,42.0,57,A3,0.125,0,11,2.875,viola
42.0,43.0,55,G3,1.0,0,11,3.0,viola
45.5,45.625,67,G4,0.125,0,12,2.5,viola
45.625,45.75,65,F4,0.125,0,12,2.625,viola
45.75,45.875,64,E4,0.125,0,12,2.75,viola
45.875,46.0,62,D4,0.125,0,12,2.875,viola
46.0,47.0,60,C4,1.0,0,12,3.0,viola
49.5,49.625,60,C4,0.125,0,13,2.5,viola
49.625,49.75,58,B-3,0.125,0,13,2.625,viola
49.75,49.875,57,A3,0.125,0,13,2.75,viola
49.875,50.0,55,G3,0.125,0,13,2.875,viola
50.0,51.0,53,F3,1.0,0,13,3.0,viola
53.5,53.625,62,D4,0.125,0,14,2.5,viola
53.625,53.75,60,C4,0.125,0,14,2.625,viola
53.75,53.875,59,B3,0.125,0,14,2.75,viola
53.875,54.0,57,A3,0.125,0,14,2.875,viola
54.0,55.0,55,G3,1.0,0,14,3.0,viola
56.0,57.0,60,C4,1.0,0,15,1.0,viola
57.5,57.625,65,F4,0.125,0,15,2.5,viola
57.625,57.75,64,E4,0.125,0,15,2.625,viola
57.75,57.875,62,D4,0.125,0,15,2.75,viola
57.875,58.0,60,C4,0.125,0,15,2.875,viola
58.0,59.0,59,B3,1.0,0,15,3.0,viola
59.5,59.625,67,G4,0.125,0,15,4.5,viola
59.625,59.75,65,F4,0.125,0,15,4.625,viola
59.75,59.875,64,E4,0.125,0,15,4.75,viola
59.875,60.0,62,D4,0.125,0,15,4.875,viola
60.0,61.0,60,C4,1.0,0,16,1.0,viola
61.5,61.625,65,F4,0.125,0,16,2.5,viola
61.625,61.75,64,E4,0.125,0,16,2.625,viola
61.75,61.875,62,D4,0.125,0,16,2.75,viola
61.875,62.0,60,C4,0.125,0,16,2.875,viola
62.0,63.0,59,B3,1.0,0,16,3.0,viola
63.5,63.625,67,G4,0.125,0,16,4.5,viola
63.625,63.75,65,F4,0.125,0,16,4.625,viola
63.75,63.875,64,E4,0.125,0,16,4.75,viola
63.875,64.0,62,D4,0.125,0,16,4.875,viola
64.0,65.0,64,E4,1.0,0,17,1.0,viola
65.0,65.5,67,G4,0.5,0,17,2.0,viola
65.5,66.0,67,G4,0.5,0,17,2.5,viola
66.0,66.5,72,C5,0.5,0,17,3.0,viola
66.5,67.0,72,C5,0.5,0,17,3.5,viola
67.0,67.5,67,G4,0.5,0,17,4.0,viola
67.5,68.0,67,G4,0.5,0,17,4.5,viola
68.0,68.5,72,C5,0.5,0,18,1.0,viola
68.5,69.0,72,C5,0.5,0,18,1.5,viola
69.0,69.5,67,G4,0.5,0,18,2.0,viola
69.5,70.0,67,G4,0.5,0,18,2.5,viola
70.0,70.5,64,E4,0.5,0,18,3.0,viola
70.5,71.0,64,E4,0.5,0,18,3.5,viola
71.0,71.5,60,C4,0.5,0,18,4.0,viola
71.5,72.0,60,C4,0.5,0,18,4.5,viola
72.0,73.0,55,G3,1.0,0,19,1.0,viola
73.5,74.0,67,G4,0.5,0,19,2.5,viola
74.0,75.0,72,C5,1.0,0,19,3.0,viola
75.5,76.0,72,C5,0.5,0,19,4.5,viola
76.0,77.0,67,G4,1.0,0,20,1.0,viola
77.5,78.0,67,G4,0.5,0,20,2.5,viola
78.0,79.0,72,C5,1.0,0,20,3.0,viola
79.5,80.0,72,C5,0.5,0,20,4.5,viola
80.0,80.5,67,G4,0.5,0,21,1.0,viola
80.5,81.0,72,C5,0.5,0,21,1.5,viola
81.0,81.5,67,G4,0.5,0,21,2.0,viola
81.5,82.0,72,C5,0.5,0,21,2.5,viola
82.0,82.5,67,G4,0.5,0,21,3.0,viola
82.5,83.0,72,C5,0.5,0,21,3.5,viola
83.0,83.5,67,G4,0.5,0,21,4.0,viola
83.5,84.0,72,C5,0.5,0,21,4.5,viola
84.0,85.0,67,G4,1.0,0,22,1.0,viola
85.0,86.0,67,G4,1.0,0,22,2.0,viola
86.0,87.0,55,G3,1.0,0,22,3.0,viola
87.0,88.0,55,G3,1.0,0,22,4.0,viola
88.0,92.0,55,G3,4.0,0,23,1.0,viola
136.0,138.0,60,C4,2.0,0,35,1.0,viola
138.0,140.0,59,B3,2.0,0,35,3.0,viola
140.0,144.0,57,A3,4.0,0,36,1.0,viola
144.0,145.0,55,G3,1.0,0,37,1.0,viola
144.0,145.0,67,G4,1.0,0,37,1.0,viola
145.5,145.66666666666666,62,D4,1/6,0,37,2.5,viola
437/3,875/6,64,E4,1/6,0,37,8/3,viola
875/6,146,66,F#4,1/6,0,37,17/6,viola
146.0,147.0,67,G4,1.0,0,37,3.0,viola
147.5,147.66666666666666,62,D4,1/6,0,37,4.5,viola
443/3,887/6,64,E4,1/6,0,37,14/3,viola
887/6,148,66,F#4,1/6,0,37,29/6,viola
148.0,149.0,67,G4,1.0,0,38,1.0,viola
152.0,154.0,55,G3,2.0,0,39,1.0,viola
152.0,154.0,67,G4,2.0,0,39,1.0,viola
154.0,156.0,55,G3,2.0,0,39,3.0,viola
154.0,156.0,67,G4,2.0,0,39,3.0,viola
