onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,1.0,60,C4,1.0,0,1,1.0,violin2
1.5,1.6666666666666667,55,G3,0.1666666666666666,0,1,2.5,violin2
1.6666666666666667,1.8333333333333333,57,A3,0.1666666666666666,0,1,2.6666666666666665,violin2
1.8333333333333333,2.0,59,B3,0.1666666666666666,0,1,2.833333333333333,violin2
2.0,3.0,60,C4,1.0,0,1,3.0,violin2
3.5,3.6666666666666665,55,G3,0.1666666666666666,0,1,4.5,violin2
3.6666666666666665,3.833333333333333,57,A3,0.1666666666666666,0,1,4.666666666666667,violin2
3.8333333333333335,4.0,59,B3,0.1666666666666666,0,1,4.833333333333333,violin2
4.0,5.0,60,C4,1.0,0,2,1.0,violin2
8.0,10.0,65,F4,2.0,0,3,1.0,violin2
10.0,12.0,64,E4,2.0,0,3,3.0,violin2
12.0,15.0,62,D4,3.0,0,4,1.0,violin2
16.0,17.0,55,G3,1.0,0,5,1.0,violin2
16.0,17.0,67,G4,1.0,0,5,1.0,violin2
17.5,17.666666666666668,62,D4,0.1666666666666666,0,5,2.5,violin2
17.666666666666668,17.833333333333336,64,E4,0.1666666666666666,0,5,2.6666666666666665,violin2
17.833333333333332,18.0,66,F#4,0.1666666666666666,0,5,2.833333333333333,violin2
18.0,19.0,67,G4,1.0,0,5,3.0,violin2
19.5,19.666666666666668,62,D4,0.1666666666666666,0,5,4.5,violin2
19.666666666666668,19.833333333333336,64,E4,0.1666666666666666,0,5,4.666666666666667,violin2
19.83333333333333,20.0,66,F#4,0.1666666666666666,0,5,4.833333333333333,violin2
20.0,21.0,67,G4,1.0,0,6,1.0,violin2
24.0,26.0,67,G4,2.0,0,7,1.0,violin2
26.0,28.0,71,B4,2.0,0,7,3.0,violin2
28.0,30.0,77,F5,2.0,0,8,1.0,violin2
30.0,31.0,76,E5,1.0,0,8,3.0,violin2
33.5,33.625,67,G4,0.125,0,9,2.5,violin2
33.625,33.75,65,F4,0.125,0,9,2.625,violin2
33.75,33.875,64,E4,0.125,0,9,2.75,violin2
33.875,34.0,62,D4,0.125,0,9,2.875,violin2
34.0,35.0,60,C4,1.0,0,9,3.0,violin2
37.5,37.625,72,C5,0.125,0,10,2.5,violin2
37.625,37.75,70,B-4,0.125,0,10,2.625,violin2
37.75,37.875,69,A4,0.125,0,10,2.75,violin2
37.875,38.0,67,G4,0.125,0,10,2.875,violin2
38.0,39.0,65,F4,1.0,0,10,3.0,violin2
41.5,41.625,74,D5,0.125,0,11,2.5,violin2
41.625,41.75,72,C5,0.125,0,11,2.625,violin2
41.75,41.875,71,B4,0.125,0,11,2.75,violin2
41.875,42.0,69,A4,0.125,0,11,2.875,violin2
42.0,43.0,67,G4,1.0,0,11,3.0,violin2
45.5,45.625,79,G5,0.125,0,12,2.5,violin2
45.625,45.75,77,F5,0.125,0,12,2.625,violin2
45.75,45.875,76,E5,0.125,0,12,2.75,violin2
45.875,46.0,74,D5,0.125,0,12,2.875,violin2
46.0,47.0,72,C5,1.0,0,12,3.0,violin2
49.5,49.625,72,C5,0.125,0,13,2.5,violin2
49.625,49.75,70,B-4,0.125,0,13,2.625,violin2
49.75,49.875,69,A4,0.125,0,13,2.75,violin2
49.875,50.0,67,G4,0.125,0,13,2.875,violin2
50.0,51.0,65,F4,1.0,0,13,3.0,violin2
53.5,53.625,74,D5,0.125,0,14,2.5,violin2
53.625,53.75,72,C5,0.125,0,14,2.625,violin2
53.75,53.875,71,B4,0.125,0,14,2.75,violin2
53.875,54.0,69,A4,0.125,0,14,2.875,violin2
54.0,55.0,67,G4,1.0,0,14,3.0,violin2
56.0,57.0,72,C5,1.0,0,15,1.0,violin2
57.5,57.625,77,F5,0.125,0,15,2.5,violin2
57.625,57.75,76,E5,0.125,0,15,2.625,violin2
57.75,57.875,74,D5,0.125,0,15,2.75,violin2
57.875,58.0,72,C5,0.125,0,15,2.875,violin2
58.0,59.0,71,B4,1.0,0,15,3.0,violin2
59.5,59.625,79,G5,0.125,0,15,4.5,violin2
59.625,59.75,77,F5,0.125,0,15,4.625,violin2
59.75,59.875,76,E5,0.125,0,15,4.75,violin2
59.875,60.0,74,D5,0.125,0,15,4.875,violin2
60.0,61.0,72,C5,1.0,0,16,1.0,violin2
61.5,61.625,77,F5,0.125,0,16,2.5,violin2
61.625,61.75,76,E5,0.125,0,16,2.625,violin2
61.75,61.875,74,D5,0.125,0,16,2.75,violin2
61.875,62.0,72,C5,0.125,0,16,2.875,violin2
62.0,63.0,71,B4,1.0,0,16,3.0,violin2
63.5,63.625,79,G5,0.125,0,16,4.5,violin2
63.625,63.75,77,F5,0.125,0,16,4.625,violin2
63.75,63.875,76,E5,0.125,0,16,4.75,violin2
63.875,64.0,74,D5,0.125,0,16,4.875,violin2
64.0,65.0,76,E5,1.0,0,17,1.0,violin2
65.0,66.0,79,G5,1.0,0,17,2.0,violin2
66.0,67.0,84,C6,1.0,0,17,3.0,violin2
67.0,68.0,79,G5,1.0,0,17,4.0,violin2
68.0,69.0,84,C6,1.0,0,18,1.0,violin2
69.0,70.0,79,G5,1.0,0,18,2.0,violin2
70.0,71.0,76,E5,1.0,0,18,3.0,violin2
71.0,72.0,72,C5,1.0,0,18,4.0,violin2
72.0,73.0,67,G4,1.0,0,19,1.0,violin2
73.5,74.0,74,D5,0.5,0,19,2.5,violin2
74.0,75.0,76,E5,1.0,0,19,3.0,violin2
75.5,76.0,76,E5,0.5,0,19,4.5,violin2
76.0,77.0,74,D5,1.0,0,20,1.0,violin2
77.5,78.0,74,D5,0.5,0,20,2.5,violin2
78.0,79.0,76,E5,1.0,0,20,3.0,violin2
79.5,80.0,76,E5,0.5,0,20,4.5,violin2
80.0,80.5,74,D5,0.5,0,21,1.0,violin2
80.5,81.0,76,E5,0.5,0,21,1.5,violin2
81.0,81.5,74,D5,0.5,0,21,2.0,violin2
81.5,82.0,76,E5,0.5,0,21,2.5,violin2
82.0,82.5,74,D5,0.5,0,21,3.0,violin2
82.5,83.0,76,E5,0.5,0,21,3.5,violin2
83.0,83.5,74,D5,0.5,0,21,4.0,violin2
83.5,84.0,76,E5,0.5,0,21,4.5,violin2
84.0,85.0,74,D5,1.0,0,22,1.0,violin2
85.0,86.0,62,D4,1.0,0,22,2.0,violin2
85.0,86.0,71,B4,1.0,0,22,2.0,violin2
85.0,86.0,79,G5,1.0,0,22,2.0,violin2
86.0,87.0,55,G3,1.0,0,22,3.0,violin2
86.0,87.0,67,G4,1.0,0,22,3.0,violin2
87.0,88.0,55,G3,1.0,0,22,4.0,violin2
87.0,88.0,67,G4,1.0,0,22,4.0,violin2
88.0,92.0,55,G3,4.0,0,23,1.0,violin2
88.0,92.0,67,G4,4.0,0,23,1.0,violin2
92.0,93.0,60,C4,1.0,0,24,1.0,violin2
93.5,93.66666666666669,55,G3,0.1666666666666666,0,24,2.5,violin2
93.66666666666669,93.83333333333334,57,A3,0.1666666666666666,0,24,2.6666666666666665,violin2
93.83333333333331,94.0,59,B3,0.1666666666666666,0,24,2.833333333333333,violin2
94.0,95.0,60,C4,1.0,0,24,3.0,violin2
95.5,95.66666666666669,55,G3,0.1666666666666666,0,24,4.5,violin2
95.66666666666669,95.83333333333334,57,A3,0.1666666666666666,0,24,4.666666666666667,violin2
95.83333333333331,96.0,59,B3,0.1666666666666666,0,24,4.833333333333333,violin2
96.0,97.0,60,C4,1.0,0,25,1.0,violin2
99.5,100.0,60,C4,0.5,0,25,4.5,violin2
100.0,101.5,60,C4,1.5,0,26,1.0,violin2
101.5,102.0,59,B3,0.5,0,26,2.5,violin2
102.0,103.5,62,D4,1.5,0,26,3.0,violin2
103.5,104.0,60,C4,0.5,0,26,4.5,violin2
104.0,106.0,67,G4,2.0,0,27,1.0,violin2
106.0,107.0,65,F4,1.0,0,27,3.0,violin2
108.0,109.0,67,G4,1.0,0,28,1.0,violin2
109.5,109.66666666666669,62,D4,0.1666666666666666,0,28,2.5,violin2
109.66666666666669,109.83333333333334,64,E4,0.1666666666666666,0,28,2.6666666666666665,violin2
109.83333333333331,110.0,66,F#4,0.1666666666666666,0,28,2.833333333333333,violin2
110.0,111.0,67,G4,1.0,0,28,3.0,violin2
111.5,111.66666666666669,62,D4,0.1666666666666666,0,28,4.5,violin2
111.66666666666669,111.83333333333334,64,E4,0.1666666666666666,0,28,4.666666666666667,violin2
111.83333333333331,112.0,66,F#4,0.1666666666666666,0,28,4.833333333333333,violin2
112.0,113.0,67,G4,1.0,0,29,1.0,violin2
115.5,116.0,62,D4,0.5,0,29,4.5,violin2
116.0,117.5,62,D4,1.5,0,30,1.0,violin2
117.5,118.0,61,C#4,0.5,0,30,2.5,violin2
118.0,119.5,64,E4,1.5,0,30,3.0,violin2
119.5,120.0,62,D4,0.5,0,30,4.5,violin2
120.0,122.0,70,B-4,2.0,0,31,1.0,violin2
122.0,122.5,69,A4,0.5,0,31,3.0,violin2
123.0,123.5,64,E4,0.5,0,31,4.0,violin2
124.0,126.0,67,G4,2.0,0,32,1.0,violin2
126.0,126.5,66,F#4,0.5,0,32,3.0,violin2
