onset,offset,role,instrument
0,4,mel,violin1
2,4,harm,violin2
2,4,harm,viola
2,4,harm,violoncello
2,4,harm,doublebass
4,5,rhythm+harm,flute
4,5,rhythm+harm,oboe1
4,5,rhythm+harm,oboe2
4,5,rhythm+harm,bassoon1
4,5,rhythm+harm,bassoon2
4,5,rhythm+harm,horn1
4,5,rhythm+harm,horn2
4,5,rhythm+harm,violin1
4,5,rhythm+harm,violin2
4,5,rhythm+harm,viola
4,5,rhythm+harm,violoncello
4,5,rhythm+harm,doublebass
6,10,mel,violin1
8,10,harm,violin2
8,10,harm,viola
8,10,harm,violoncello
8,10,harm,doublebass
10,11,rhythm+harm,flute
10,11,rhythm+harm,oboe1
10,11,rhythm+harm,oboe2
10,11,rhythm+harm,bassoon1
10,11,rhythm+harm,bassoon2
10,11,rhythm+harm,horn1
10,11,rhythm+harm,horn2
10,11,rhythm+harm,violin1
10,11,rhythm+harm,violin2
10,11,rhythm+harm,viola
10,11,rhythm+harm,violoncello
10,11,rhythm+harm,doublebass
12,18,mel,violin1
12,18,mel,violin2
16,18,harm,viola
16,18,harm,violoncello
16,18,harm,doublebass
18,25,mel,oboe1
18,25,mel,oboe2
18,24,harm,bassoon1
18,24,harm,bassoon2
18,24,harm,horn1
18,24,harm,horn2
18,31,mel,violin1
18,31,rhythm,violin2
18,31,rhythm,viola
18,30,rhythm,violoncello
18,30,rhythm,doublebass
24,31,mel,flute
24,31,mel,bassoon1
30,34,mel,violoncello
30,34,mel,doublebass
30,42,rhythm,bassoon1
30,42,rhythm,bassoon2
30,42,rhythm,horn1
30,42,rhythm,horn2
31,34,mel,viola
34,35,rhythm+harm,viola
34,35,rhythm+harm,violoncello
34,35,rhythm+harm,doublebass
34,38,mel,violin1
34,38,mel,violin2
36,40,mel,viola
36,40,mel,violoncello
36,40,mel,doublebass
40,41,rhythm+harm,viola
40,41,rhythm+harm,violoncello
40,41,rhythm+harm,doublebass
40,53,mel,violin1
40,53,mel,violin2
42,53,rhythm,viola
42,53,rhythm,violoncello
42,53,rhythm,doublebass
48,52,harm,horn1
48,52,harm,horn2
52,58,mel,oboe1
52,58,mel,bassoon1
54,58,harm,flute
54,58,harm,oboe2
54,58,harm,bassoon2
54,58,harm,horn1
54,58,harm,horn2
54,57,mel,violin1
54,75,rhythm,violin2
54,75,rhythm,viola
54,75,rhythm,violoncello
54,75,rhythm,doublebass
57,60,rhythm,violin1
58,64,mel,oboe1
58,64,mel,bassoon1
60,64,harm,flute
60,64,harm,oboe2
60,64,harm,bassoon2
60,64,harm,horn1
60,64,harm,horn2
60,63,mel,violin1
63,66,rhythm,violin1
64,67,mel,flute
64,67,mel,oboe1
64,67,mel,oboe2
64,67,mel,bassoon1
64,67,mel,bassoon2
66,76,harm,horn1
66,76,harm,horn2
66,81,mel,violin1
68,80,harm,flute
67,80,harm,oboe1
67,76,harm,oboe2
67,76,harm,bassoon1
67,76,harm,bassoon2
75,80,harm,violin2
75,80,harm,viola
75,80,harm,violoncello
75,80,harm,doublebass
79,81,mel,oboe1
81,86,mel,oboe1
81,86,mel,oboe2
81,86,mel,bassoon1
81,86,mel,bassoon2
81,86,harm,horn1
81,86,harm,horn2
81,86,mel+rhythm,violin1
81,108,rhythm,violin2
81,85,mel+harm,viola
81,85,mel+harm,violoncello
81,85,mel+harm,doublebass
85,87,rhythm+harm,flute
85,87,rhythm+harm,horn1
85,87,rhythm+harm,horn2
87,92,harm,flute
87,92,mel,oboe1
87,92,mel,oboe2
87,92,mel,bassoon1
87,92,mel,bassoon2
87,92,harm,horn1
87,92,harm,horn2
