onset,offset,role
2,4,harm
4,5,rhythm+harm
8,10,harm
10,11,rhythm+harm
16,18,harm
18,30,rhythm
30,34,mel
34,35,rhythm+harm
36,40,mel
40,41,rhythm+harm
42,53,rhythm
54,75,rhythm
75,80,harm
81,85,mel+harm
87,91,mel+harm
93,97,rhythm+harm
97,99,harm
99,106,rhythm+harm
106,115,mel+harm
119,121,harm
125,128,harm
134,136,harm
136,137,rhythm+harm
140,142,harm
142,143,rhythm+harm
148,150,harm
150,162,rhythm
162,166,mel
166,167,rhythm+harm
168,172,mel
172,173,rhythm+harm
174,185,rhythm
186,207,rhythm
207,212,harm
213,217,mel+harm
219,223,mel+harm
225,229,rhythm+harm
229,231,harm
231,238,rhythm+harm
238,247,mel+harm
251,253,harm
257,260,harm
264,266,harm
270,298,rhythm
298,302,harm
304,310,rhythm+harm
313,317,mel
317,321,rhythm+harm
322,325,mel
325,326,rhythm+harm
327,331,mel
332,342,rhythm+harm
342,348,mel
348,356,rhythm
357,361,mel+harm
363,367,mel+harm
369,382,rhythm+harm
382,391,mel+harm
395,397,harm
401,404,harm
407,409,harm
409,410,rhythm+harm
410,413,rhythm+harm
414,427,rhythm
427,434,harm
