onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
2.0,3.0,41,F2,1.0,0,1,3.0,doublebass
3.0,3.5,43,G2,0.5,0,2,1.0,doublebass
4.0,4.5,36,C2,0.5,0,2,2.0,doublebass
8.0,9.0,46,B-2,1.0,0,3,3.0,doublebass
9.0,9.5,45,A2,0.5,0,4,1.0,doublebass
10.0,10.5,33,A1,0.5,0,4,2.0,doublebass
16.0,17.0,37,C#2,1.0,0,6,2.0,doublebass
17.0,18.0,38,D2,1.0,0,6,3.0,doublebass
18.0,18.5,34,B-1,0.5,0,7,1.0,doublebass
18.5,19.0,34,B-1,0.5,0,7,1.5,doublebass
19.0,19.5,34,B-1,0.5,0,7,2.0,doublebass
19.5,20.0,34,B-1,0.5,0,7,2.5,doublebass
20.0,20.5,34,B-1,0.5,0,7,3.0,doublebass
20.5,21.0,34,B-1,0.5,0,7,3.5,doublebass
21.0,21.5,36,C2,0.5,0,8,1.0,doublebass
21.5,22.0,36,C2,0.5,0,8,1.5,doublebass
22.0,22.5,36,C2,0.5,0,8,2.0,doublebass
22.5,23.0,36,C2,0.5,0,8,2.5,doublebass
23.0,23.5,36,C2,0.5,0,8,3.0,doublebass
23.5,24.0,36,C2,0.5,0,8,3.5,doublebass
24.0,24.5,37,C#2,0.5,0,9,1.0,doublebass
24.5,25.0,37,C#2,0.5,0,9,1.5,doublebass
25.0,25.5,38,D2,0.5,0,9,2.0,doublebass
25.5,26.0,38,D2,0.5,0,9,2.5,doublebass
26.0,26.5,34,B-1,0.5,0,9,3.0,doublebass
26.5,27.0,34,B-1,0.5,0,9,3.5,doublebass
27.0,27.5,36,C2,0.5,0,10,1.0,doublebass
27.5,28.0,36,C2,0.5,0,10,1.5,doublebass
28.0,28.5,36,C2,0.5,0,10,2.0,doublebass
28.5,29.0,36,C2,0.5,0,10,2.5,doublebass
29.0,29.5,36,C2,0.5,0,10,3.0,doublebass
29.5,30.0,36,C2,0.5,0,10,3.5,doublebass
30.0,30.75,41,F2,0.75,0,11,1.0,doublebass
30.75,31.0,36,C2,0.25,0,11,1.75,doublebass
31.0,32.75,45,A2,1.75,0,11,2.0,doublebass
32.75,32.875,43,G2,0.125,0,11,3.75,doublebass
32.875,33.0,41,F2,0.125,0,11,3.875,doublebass
33.0,33.5,40,E2,0.5,0,12,1.0,doublebass
34.0,34.5,46,B-2,0.5,0,12,2.0,doublebass
36.0,36.75,43,G2,0.75,0,13,1.0,doublebass
36.75,37.0,36,C2,0.25,0,13,1.75,doublebass
37.0,38.75,46,B-2,1.75,0,13,2.0,doublebass
