onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument,tie_type,mode,select_time
0.0,0.75,65,F4,0.75,0,1,1.0,violin1,None,note,0
0.75,1.0,60,C4,0.25,0,1,1.75,violin1,None,note,0
1.0,2.75,69,A4,1.75,0,1,2.0,violin1,None,note,0
2.75,2.875,67,G4,0.125,0,1,3.75,violin1,None,note,0
2.875,3.0,65,F4,0.125,0,1,3.875,violin1,None,note,0
3.0,3.5,64,E4,0.5,0,2,1.0,violin1,None,note,0
4.0,4.5,70,B-4,0.5,0,2,2.0,violin1,None,note,0
6.0,6.75,67,G4,0.75,0,3,1.0,violin1,None,note,0
6.75,7.0,60,C4,0.25,0,3,1.75,violin1,None,note,0
7.0,8.75,70,B-4,1.75,0,3,2.0,violin1,None,note,0
8.75,8.875,69,A4,0.125,0,3,3.75,violin1,None,note,0
8.875,9.0,67,G4,0.125,0,3,3.875,violin1,None,note,0
9.0,9.5,65,F4,0.5,0,4,1.0,violin1,None,note,0
10.0,10.5,72,C5,0.5,0,4,2.0,violin1,None,note,0
12.0,12.75,77,F5,0.75,0,5,1.0,violin1,None,note,0
12.75,13.0,72,C5,0.25,0,5,1.75,violin1,None,note,0
13.0,13.75,81,A5,0.75,0,5,2.0,violin1,None,note,0
13.75,13.833333333333334,79,G5,0.08333333333333333,0,5,2.75,violin1,None,note,0
13.833333333333334,13.916666666666668,77,F5,0.08333333333333333,0,5,2.8333333333333335,violin1,None,note,0
13.916666666666666,14.0,76,E5,0.08333333333333333,0,5,2.9166666666666665,violin1,None,note,0
14.0,14.25,79,G5,0.25,0,5,3.0,violin1,None,note,0
14.25,14.5,77,F5,0.25,0,5,3.25,violin1,None,note,0
14.5,14.75,76,E5,0.25,0,5,3.5,violin1,None,note,0
14.75,15.0,74,D5,0.25,0,5,3.75,violin1,None,note,0
15.0,15.5,72,C5,0.5,0,6,1.0,violin1,None,note,0
15.5,16.0,71,B4,0.5,0,6,1.5,violin1,None,note,0
16.0,17.0,70,B-4,1.0,0,6,2.0,violin1,None,note,0
17.0,18.0,69,A4,1.0,0,6,3.0,violin1,None,note,0
18.0,19.125,74,D5,1.125,0,7,1.0,violin1,<music21.tie.Tie start>,note,1
19.125,19.25,76,E5,0.125,0,7,2.125,violin1,None,note,0
19.25,19.375,74,D5,0.125,0,7,2.25,violin1,None,note,0
19.375,19.5,73,C#5,0.125,0,7,2.375,violin1,None,note,0
19.5,19.75,74,D5,0.25,0,7,2.5,violin1,None,note,0
19.75,20.0,76,E5,0.25,0,7,2.75,violin1,None,note,0
20.0,20.25,79,G5,0.25,0,7,3.0,violin1,None,note,0
20.25,20.5,77,F5,0.25,0,7,3.25,violin1,None,note,0
20.5,20.75,76,E5,0.25,0,7,3.5,violin1,None,note,0
20.75,21.0,74,D5,0.25,0,7,3.75,violin1,None,note,0
21.0,21.75,74,D5,0.75,0,8,1.0,violin1,None,note,0
21.75,22.0,72,C5,0.25,0,8,1.75,violin1,None,note,0
22.0,23.25,72,C5,1.25,0,8,2.0,violin1,<music21.tie.Tie start>,note,1
23.25,23.5,73,C#5,0.25,0,8,3.25,violin1,None,note,0
23.5,23.75,74,D5,0.25,0,8,3.5,violin1,None,note,0
23.75,24.0,70,B-4,0.25,0,8,3.75,violin1,None,note,0
24.0,25.25,69,A4,1.25,0,9,1.0,violin1,<music21.tie.Tie start>,note,1
25.25,25.375,70,B-4,0.125,0,9,2.25,violin1,None,note,0
25.375,25.5,69,A4,0.125,0,9,2.375,violin1,None,note,0
25.5,25.625,68,G#4,0.125,0,9,2.5,violin1,None,note,0
25.625,25.75,69,A4,0.125,0,9,2.625,violin1,None,note,0
25.75,25.875,68,G#4,0.125,0,9,2.75,violin1,None,note,0
25.875,26.0,69,A4,0.125,0,9,2.875,violin1,None,note,0
26.0,26.25,72,C5,0.25,0,9,3.0,violin1,None,note,0
26.25,26.5,70,B-4,0.25,0,9,3.25,violin1,None,note,0
26.5,26.75,69,A4,0.25,0,9,3.5,violin1,None,note,0
26.75,27.0,67,G4,0.25,0,9,3.75,violin1,None,note,0
27.0,27.375,72,C5,0.375,0,10,1.0,violin1,None,note,0
27.375,27.5,69,A4,0.125,0,10,1.375,violin1,None,note,0
27.5,28.5,65,F4,1.0,0,10,1.5,violin1,None,note,0
28.5,28.75,67,G4,0.25,0,10,2.5,violin1,None,note,0
28.75,29.0,69,A4,0.25,0,10,2.75,violin1,None,note,0
29.0,29.25,69,A4,0.25,0,10,3.0,violin1,None,note,0
29.25,29.5,67,G4,0.25,0,10,3.25,violin1,None,note,0
29.5,29.75,65,F4,0.25,0,10,3.5,violin1,None,note,0
29.75,30.0,64,E4,0.25,0,10,3.75,violin1,None,note,0
30.0,31.0,65,F4,1.0,0,11,1.0,violin1,None,note,0
34.125,34.25,78,F#5,0.125,0,12,2.125,violin1,None,note,0
34.25,34.375,79,G5,0.125,0,12,2.25,violin1,None,note,0
34.375,34.5,78,F#5,0.125,0,12,2.375,violin1,None,note,0
34.5,34.625,79,G5,0.125,0,12,2.5,violin1,None,note,0
34.625,34.75,81,A5,0.125,0,12,2.625,violin1,None,note,0
34.75,34.875,82,B-5,0.125,0,12,2.75,violin1,None,note,0
34.875,35.0,81,A5,0.125,0,12,2.875,violin1,None,note,0
35.0,35.125,82,B-5,0.125,0,12,3.0,violin1,None,note,0
35.125,35.25,85,C#6,0.125,0,12,3.125,violin1,None,note,0
35.25,35.375,86,D6,0.125,0,12,3.25,violin1,None,note,0
35.375,35.5,81,A5,0.125,0,12,3.375,violin1,None,note,0
35.5,35.625,84,C6,0.125,0,12,3.5,violin1,None,note,0
35.625,35.75,82,B-5,0.125,0,12,3.625,violin1,None,note,0
35.75,35.875,81,A5,0.125,0,12,3.75,violin1,None,note,0
35.875,36.0,79,G5,0.125,0,12,3.875,violin1,None,note,0
36.0,37.0,77,F5,1.0,0,13,1.0,violin1,None,note,0
37.0,37.5,76,E5,0.5,0,13,2.0,violin1,None,note,0
40.125,40.25,80,G#5,0.125,0,14,2.125,violin1,None,note,0
40.25,40.375,81,A5,0.125,0,14,2.25,violin1,None,note,0
40.375,40.5,80,G#5,0.125,0,14,2.375,violin1,None,note,0
40.5,40.625,81,A5,0.125,0,14,2.5,violin1,None,note,0
40.625,40.75,83,B5,0.125,0,14,2.625,violin1,None,note,0
40.75,40.875,84,C6,0.125,0,14,2.75,violin1,None,note,0
40.875,41.0,83,B5,0.125,0,14,2.875,violin1,None,note,0
41.0,41.125,86,D6,0.125,0,14,3.0,violin1,None,note,0
41.125,41.25,84,C6,0.125,0,14,3.125,violin1,None,note,0
41.25,41.375,83,B5,0.125,0,14,3.25,violin1,None,note,0
41.375,41.5,84,C6,0.125,0,14,3.375,violin1,None,note,0
41.5,41.625,82,B-5,0.125,0,14,3.5,violin1,None,note,0
41.625,41.75,81,A5,0.125,0,14,3.625,violin1,None,note,0
41.75,41.875,79,G5,0.125,0,14,3.75,violin1,None,note,0
41.875,42.0,77,F5,0.125,0,14,3.875,violin1,None,note,0
42.0,42.75,84,C6,0.75,0,15,1.0,violin1,None,note,0
42.75,43.0,82,B-5,0.25,0,15,1.75,violin1,None,note,0
43.0,44.5,82,B-5,1.5,0,15,2.0,violin1,None,note,0
44.5,45.0,81,A5,0.5,0,15,3.5,violin1,None,note,0
45.0,45.75,81,A5,0.75,0,16,1.0,violin1,None,note,0
45.75,46.0,79,G5,0.25,0,16,1.75,violin1,None,note,0
46.0,47.5,79,G5,1.5,0,16,2.0,violin1,None,note,0
47.5,48.0,77,F5,0.5,0,16,3.5,violin1,None,note,0
48.0,49.25,77,F5,1.25,0,17,1.0,violin1,<music21.tie.Tie start>,note,1
49.25,49.5,76,E5,0.25,0,17,2.25,violin1,None,note,0
49.5,49.75,74,D5,0.25,0,17,2.5,violin1,None,note,0
49.75,50.0,72,C5,0.25,0,17,2.75,violin1,None,note,0
50.0,50.25,71,B4,0.25,0,17,3.0,violin1,None,note,0
50.25,50.5,70,B-4,0.25,0,17,3.25,violin1,None,note,0
50.5,50.75,69,A4,0.25,0,17,3.5,violin1,None,note,0
50.75,51.0,72,C5,0.25,0,17,3.75,violin1,None,note,0
51.0,51.625,70,B-4,0.625,0,18,1.0,violin1,<music21.tie.Tie start>,note,1
51.625,51.75,69,A4,0.125,0,18,1.625,violin1,None,note,0
51.75,51.875,67,G4,0.125,0,18,1.75,violin1,None,note,0
51.875,52.0,69,A4,0.125,0,18,1.875,violin1,None,note,0
52.0,52.5,67,G4,0.5,0,18,2.0,violin1,None,note,0
54.0,54.75,79,G5,0.75,0,19,1.0,violin1,<music21.tie.Tie start>,note,1
54.75,55.25,75,E-5,0.5,0,19,1.75,violin1,None,note,0
55.25,55.75,72,C5,0.5,0,19,2.25,violin1,None,note,0
55.75,56.25,67,G4,0.5,0,19,2.75,violin1,None,note,0
56.25,56.75,63,E-4,0.5,0,19,3.25,violin1,None,note,0
56.75,57.0,60,C4,0.25,0,19,3.75,violin1,None,note,0
57.0,57.166666666666664,61,C#4,0.16666666666666666,0,20,1.0,violin1,None,note,0
57.166666666666664,57.33333333333333,62,D4,0.16666666666666666,0,20,1.1666666666666667,violin1,None,note,0
57.333333333333336,57.5,62,D4,0.16666666666666666,0,20,1.3333333333333333,violin1,None,note,0
57.666666666666664,57.83333333333333,61,C#4,0.16666666666666666,0,20,1.6666666666666667,violin1,None,note,0
57.833333333333336,58.0,62,D4,0.16666666666666666,0,20,1.8333333333333333,violin1,None,note,0
58.166666666666664,58.33333333333333,61,C#4,0.16666666666666666,0,20,2.1666666666666665,violin1,None,note,0
58.333333333333336,58.5,62,D4,0.16666666666666666,0,20,2.3333333333333335,violin1,None,note,0
58.666666666666664,58.83333333333333,61,C#4,0.16666666666666666,0,20,2.6666666666666665,violin1,None,note,0
58.833333333333336,59.0,62,D4,0.16666666666666666,0,20,2.8333333333333335,violin1,None,note,0
59.166666666666664,59.33333333333333,61,C#4,0.16666666666666666,0,20,3.1666666666666665,violin1,None,note,0
59.333333333333336,59.5,62,D4,0.16666666666666666,0,20,3.3333333333333335,violin1,None,note,0
59.666666666666664,59.83333333333333,61,C#4,0.16666666666666666,0,20,3.6666666666666665,violin1,None,note,0
59.833333333333336,60.0,62,D4,0.16666666666666666,0,20,3.8333333333333335,violin1,None,note,0
60.0,60.75,80,A-5,0.75,0,21,1.0,violin1,<music21.tie.Tie start>,note,1
60.75,61.25,77,F5,0.5,0,21,1.75,violin1,None,note,0
61.25,61.75,74,D5,0.5,0,21,2.25,violin1,None,note,0
61.75,62.25,71,B4,0.5,0,21,2.75,violin1,None,note,0
62.25,62.75,65,F4,0.5,0,21,3.25,violin1,None,note,0
62.75,63.0,62,D4,0.25,0,21,3.75,violin1,None,note,0
63.0,63.166666666666664,62,D4,0.16666666666666666,0,22,1.0,violin1,None,note,0
63.166666666666664,63.33333333333333,63,E-4,0.16666666666666666,0,22,1.1666666666666667,violin1,None,note,0
63.333333333333336,63.5,63,E-4,0.16666666666666666,0,22,1.3333333333333333,violin1,None,note,0
63.666666666666664,63.83333333333333,62,D4,0.16666666666666666,0,22,1.6666666666666667,violin1,None,note,0
63.833333333333336,64.0,63,E-4,0.16666666666666666,0,22,1.8333333333333333,violin1,None,note,0
64.16666666666667,64.33333333333334,62,D4,0.16666666666666666,0,22,2.1666666666666665,violin1,None,note,0
64.33333333333333,64.5,63,E-4,0.16666666666666666,0,22,2.3333333333333335,violin1,None,note,0
64.66666666666667,64.83333333333334,62,D4,0.16666666666666666,0,22,2.6666666666666665,violin1,None,note,0
64.83333333333333,65.0,63,E-4,0.16666666666666666,0,22,2.8333333333333335,violin1,None,note,0
65.16666666666667,65.33333333333334,62,D4,0.16666666666666666,0,22,3.1666666666666665,violin1,None,note,0
65.33333333333333,65.5,63,E-4,0.16666666666666666,0,22,3.3333333333333335,violin1,None,note,0
65.66666666666667,65.83333333333334,62,D4,0.16666666666666666,0,22,3.6666666666666665,violin1,None,note,0
65.83333333333333,66.0,63,E-4,0.16666666666666666,0,22,3.8333333333333335,violin1,None,note,0
66.0,66.75,84,C6,0.75,0,23,1.0,violin1,<music21.tie.Tie start>,note,1
66.75,67.25,79,G5,0.5,0,23,1.75,violin1,None,note,0
67.25,67.75,75,E-5,0.5,0,23,2.25,violin1,None,note,0
67.75,68.0,72,C5,0.25,0,23,2.75,violin1,None,note,0
68.0,68.75,84,C6,0.75,0,23,3.0,violin1,<music21.tie.Tie start>,note,1
68.75,69.25,80,A-5,0.5,0,23,3.75,violin1,<music21.tie.Tie start>,note,1
69.25,69.75,77,F5,0.5,0,24,1.25,violin1,None,note,0
69.75,70.0,72,C5,0.25,0,24,1.75,violin1,None,note,0
70.0,70.75,84,C6,0.75,0,24,2.0,violin1,<music21.tie.Tie start>,note,1
70.75,71.25,79,G5,0.5,0,24,2.75,violin1,None,note,0
71.25,71.75,76,E5,0.5,0,24,3.25,violin1,None,note,0
71.75,72.0,72,C5,0.25,0,24,3.75,violin1,None,note,0
72.0,72.75,84,C6,0.75,0,25,1.0,violin1,<music21.tie.Tie start>,note,1
72.75,73.25,80,A-5,0.5,0,25,1.75,violin1,<music21.tie.Tie start>,note,1
73.25,73.75,77,F5,0.5,0,25,2.25,violin1,None,note,0
73.75,74.0,72,C5,0.25,0,25,2.75,violin1,None,note,0
74.0,74.75,87,E-6,0.75,0,25,3.0,violin1,<music21.tie.Tie start>,note,1
74.75,75.25,84,C6,0.5,0,25,3.75,violin1,<music21.tie.Tie start>,note,1
75.25,75.75,81,A5,0.5,0,26,1.25,violin1,None,note,0
75.75,76.25,78,F#5,0.5,0,26,1.75,violin1,None,note,0
76.25,76.75,75,E-5,0.5,0,26,2.25,violin1,None,note,0
76.75,77.0,72,C5,0.25,0,26,2.75,violin1,None,note,0
77.0,77.25,71,B4,0.25,0,26,3.0,violin1,None,note,0
77.25,77.5,72,C5,0.25,0,26,3.25,violin1,None,note,0
77.5,77.75,75,E-5,0.25,0,26,3.5,violin1,None,note,0
77.75,78.0,72,C5,0.25,0,26,3.75,violin1,None,note,0
78.0,79.25,72,C5,1.25,0,27,1.0,violin1,<music21.tie.Tie start>,note,1
79.25,79.5,71,B4,0.25,0,27,2.25,violin1,None,note,0
79.5,79.75,69,A4,0.25,0,27,2.5,violin1,None,note,0
79.75,80.0,67,G4,0.25,0,27,2.75,violin1,None,note,0
80.0,80.125,66,F#4,0.125,0,27,3.0,violin1,None,note,0
80.125,80.25,67,G4,0.125,0,27,3.125,violin1,None,note,0
80.25,80.375,69,A4,0.125,0,27,3.25,violin1,None,note,0
80.375,80.5,67,G4,0.125,0,27,3.375,violin1,None,note,0
80.5,80.625,65,F4,0.125,0,27,3.5,violin1,None,note,0
80.625,80.75,64,E4,0.125,0,27,3.625,violin1,None,note,0
80.75,80.875,65,F4,0.125,0,27,3.75,violin1,None,note,0
80.875,81.0,62,D4,0.125,0,27,3.875,violin1,None,note,0
81.0,82.0,60,C4,1.0,0,28,1.0,violin1,None,note,0
82.0,83.0,62,D4,1.0,0,28,2.0,violin1,None,note,0
83.0,84.0,64,E4,1.0,0,28,3.0,violin1,None,note,0
84.0,84.625,65,F4,0.625,0,29,1.0,violin1,<music21.tie.Tie start>,note,1
84.625,84.75,67,G4,0.125,0,29,1.625,violin1,None,note,0
84.75,84.875,64,E4,0.125,0,29,1.75,violin1,None,note,0
84.875,85.0,65,F4,0.125,0,29,1.875,violin1,None,note,0
85.0,85.5,62,D4,0.5,0,29,2.0,violin1,None,note,0
87.0,87.66666666666667,62,D4,0.6666666666666666,0,30,1.0,violin1,<music21.tie.Tie start>,note,1
87.66666666666667,87.83333333333334,59,B3,0.16666666666666666,0,30,1.6666666666666667,violin1,None,note,0
87.83333333333333,88.0,55,G3,0.16666666666666666,0,30,1.8333333333333333,violin1,None,note,0
88.0,88.66666666666667,64,E4,0.6666666666666666,0,30,2.0,violin1,<music21.tie.Tie start>,note,1
88.66666666666667,88.83333333333334,60,C4,0.16666666666666666,0,30,2.6666666666666665,violin1,None,note,0
88.83333333333333,89.0,57,A3,0.16666666666666666,0,30,2.8333333333333335,violin1,None,note,0
89.0,89.66666666666667,65,F4,0.6666666666666666,0,30,3.0,violin1,<music21.tie.Tie start>,note,1
89.66666666666667,89.83333333333334,62,D4,0.16666666666666666,0,30,3.6666666666666665,violin1,None,note,0
89.83333333333333,90.0,59,B3,0.16666666666666666,0,30,3.8333333333333335,violin1,None,note,0
90.0,90.625,67,G4,0.625,0,31,1.0,violin1,<music21.tie.Tie start>,note,1
90.625,90.75,69,A4,0.125,0,31,1.625,violin1,None,note,0
90.75,90.875,65,F4,0.125,0,31,1.75,violin1,None,note,0
90.875,91.0,67,G4,0.125,0,31,1.875,violin1,None,note,0
91.0,91.5,64,E4,0.5,0,31,2.0,violin1,None,note,0
93.16666666666667,93.33333333333334,82,B-5,0.16666666666666666,0,32,1.1666666666666667,violin1,None,note,0
93.33333333333333,93.5,81,A5,0.16666666666666666,0,32,1.3333333333333333,violin1,None,note,0
93.5,93.66666666666667,81,A5,0.16666666666666666,0,32,1.5,violin1,None,note,0
93.66666666666667,93.83333333333334,81,A5,0.16666666666666666,0,32,1.6666666666666667,violin1,None,note,0
93.83333333333333,94.0,81,A5,0.16666666666666666,0,32,1.8333333333333333,violin1,None,note,0
94.0,94.5,81,A5,0.5,0,32,2.0,violin1,None,note,0
94.5,95.0,86,D6,0.5,0,32,2.5,violin1,None,note,0
95.16666666666667,95.33333333333334,80,A-5,0.16666666666666666,0,32,3.1666666666666665,violin1,None,note,0
95.33333333333333,95.5,79,G5,0.16666666666666666,0,32,3.3333333333333335,violin1,None,note,0
95.5,95.66666666666667,79,G5,0.16666666666666666,0,32,3.5,violin1,None,note,0
95.66666666666667,95.83333333333334,79,G5,0.16666666666666666,0,32,3.6666666666666665,violin1,None,note,0
95.83333333333333,96.0,79,G5,0.16666666666666666,0,32,3.8333333333333335,violin1,None,note,0
96.0,96.5,79,G5,0.5,0,33,1.0,violin1,None,note,0
96.5,97.0,84,C6,0.5,0,33,1.5,violin1,None,note,0
97.16666666666667,97.33333333333334,79,G5,0.16666666666666666,0,33,2.1666666666666665,violin1,None,note,0
97.33333333333333,97.5,77,F5,0.16666666666666666,0,33,2.3333333333333335,violin1,None,note,0
97.5,97.66666666666667,77,F5,0.16666666666666666,0,33,2.5,violin1,None,note,0
97.66666666666667,97.83333333333334,77,F5,0.16666666666666666,0,33,2.6666666666666665,violin1,None,note,0
97.83333333333333,98.0,77,F5,0.16666666666666666,0,33,2.8333333333333335,violin1,None,note,0
98.0,98.16666666666667,77,F5,0.16666666666666666,0,33,3.0,violin1,None,note,0
98.16666666666667,98.33333333333334,79,G5,0.16666666666666666,0,33,3.1666666666666665,violin1,None,note,0
98.33333333333333,98.5,77,F5,0.16666666666666666,0,33,3.3333333333333335,violin1,None,note,0
98.5,98.66666666666667,76,E5,0.16666666666666666,0,33,3.5,violin1,None,note,0
98.66666666666667,98.83333333333334,77,F5,0.16666666666666666,0,33,3.6666666666666665,violin1,None,note,0
98.83333333333333,99.0,76,E5,0.16666666666666666,0,33,3.8333333333333335,violin1,None,note,0
99.0,99.16666666666667,73,C#5,0.16666666666666666,0,34,1.0,violin1,None,note,0
99.16666666666667,99.33333333333334,74,D5,0.16666666666666666,0,34,1.1666666666666667,violin1,None,note,0
99.33333333333333,99.5,77,F5,0.16666666666666666,0,34,1.3333333333333333,violin1,None,note,0
99.5,99.66666666666667,81,A5,0.16666666666666666,0,34,1.5,violin1,None,note,0
99.66666666666667,99.83333333333334,77,F5,0.16666666666666666,0,34,1.6666666666666667,violin1,None,note,0
99.83333333333333,100.0,74,D5,0.16666666666666666,0,34,1.8333333333333333,violin1,None,note,0
100.0,101.0,72,C5,1.0,0,34,2.0,violin1,None,note,0
101.0,101.16666666666667,71,B4,0.16666666666666666,0,34,3.0,violin1,None,note,0
101.16666666666667,101.33333333333334,81,A5,0.16666666666666666,0,34,3.1666666666666665,violin1,None,note,0
