onset,offset,role
6,12,mel+harm
18,24,mel+harm
24,36,rhythm
36,48,rhythm+harm
54,60,mel+harm
66,72,mel+harm
72,84,rhythm
84,96,rhythm+harm
96,118,rhythm
118,124,mel
124,130,mel
135,142,rhythm
147,154,rhythm
159,175,rhythm
201,213,rhythm
213,225,rhythm+harm
225,247,rhythm
247,253,mel
253,259,mel
264,271,rhythm
276,283,rhythm
288,304,rhythm
330,342,rhythm
342,354,rhythm+harm
354,358,harm
354,358,harm
366,370,harm
366,370,harm
378,382,harm
390,394,harm
402,424,rhythm
438,442,harm
450,454,harm
462,484,rhythm
498,502,harm
510,514,harm
