onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument,tie_type,mode,select_time
24.0,36.0,86,D6,12.0,0,9,1.0,flute,<music21.tie.Tie continue>,note,3
36.0,37.0,86,D6,1.0,0,13,1.0,flute,None,note,0
37.0,38.0,86,D6,1.0,0,13,2.0,flute,None,note,0
38.0,39.0,86,D6,1.0,0,13,3.0,flute,None,note,0
39.0,40.0,84,C6,1.0,0,14,1.0,flute,None,note,0
40.0,41.0,84,C6,1.0,0,14,2.0,flute,None,note,0
41.0,42.0,84,C6,1.0,0,14,3.0,flute,None,note,0
42.0,43.0,81,A5,1.0,0,15,1.0,flute,None,note,0
43.0,44.0,81,A5,1.0,0,15,2.0,flute,None,note,0
44.0,45.0,81,A5,1.0,0,15,3.0,flute,None,note,0
45.0,46.0,79,G5,1.0,0,16,1.0,flute,None,note,0
72.0,84.0,86,D6,12.0,0,25,1.0,flute,<music21.tie.Tie continue>,note,3
84.0,85.0,86,D6,1.0,0,29,1.0,flute,None,note,0
85.0,86.0,86,D6,1.0,0,29,2.0,flute,None,note,0
86.0,87.0,86,D6,1.0,0,29,3.0,flute,None,note,0
87.0,88.0,84,C6,1.0,0,30,1.0,flute,None,note,0
88.0,89.0,84,C6,1.0,0,30,2.0,flute,None,note,0
89.0,90.0,84,C6,1.0,0,30,3.0,flute,None,note,0
90.0,91.0,81,A5,1.0,0,31,1.0,flute,None,note,0
91.0,92.0,81,A5,1.0,0,31,2.0,flute,None,note,0
92.0,93.0,81,A5,1.0,0,31,3.0,flute,None,note,0
93.0,94.0,79,G5,1.0,0,32,1.0,flute,None,note,0
110.0,111.0,79,G5,1.0,0,37,3.0,flute,None,note,0
111.0,113.0,81,A5,2.0,0,38,1.0,flute,None,note,0
113.0,114.0,83,B5,1.0,0,38,3.0,flute,None,note,0
114.0,116.0,84,C6,2.0,0,39,1.0,flute,None,note,0
116.0,117.0,87,E-6,1.0,0,39,3.0,flute,None,note,0
117.0,118.0,86,D6,1.0,0,40,1.0,flute,None,note,0
