onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,3.0,72,C5,3.0,0,1,1.0,oboe2
24.0,36.0,62,D4,12.0,0,9,1.0,oboe2
36.0,37.0,74,D5,1.0,0,13,1.0,oboe2
37.0,38.0,74,D5,1.0,0,13,2.0,oboe2
38.0,39.0,74,D5,1.0,0,13,3.0,oboe2
39.0,40.0,76,E5,1.0,0,14,1.0,oboe2
40.0,41.0,76,E5,1.0,0,14,2.0,oboe2
41.0,42.0,76,E5,1.0,0,14,3.0,oboe2
42.0,43.0,72,C5,1.0,0,15,1.0,oboe2
43.0,44.0,72,C5,1.0,0,15,2.0,oboe2
44.0,45.0,72,C5,1.0,0,15,3.0,oboe2
45.0,46.0,71,B4,1.0,0,16,1.0,oboe2
48.0,51.0,72,C5,3.0,0,1,1.0,oboe2
72.0,84.0,62,D4,12.0,0,9,1.0,oboe2
84.0,85.0,74,D5,1.0,0,13,1.0,oboe2
85.0,86.0,74,D5,1.0,0,13,2.0,oboe2
86.0,87.0,74,D5,1.0,0,13,3.0,oboe2
87.0,88.0,76,E5,1.0,0,14,1.0,oboe2
88.0,89.0,76,E5,1.0,0,14,2.0,oboe2
89.0,90.0,76,E5,1.0,0,14,3.0,oboe2
90.0,91.0,72,C5,1.0,0,15,1.0,oboe2
91.0,92.0,72,C5,1.0,0,15,2.0,oboe2
92.0,93.0,72,C5,1.0,0,15,3.0,oboe2
93.0,94.0,71,B4,1.0,0,16,1.0,oboe2
96.0,98.0,71,B4,2.0,0,17,1.0,oboe2
98.0,99.0,70,A#4,1.0,0,17,3.0,oboe2
99.0,100.0,69,A4,1.0,0,18,1.0,oboe2
100.0,101.0,66,F#4,1.0,0,18,2.0,oboe2
101.0,102.0,67,G4,1.0,0,18,3.0,oboe2
102.0,104.0,74,D5,2.0,0,19,1.0,oboe2
104.0,106.0,72,C5,2.0,0,19,3.0,oboe2
106.0,107.0,69,A4,1.0,0,20,2.0,oboe2
107.0,108.0,71,B4,1.0,0,20,3.0,oboe2
108.0,110.0,77,F5,2.0,0,21,1.0,oboe2
110.0,111.0,76,E5,1.0,0,21,3.0,oboe2
111.0,112.0,75,E-5,1.0,0,22,1.0,oboe2
112.0,115.0,74,D5,3.0,0,22,2.0,oboe2
115.0,117.0,72,C5,2.0,0,23,2.0,oboe2
117.0,118.0,71,B4,1.0,0,24,1.0,oboe2
124.0,125.0,79,G5,1.0,0,26,2.0,oboe2
125.0,126.0,79,G5,1.0,0,26,3.0,oboe2
126.0,128.0,79,G5,2.0,0,27,1.0,oboe2
128.0,128.5,76,E5,0.5,0,27,3.0,oboe2
128.5,129.0,72,C5,0.5,0,27,3.5,oboe2
129.0,130.0,67,G4,1.0,0,28,1.0,oboe2
130.0,131.0,79,G5,1.0,0,28,2.0,oboe2
131.0,132.0,78,F#5,1.0,0,28,3.0,oboe2
132.0,133.0,77,F5,1.0,0,29,1.0,oboe2
133.0,134.0,76,E5,1.0,0,29,2.0,oboe2
134.0,135.0,74,D5,1.0,0,29,3.0,oboe2
135.0,137.0,72,C5,2.0,0,30,1.0,oboe2
137.0,137.5,74,D5,0.5,0,30,3.0,oboe2
137.5,137.75,72,C5,0.25,0,30,3.5,oboe2
137.75,138.0,74,D5,0.25,0,30,3.75,oboe2
138.0,139.0,76,E5,1.0,0,31,1.0,oboe2
139.0,140.0,77,F5,1.0,0,31,2.0,oboe2
140.0,141.0,79,G5,1.0,0,31,3.0,oboe2
141.0,143.0,81,A5,2.0,0,32,1.0,oboe2
143.0,144.0,80,G#5,1.0,0,32,3.0,oboe2
144.0,145.0,79,G5,1.0,0,33,1.0,oboe2
145.0,146.0,78,F#5,1.0,0,33,2.0,oboe2
146.0,147.0,76,E5,1.0,0,33,3.0,oboe2
147.0,148.0,74,D5,1.0,0,34,1.0,oboe2
148.0,149.0,78,F#5,1.0,0,34,2.0,oboe2
149.0,149.5,79,G5,0.5,0,34,3.0,oboe2
149.5,149.75,78,F#5,0.25,0,34,3.5,oboe2
149.75,150.0,79,G5,0.25,0,34,3.75,oboe2
150.0,151.0,81,A5,1.0,0,35,1.0,oboe2
151.0,152.0,83,B5,1.0,0,35,2.0,oboe2
152.0,153.0,84,C6,1.0,0,35,3.0,oboe2
153.0,155.0,86,D6,2.0,0,36,1.0,oboe2
155.0,156.0,85,C#6,1.0,0,36,3.0,oboe2
156.0,157.0,84,C6,1.0,0,37,1.0,oboe2
157.0,158.0,83,B5,1.0,0,37,2.0,oboe2
158.0,159.0,81,A5,1.0,0,37,3.0,oboe2
159.0,161.0,79,G5,2.0,0,38,1.0,oboe2
161.0,161.5,81,A5,0.5,0,38,3.0,oboe2
161.5,161.75,79,G5,0.25,0,38,3.5,oboe2
161.75,162.0,81,A5,0.25,0,38,3.75,oboe2
162.0,163.0,83,B5,1.0,0,39,1.0,oboe2
163.0,164.0,84,C6,1.0,0,39,2.0,oboe2
164.0,165.0,77,F5,1.0,0,39,3.0,oboe2
165.0,166.0,79,G5,1.0,0,40,1.0,oboe2
166.0,167.0,74,D5,1.0,0,40,2.0,oboe2
167.0,168.0,72,C5,1.0,0,40,3.0,oboe2
169.0,170.0,67,G4,1.0,0,41,2.0,oboe2
170.0,171.0,65,F4,1.0,0,41,3.0,oboe2
171.0,171.5,76,E5,0.5,0,42,1.0,oboe2
171.5,172.0,77,F5,0.5,0,42,1.5,oboe2
172.0,172.5,76,E5,0.5,0,42,2.0,oboe2
172.5,173.0,72,C5,0.5,0,42,2.5,oboe2
173.0,173.5,74,D5,0.5,0,42,3.0,oboe2
173.5,174.0,71,B4,0.5,0,42,3.5,oboe2
174.0,175.0,72,C5,1.0,0,43,1.0,oboe2
177.0,179.0,79,G5,2.0,0,44,1.0,oboe2
179.0,180.0,78,F#5,1.0,0,44,3.0,oboe2
