onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure, instrument,tie_type,mode,select_time
6.0,7.0,72,C5,1.0,0,3,1.0,piccolotrumpet1,None,note,0
9.0,10.0,67,G4,1.0,0,4,1.0,piccolotrumpet1,None,note,0
18.0,19.0,67,G4,1.0,0,7,1.0,piccolotrumpet1,None,note,0
21.0,22.0,48,C3,1.0,0,8,1.0,piccolotrumpet1,None,note,0
24.0,25.0,67,G4,1.0,0,9,1.0,piccolotrumpet1,None,note,0
27.0,28.0,74,D5,1.0,0,10,1.0,piccolotrumpet1,None,note,0
30.0,31.0,67,G4,1.0,0,11,1.0,piccolotrumpet1,None,note,0
33.0,34.0,74,D5,1.0,0,12,1.0,piccolotrumpet1,None,note,0
36.0,37.0,74,D5,1.0,0,13,1.0,piccolotrumpet1,None,note,0
39.0,40.0,76,E5,1.0,0,14,1.0,piccolotrumpet1,None,note,0
42.0,43.0,74,D5,1.0,0,15,1.0,piccolotrumpet1,None,note,0
45.0,46.0,74,D5,1.0,0,16,1.0,piccolotrumpet1,None,note,0
54.0,55.0,72,C5,1.0,0,19,1.0,piccolotrumpet1,None,note,0
57.0,58.0,67,G4,1.0,0,20,1.0,piccolotrumpet1,None,note,0
66.0,67.0,67,G4,1.0,0,23,1.0,piccolotrumpet1,None,note,0
69.0,70.0,48,C3,1.0,0,24,1.0,piccolotrumpet1,None,note,0
72.0,73.0,67,G4,1.0,0,25,1.0,piccolotrumpet1,None,note,0
75.0,76.0,74,D5,1.0,0,26,1.0,piccolotrumpet1,None,note,0
78.0,79.0,67,G4,1.0,0,27,1.0,piccolotrumpet1,None,note,0
81.0,82.0,74,D5,1.0,0,28,1.0,piccolotrumpet1,None,note,0
84.0,85.0,74,D5,1.0,0,29,1.0,piccolotrumpet1,None,note,0
87.0,88.0,76,E5,1.0,0,30,1.0,piccolotrumpet1,None,note,0
90.0,91.0,74,D5,1.0,0,31,1.0,piccolotrumpet1,None,note,0
93.0,94.0,74,D5,1.0,0,32,1.0,piccolotrumpet1,None,note,0
96.0,97.0,67,G4,1.0,0,33,1.0,piccolotrumpet1,None,note,0
102.0,103.0,67,G4,1.0,0,35,1.0,piccolotrumpet1,None,note,0
108.0,109.0,67,G4,1.0,0,37,1.0,piccolotrumpet1,None,note,0
111.0,112.0,67,G4,1.0,0,38,1.0,piccolotrumpet1,None,note,0
114.0,115.0,67,G4,1.0,0,39,1.0,piccolotrumpet1,None,note,0
117.0,118.0,67,G4,1.0,0,40,1.0,piccolotrumpet1,None,note,0
124.0,125.0,67,G4,1.0,0,42,2.0,piccolotrumpet1,None,note,0
125.0,126.0,67,G4,1.0,0,42,3.0,piccolotrumpet1,None,note,0
126.0,128.0,67,G4,2.0,0,43,1.0,piccolotrumpet1,None,note,0
128.0,128.5,64,E4,0.5,0,43,3.0,piccolotrumpet1,None,note,0
128.5,129.0,60,C4,0.5,0,43,3.5,piccolotrumpet1,None,note,0
129.0,130.0,67,G4,1.0,0,44,1.0,piccolotrumpet1,None,note,0
135.0,136.0,72,C5,1.0,0,46,1.0,piccolotrumpet1,None,note,0
136.0,137.0,72,C5,1.0,0,46,2.0,piccolotrumpet1,None,note,0
137.0,138.0,72,C5,1.0,0,46,3.0,piccolotrumpet1,None,note,0
138.0,139.0,72,C5,1.0,0,47,1.0,piccolotrumpet1,None,note,0
139.0,140.0,72,C5,1.0,0,47,2.0,piccolotrumpet1,None,note,0
140.0,141.0,72,C5,1.0,0,47,3.0,piccolotrumpet1,None,note,0
141.0,142.0,72,C5,1.0,0,48,1.0,piccolotrumpet1,None,note,0
147.0,149.0,74,D5,2.0,0,50,1.0,piccolotrumpet1,None,note,0
150.0,151.0,74,D5,1.0,0,51,1.0,piccolotrumpet1,None,note,0
151.0,152.0,74,D5,1.0,0,51,2.0,piccolotrumpet1,None,note,0
152.0,153.0,74,D5,1.0,0,51,3.0,piccolotrumpet1,None,note,0
153.0,154.0,74,D5,1.0,0,52,1.0,piccolotrumpet1,None,note,0
159.0,160.0,67,G4,1.0,0,54,1.0,piccolotrumpet1,None,note,0
160.0,161.0,67,G4,1.0,0,54,2.0,piccolotrumpet1,None,note,0
161.0,162.0,67,G4,1.0,0,54,3.0,piccolotrumpet1,None,note,0
162.0,163.0,67,G4,1.0,0,55,1.0,piccolotrumpet1,None,note,0
163.0,164.0,67,G4,1.0,0,55,2.0,piccolotrumpet1,None,note,0
164.0,165.0,67,G4,1.0,0,55,3.0,piccolotrumpet1,None,note,0
165.0,166.0,72,C5,1.0,0,56,1.0,piccolotrumpet1,None,note,0
168.0,169.0,72,C5,1.0,0,57,1.0,piccolotrumpet1,None,note,0
171.0,172.0,67,G4,1.0,0,58,1.0,piccolotrumpet1,None,note,0
172.0,173.0,67,G4,1.0,0,58,2.0,piccolotrumpet1,None,note,0
173.0,174.0,67,G4,1.0,0,58,3.0,piccolotrumpet1,None,note,0
174.0,175.0,67,G4,1.0,0,59,1.0,piccolotrumpet1,None,note,0
201.0,205.0,67,G4,4.0,0,68,1.0,piccolotrumpet1,<music21.tie.Tie start>,note,1
205.0,206.0,67,G4,1.0,0,69,2.0,piccolotrumpet1,None,note,0
206.0,207.0,67,G4,1.0,0,69,3.0,piccolotrumpet1,None,note,0
207.0,211.0,67,G4,4.0,0,70,1.0,piccolotrumpet1,<music21.tie.Tie start>,note,1
211.0,212.0,67,G4,1.0,0,71,2.0,piccolotrumpet1,None,note,0
212.0,213.0,67,G4,1.0,0,71,3.0,piccolotrumpet1,None,note,0
213.0,214.0,72,C5,1.0,0,72,1.0,piccolotrumpet1,None,note,0
214.0,215.0,72,C5,1.0,0,72,2.0,piccolotrumpet1,None,note,0
215.0,216.0,72,C5,1.0,0,72,3.0,piccolotrumpet1,None,note,0
216.0,217.0,72,C5,1.0,0,73,1.0,piccolotrumpet1,None,note,0
219.0,220.0,74,D5,1.0,0,74,1.0,piccolotrumpet1,None,note,0
222.0,223.0,72,C5,1.0,0,75,1.0,piccolotrumpet1,None,note,0
225.0,226.0,67,G4,1.0,0,76,1.0,piccolotrumpet1,None,note,0
231.0,232.0,67,G4,1.0,0,78,1.0,piccolotrumpet1,None,note,0
237.0,238.0,67,G4,1.0,0,80,1.0,piccolotrumpet1,None,note,0
240.0,241.0,67,G4,1.0,0,81,1.0,piccolotrumpet1,None,note,0
243.0,244.0,67,G4,1.0,0,82,1.0,piccolotrumpet1,None,note,0
246.0,247.0,67,G4,1.0,0,83,1.0,piccolotrumpet1,None,note,0
253.0,254.0,67,G4,1.0,0,85,2.0,piccolotrumpet1,None,note,0
254.0,255.0,67,G4,1.0,0,85,3.0,piccolotrumpet1,None,note,0
255.0,257.0,67,G4,2.0,0,86,1.0,piccolotrumpet1,None,note,0
257.0,257.5,64,E4,0.5,0,86,3.0,piccolotrumpet1,None,note,0
257.5,258.0,60,C4,0.5,0,86,3.5,piccolotrumpet1,None,note,0
258.0,259.0,67,G4,1.0,0,87,1.0,piccolotrumpet1,None,note,0
264.0,265.0,72,C5,1.0,0,89,1.0,piccolotrumpet1,None,note,0
265.0,266.0,72,C5,1.0,0,89,2.0,piccolotrumpet1,None,note,0
