onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
6.0,7.0,60,C4,1.0,0,3,1.0,piccolotrumpet2
9.0,10.0,55,G3,1.0,0,4,1.0,piccolotrumpet2
18.0,19.0,55,G3,1.0,0,7,1.0,piccolotrumpet2
21.0,22.0,36,C2,1.0,0,8,1.0,piccolotrumpet2
24.0,25.0,67,G4,1.0,0,9,1.0,piccolotrumpet2
27.0,28.0,74,D5,1.0,0,10,1.0,piccolotrumpet2
30.0,31.0,67,G4,1.0,0,11,1.0,piccolotrumpet2
33.0,34.0,74,D5,1.0,0,12,1.0,piccolotrumpet2
36.0,37.0,67,G4,1.0,0,13,1.0,piccolotrumpet2
39.0,40.0,72,C5,1.0,0,14,1.0,piccolotrumpet2
42.0,43.0,74,D5,1.0,0,15,1.0,piccolotrumpet2
45.0,46.0,67,G4,1.0,0,16,1.0,piccolotrumpet2
54.0,55.0,60,C4,1.0,0,19,1.0,piccolotrumpet2
57.0,58.0,55,G3,1.0,0,20,1.0,piccolotrumpet2
66.0,67.0,55,G3,1.0,0,23,1.0,piccolotrumpet2
69.0,70.0,36,C2,1.0,0,24,1.0,piccolotrumpet2
72.0,73.0,67,G4,1.0,0,25,1.0,piccolotrumpet2
75.0,76.0,74,D5,1.0,0,26,1.0,piccolotrumpet2
78.0,79.0,67,G4,1.0,0,27,1.0,piccolotrumpet2
81.0,82.0,74,D5,1.0,0,28,1.0,piccolotrumpet2
84.0,85.0,67,G4,1.0,0,29,1.0,piccolotrumpet2
87.0,88.0,72,C5,1.0,0,30,1.0,piccolotrumpet2
90.0,91.0,74,D5,1.0,0,31,1.0,piccolotrumpet2
93.0,94.0,67,G4,1.0,0,32,1.0,piccolotrumpet2
96.0,97.0,55,G3,1.0,0,33,1.0,piccolotrumpet2
102.0,103.0,55,G3,1.0,0,35,1.0,piccolotrumpet2
108.0,109.0,55,G3,1.0,0,37,1.0,piccolotrumpet2
111.0,112.0,55,G3,1.0,0,38,1.0,piccolotrumpet2
114.0,115.0,55,G3,1.0,0,39,1.0,piccolotrumpet2
117.0,118.0,55,G3,1.0,0,40,1.0,piccolotrumpet2
124.0,125.0,67,G4,1.0,0,42,2.0,piccolotrumpet2
125.0,126.0,67,G4,1.0,0,42,3.0,piccolotrumpet2
126.0,128.0,67,G4,2.0,0,43,1.0,piccolotrumpet2
128.0,128.5,64,E4,0.5,0,43,3.0,piccolotrumpet2
128.5,129.0,60,C4,0.5,0,43,3.5,piccolotrumpet2
129.0,130.0,67,G4,1.0,0,44,1.0,piccolotrumpet2
135.0,136.0,60,C4,1.0,0,46,1.0,piccolotrumpet2
136.0,137.0,60,C4,1.0,0,46,2.0,piccolotrumpet2
137.0,138.0,60,C4,1.0,0,46,3.0,piccolotrumpet2
138.0,139.0,60,C4,1.0,0,47,1.0,piccolotrumpet2
139.0,140.0,60,C4,1.0,0,47,2.0,piccolotrumpet2
140.0,141.0,60,C4,1.0,0,47,3.0,piccolotrumpet2
141.0,142.0,60,C4,1.0,0,48,1.0,piccolotrumpet2
147.0,149.0,74,D5,2.0,0,50,1.0,piccolotrumpet2
150.0,151.0,74,D5,1.0,0,51,1.0,piccolotrumpet2
151.0,152.0,74,D5,1.0,0,51,2.0,piccolotrumpet2
152.0,153.0,74,D5,1.0,0,51,3.0,piccolotrumpet2
153.0,154.0,67,G4,1.0,0,52,1.0,piccolotrumpet2
159.0,160.0,67,G4,1.0,0,54,1.0,piccolotrumpet2
160.0,161.0,67,G4,1.0,0,54,2.0,piccolotrumpet2
161.0,162.0,67,G4,1.0,0,54,3.0,piccolotrumpet2
162.0,163.0,67,G4,1.0,0,55,1.0,piccolotrumpet2
163.0,164.0,67,G4,1.0,0,55,2.0,piccolotrumpet2
164.0,165.0,67,G4,1.0,0,55,3.0,piccolotrumpet2
165.0,166.0,60,C4,1.0,0,56,1.0,piccolotrumpet2
168.0,169.0,60,C4,1.0,0,57,1.0,piccolotrumpet2
171.0,172.0,67,G4,1.0,0,58,1.0,piccolotrumpet2
172.0,173.0,67,G4,1.0,0,58,2.0,piccolotrumpet2
173.0,174.0,67,G4,1.0,0,58,3.0,piccolotrumpet2
174.0,175.0,64,E4,1.0,0,59,1.0,piccolotrumpet2
201.0,205.0,67,G4,4.0,0,68,1.0,piccolotrumpet2
205.0,206.0,67,G4,1.0,0,69,2.0,piccolotrumpet2
206.0,207.0,67,G4,1.0,0,69,3.0,piccolotrumpet2
207.0,211.0,67,G4,4.0,0,70,1.0,piccolotrumpet2
211.0,212.0,67,G4,1.0,0,71,2.0,piccolotrumpet2
212.0,213.0,67,G4,1.0,0,71,3.0,piccolotrumpet2
213.0,214.0,60,C4,1.0,0,72,1.0,piccolotrumpet2
214.0,215.0,60,C4,1.0,0,72,2.0,piccolotrumpet2
215.0,216.0,60,C4,1.0,0,72,3.0,piccolotrumpet2
216.0,217.0,60,C4,1.0,0,73,1.0,piccolotrumpet2
219.0,220.0,67,G4,1.0,0,74,1.0,piccolotrumpet2
222.0,223.0,64,E4,1.0,0,75,1.0,piccolotrumpet2
225.0,226.0,55,G3,1.0,0,76,1.0,piccolotrumpet2
231.0,232.0,55,G3,1.0,0,78,1.0,piccolotrumpet2
237.0,238.0,55,G3,1.0,0,80,1.0,piccolotrumpet2
240.0,241.0,55,G3,1.0,0,81,1.0,piccolotrumpet2
243.0,244.0,55,G3,1.0,0,82,1.0,piccolotrumpet2
246.0,247.0,55,G3,1.0,0,83,1.0,piccolotrumpet2
253.0,254.0,67,G4,1.0,0,85,2.0,piccolotrumpet2
254.0,255.0,67,G4,1.0,0,85,3.0,piccolotrumpet2
255.0,257.0,67,G4,2.0,0,86,1.0,piccolotrumpet2
257.0,257.5,64,E4,0.5,0,86,3.0,piccolotrumpet2
257.5,258.0,60,C4,0.5,0,86,3.5,piccolotrumpet2
258.0,259.0,67,G4,1.0,0,87,1.0,piccolotrumpet2
264.0,265.0,60,C4,1.0,0,89,1.0,piccolotrumpet2
265.0,266.0,60,C4,1.0,0,89,2.0,piccolotrumpet2
266.0,267.0,60,C4,1.0,0,89,3.0,piccolotrumpet2
267.0,268.0,60,C4,1.0,0,90,1.0,piccolotrumpet2
268.0,269.0,60,C4,1.0,0,90,2.0,piccolotrumpet2
269.0,270.0,60,C4,1.0,0,90,3.0,piccolotrumpet2
270.0,271.0,60,C4,1.0,0,91,1.0,piccolotrumpet2
276.0,278.0,74,D5,2.0,0,93,1.0,piccolotrumpet2
279.0,280.0,74,D5,1.0,0,94,1.0,piccolotrumpet2
280.0,281.0,74,D5,1.0,0,94,2.0,piccolotrumpet2
281.0,282.0,74,D5,1.0,0,94,3.0,piccolotrumpet2
282.0,283.0,67,G4,1.0,0,95,1.0,piccolotrumpet2
288.0,289.0,67,G4,1.0,0,97,1.0,piccolotrumpet2
