onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
6.0,7.0,60,C4,1.0,0,3,1.0,trumpet2
9.0,10.0,55,G3,1.0,0,4,1.0,trumpet2
18.0,19.0,55,G3,1.0,0,7,1.0,trumpet2
21.0,22.0,36,C2,1.0,0,8,1.0,trumpet2
24.0,25.0,67,G4,1.0,0,9,1.0,trumpet2
27.0,28.0,74,D5,1.0,0,10,1.0,trumpet2
30.0,31.0,67,G4,1.0,0,11,1.0,trumpet2
33.0,34.0,74,D5,1.0,0,12,1.0,trumpet2
36.0,37.0,67,G4,1.0,0,13,1.0,trumpet2
39.0,40.0,72,C5,1.0,0,14,1.0,trumpet2
42.0,43.0,74,D5,1.0,0,15,1.0,trumpet2
45.0,46.0,67,G4,1.0,0,16,1.0,trumpet2
54.0,55.0,60,C4,1.0,0,3,1.0,trumpet2
57.0,58.0,55,G3,1.0,0,4,1.0,trumpet2
66.0,67.0,55,G3,1.0,0,7,1.0,trumpet2
69.0,70.0,36,C2,1.0,0,8,1.0,trumpet2
72.0,73.0,67,G4,1.0,0,9,1.0,trumpet2
75.0,76.0,74,D5,1.0,0,10,1.0,trumpet2
78.0,79.0,67,G4,1.0,0,11,1.0,trumpet2
81.0,82.0,74,D5,1.0,0,12,1.0,trumpet2
84.0,85.0,67,G4,1.0,0,13,1.0,trumpet2
87.0,88.0,72,C5,1.0,0,14,1.0,trumpet2
90.0,91.0,74,D5,1.0,0,15,1.0,trumpet2
93.0,94.0,67,G4,1.0,0,16,1.0,trumpet2
96.0,97.0,55,G3,1.0,0,17,1.0,trumpet2
102.0,103.0,55,G3,1.0,0,19,1.0,trumpet2
108.0,109.0,55,G3,1.0,0,21,1.0,trumpet2
111.0,112.0,55,G3,1.0,0,22,1.0,trumpet2
114.0,115.0,55,G3,1.0,0,23,1.0,trumpet2
117.0,118.0,55,G3,1.0,0,24,1.0,trumpet2
124.0,125.0,67,G4,1.0,0,26,2.0,trumpet2
125.0,126.0,67,G4,1.0,0,26,3.0,trumpet2
126.0,128.0,67,G4,2.0,0,27,1.0,trumpet2
128.0,128.5,64,E4,0.5,0,27,3.0,trumpet2
128.5,129.0,60,C4,0.5,0,27,3.5,trumpet2
129.0,130.0,67,G4,1.0,0,28,1.0,trumpet2
135.0,136.0,60,C4,1.0,0,30,1.0,trumpet2
136.0,137.0,60,C4,1.0,0,30,2.0,trumpet2
137.0,138.0,60,C4,1.0,0,30,3.0,trumpet2
138.0,139.0,60,C4,1.0,0,31,1.0,trumpet2
139.0,140.0,60,C4,1.0,0,31,2.0,trumpet2
140.0,141.0,60,C4,1.0,0,31,3.0,trumpet2
141.0,142.0,60,C4,1.0,0,32,1.0,trumpet2
147.0,149.0,74,D5,2.0,0,34,1.0,trumpet2
150.0,151.0,74,D5,1.0,0,35,1.0,trumpet2
151.0,152.0,74,D5,1.0,0,35,2.0,trumpet2
152.0,153.0,74,D5,1.0,0,35,3.0,trumpet2
153.0,154.0,67,G4,1.0,0,36,1.0,trumpet2
159.0,160.0,67,G4,1.0,0,38,1.0,trumpet2
160.0,161.0,67,G4,1.0,0,38,2.0,trumpet2
161.0,162.0,67,G4,1.0,0,38,3.0,trumpet2
162.0,163.0,67,G4,1.0,0,39,1.0,trumpet2
163.0,164.0,67,G4,1.0,0,39,2.0,trumpet2
164.0,165.0,67,G4,1.0,0,39,3.0,trumpet2
165.0,166.0,60,C4,1.0,0,40,1.0,trumpet2
168.0,169.0,60,C4,1.0,0,41,1.0,trumpet2
171.0,172.0,67,G4,1.0,0,42,1.0,trumpet2
172.0,173.0,67,G4,1.0,0,42,2.0,trumpet2
173.0,174.0,67,G4,1.0,0,42,3.0,trumpet2
174.0,175.0,64,E4,1.0,0,43,1.0,trumpet2
201.0,205.0,67,G4,4.0,0,52,1.0,trumpet2
205.0,206.0,67,G4,1.0,0,53,2.0,trumpet2
206.0,207.0,67,G4,1.0,0,53,3.0,trumpet2
207.0,211.0,67,G4,4.0,0,54,1.0,trumpet2
211.0,212.0,67,G4,1.0,0,55,2.0,trumpet2
212.0,213.0,67,G4,1.0,0,55,3.0,trumpet2
213.0,214.0,60,C4,1.0,0,56,1.0,trumpet2
214.0,215.0,60,C4,1.0,0,56,2.0,trumpet2
215.0,216.0,60,C4,1.0,0,56,3.0,trumpet2
216.0,217.0,60,C4,1.0,0,57,1.0,trumpet2
219.0,220.0,67,G4,1.0,0,58,1.0,trumpet2
222.0,223.0,64,E4,1.0,0,59,1.0,trumpet2
225.0,226.0,55,G3,1.0,0,17,1.0,trumpet2
231.0,232.0,55,G3,1.0,0,19,1.0,trumpet2
237.0,238.0,55,G3,1.0,0,21,1.0,trumpet2
240.0,241.0,55,G3,1.0,0,22,1.0,trumpet2
243.0,244.0,55,G3,1.0,0,23,1.0,trumpet2
246.0,247.0,55,G3,1.0,0,24,1.0,trumpet2
253.0,254.0,67,G4,1.0,0,26,2.0,trumpet2
254.0,255.0,67,G4,1.0,0,26,3.0,trumpet2
255.0,257.0,67,G4,2.0,0,27,1.0,trumpet2
257.0,257.5,64,E4,0.5,0,27,3.0,trumpet2
257.5,258.0,60,C4,0.5,0,27,3.5,trumpet2
258.0,259.0,67,G4,1.0,0,28,1.0,trumpet2
264.0,265.0,60,C4,1.0,0,30,1.0,trumpet2
265.0,266.0,60,C4,1.0,0,30,2.0,trumpet2
266.0,267.0,60,C4,1.0,0,30,3.0,trumpet2
267.0,268.0,60,C4,1.0,0,31,1.0,trumpet2
268.0,269.0,60,C4,1.0,0,31,2.0,trumpet2
269.0,270.0,60,C4,1.0,0,31,3.0,trumpet2
270.0,271.0,60,C4,1.0,0,32,1.0,trumpet2
276.0,278.0,74,D5,2.0,0,34,1.0,trumpet2
279.0,280.0,74,D5,1.0,0,35,1.0,trumpet2
280.0,281.0,74,D5,1.0,0,35,2.0,trumpet2
281.0,282.0,74,D5,1.0,0,35,3.0,trumpet2
282.0,283.0,67,G4,1.0,0,36,1.0,trumpet2
288.0,289.0,67,G4,1.0,0,38,1.0,trumpet2
289.0,290.0,67,G4,1.0,0,38,2.0,trumpet2
290.0,291.0,67,G4,1.0,0,38,3.0,trumpet2
291.0,292.0,67,G4,1.0,0,39,1.0,trumpet2
292.0,293.0,67,G4,1.0,0,39,2.0,trumpet2
293.0,294.0,67,G4,1.0,0,39,3.0,trumpet2
294.0,295.0,60,C4,1.0,0,40,1.0,trumpet2
297.0,298.0,60,C4,1.0,0,41,1.0,trumpet2
300.0,301.0,67,G4,1.0,0,42,1.0,trumpet2
301.0,302.0,67,G4,1.0,0,42,2.0,trumpet2
302.0,303.0,67,G4,1.0,0,42,3.0,trumpet2
303.0,304.0,64,E4,1.0,0,43,1.0,trumpet2
330.0,334.0,67,G4,4.0,0,52,1.0,trumpet2
334.0,335.0,67,G4,1.0,0,53,2.0,trumpet2
335.0,336.0,67,G4,1.0,0,53,3.0,trumpet2
336.0,340.0,67,G4,4.0,0,54,1.0,trumpet2
340.0,341.0,67,G4,1.0,0,55,2.0,trumpet2
341.0,342.0,67,G4,1.0,0,55,3.0,trumpet2
342.0,343.0,60,C4,1.0,0,56,1.0,trumpet2
343.0,344.0,60,C4,1.0,0,56,2.0,trumpet2
344.0,345.0,60,C4,1.0,0,56,3.0,trumpet2
345.0,346.0,60,C4,1.0,0,57,1.0,trumpet2
348.0,349.0,67,G4,1.0,0,58,1.0,trumpet2
351.0,352.0,64,E4,1.0,0,59,1.0,trumpet2
402.0,403.0,64,E4,1.0,0,9,1.0,trumpet2
404.0,404.5,64,E4,0.5,0,9,3.0,trumpet2
404.5,405.0,64,E4,0.5,0,9,3.5,trumpet2
405.0,406.0,64,E4,1.0,0,10,1.0,trumpet2
