onset,offset,role
6,12,rhythm+harm
18,24,rhythm+harm
24,36,rhythm
36,48,rhythm
54,60,rhythm+harm
66,72,rhythm+harm
72,84,rhythm
84,96,rhythm
99,118,mel
118,124,mel
129,165,mel
165,175,mel+harm
201,213,rhythm
213,225,rhythm
228,247,mel
247,253,mel
258,294,mel
294,304,mel+harm
330,342,rhythm
342,354,rhythm
361,364,rhythm+harm
361,364,rhythm+harm
374,376,rhythm+harm
374,376,rhythm+harm
385,388,rhythm+harm
398,400,rhythm+harm
402,438,rhythm
444,448,harm
456,460,harm
462,498,rhythm
504,508,harm
516,520,harm
