onset,offset,role
16,24,harm
24,29,rhythm+harm
35,74,rhythm
74,84,mel
84,97,rhythm
98,108,mel
108,116,rhythm+harm
116,124,mel
124,138,rhythm
168,208,mel
208,224,rhythm
224,254,rhythm
256,290,mel
292,318,rhythm+harm
318,340,mel+harm
340,374,harm
376,456,mel
456,488,rhythm
488,508,mel
508,524,mel+rhythm
524,538,rhythm
538,576,mel
576,602,mel
602,626,mel
644,652,harm
652,657,rhythm+harm
663,702,rhythm
702,712,mel
712,725,rhythm
726,736,mel
736,744,rhythm+harm
744,752,mel
752,766,rhythm
796,836,mel
836,852,rhythm
852,882,rhythm
884,918,mel
920,946,rhythm+harm
946,968,mel+harm
968,1002,harm
1004,1084,mel
1084,1116,rhythm
1116,1136,mel
1136,1152,mel+rhythm
1152,1166,rhythm
1166,1204,mel
1204,1230,mel
1230,1254,mel
1256,1282,mel+harm
1288,1314,mel+harm
1318,1382,mel
1392,1402,mel
1412,1422,mel
1432,1442,mel
1464,1477,rhythm
1478,1502,mel
1516,1526,harm
1532,1548,harm
1548,1554,rhythm+harm
1559,1640,rhythm
1640,1674,rhythm
1676,1710,mel
1712,1738,rhythm+harm
1738,1760,mel+harm
1760,1794,harm
1796,1872,mel
1872,1928,rhythm
1928,1936,mel
1936,1962,rhythm
1962,2000,mel
2000,2026,mel
2030,2050,mel+harm
2050,2076,mel+harm
2082,2108,mel+harm
2112,2176,mel
2186,2196,mel
2206,2216,mel
2226,2236,mel
2258,2271,rhythm
2272,2296,mel
2310,2320,harm
2326,2342,harm
2342,2348,rhythm+harm
2353,2434,rhythm
2434,2468,rhythm
2470,2504,mel
2506,2532,rhythm+harm
2532,2554,mel+harm
2554,2588,harm
2590,2666,mel
2666,2722,rhythm
2722,2730,mel
2730,2756,rhythm
2756,2794,mel
2794,2820,mel
2824,2844,mel+harm
2850,2862,mel
2872,2910,mel+harm
2910,2924,mel
2928,2944,mel+harm
2944,2960,mel
2964,2976,mel
2978,3004,mel
3008,3020,mel+harm
3020,3032,mel
3032,3057,rhythm
3058,3068,mel
3068,3082,rhythm
3082,3092,mel
3092,3118,rhythm+harm
