onset,offset,role
0,29,rhythm
32,74,mel
74,108,mel
108,117,rhythm+harm
118,124,mel
124,138,rhythm+harm
140,208,mel
208,220,mel
220,224,rhythm
224,254,rhythm
254,290,mel
292,340,rhythm
340,456,mel
456,488,rhythm
488,508,rhythm
508,524,rhythm
524,538,mel+rhythm
542,602,mel
602,626,mel
628,657,rhythm
660,702,mel
702,736,mel
736,745,rhythm+harm
746,752,mel
752,766,rhythm+harm
768,836,mel
836,848,mel
848,852,rhythm
852,882,rhythm
882,918,mel
920,968,rhythm
968,1084,mel
1084,1116,rhythm
1116,1136,rhythm
1136,1152,rhythm
1152,1166,mel+rhythm
1170,1230,mel
1230,1254,mel
1256,1282,mel+harm
1288,1314,mel+harm
1320,1384,mel
1390,1404,mel
1414,1424,mel
1430,1444,mel
1454,1464,mel
1464,1477,rhythm
1478,1490,rhythm+harm
1490,1502,mel
1516,1524,harm
1524,1556,rhythm
1556,1590,mel
1596,1640,mel+harm
1640,1674,rhythm
1674,1710,mel
1712,1760,rhythm
1760,1792,mel
1792,1872,mel
1872,1876,mel
1876,1928,rhythm
1928,1952,mel+rhythm
1952,1962,rhythm+harm
1966,2000,mel
2000,2026,rhythm
2026,2050,mel+harm
2050,2076,mel+harm
2082,2108,mel+harm
2114,2178,mel
2184,2198,mel
2208,2218,mel
2224,2238,mel
2248,2258,mel
2258,2271,rhythm
2272,2284,rhythm+harm
2284,2296,mel
2310,2318,harm
2318,2350,rhythm
2350,2384,mel
2390,2434,mel+harm
2434,2468,rhythm
2468,2504,mel
2506,2554,rhythm
2554,2586,mel
2586,2666,mel
2666,2670,mel
2670,2722,rhythm
2722,2746,mel+rhythm
2746,2756,rhythm+harm
2760,2794,mel
2794,2820,rhythm
2820,2844,mel+harm
2850,2862,mel
2864,2912,mel+harm
2926,2940,mel
2944,2960,mel+harm
2960,2976,mel
2980,3032,mel
3032,3057,mel
3058,3082,mel
3082,3092,mel
3092,3118,rhythm+harm
