onset,offset,role
16,24,harm
24,29,rhythm+harm
35,74,rhythm
74,84,mel
84,97,rhythm
98,108,mel
108,116,rhythm+harm
116,124,mel
124,138,rhythm
180,208,mel
208,224,rhythm
224,254,mel
256,290,mel
292,318,rhythm+harm
318,340,mel+harm
340,374,harm
378,456,mel
456,488,rhythm
488,508,mel
508,524,rhythm+harm
524,538,rhythm
538,576,mel
576,600,mel
600,626,rhythm
644,652,harm
652,657,rhythm+harm
663,702,rhythm
702,712,mel
712,725,rhythm
726,736,mel
736,744,rhythm+harm
744,752,mel
752,766,rhythm
808,836,mel
836,852,rhythm
852,882,mel
884,918,mel
920,946,rhythm+harm
946,968,mel+harm
968,1002,harm
1006,1084,mel
1084,1116,rhythm
1116,1136,mel
1136,1152,rhythm+harm
1152,1166,rhythm
1166,1204,mel
1204,1254,mel
1228,1254,rhythm
1256,1272,rhythm
1272,1280,harm
1280,1288,rhythm
1288,1314,harm
1314,1382,mel
1392,1404,mel
1410,1422,mel
1432,1444,mel
1464,1477,rhythm
1478,1500,mel
1500,1524,harm
1532,1548,harm
1548,1554,rhythm+harm
1559,1590,rhythm
1596,1636,mel+harm
1636,1674,mel
1676,1710,mel
1712,1738,rhythm+harm
1738,1760,mel+harm
1760,1794,harm
1798,1872,mel
1872,1908,rhythm
1908,1936,mel
1936,1962,rhythm
1962,2000,mel
2000,2024,mel
2024,2036,rhythm
2036,2050,rhythm+harm
2050,2066,rhythm
2066,2074,harm
2074,2082,rhythm
2082,2108,harm
2108,2176,mel
2186,2198,mel
2204,2216,mel
2226,2238,mel
2258,2271,rhythm
2272,2294,mel
2294,2318,harm
2326,2342,harm
2342,2348,rhythm+harm
2353,2384,rhythm
2390,2430,mel+harm
2430,2468,mel
2470,2504,mel
2506,2532,rhythm+harm
2532,2554,mel+harm
2554,2588,harm
2592,2666,mel
2666,2702,rhythm
2702,2730,mel
2730,2756,rhythm
2756,2794,mel
2794,2818,mel
2818,2830,rhythm
2830,2844,rhythm+harm
2850,2862,mel
2872,2912,mel+harm
2912,2928,mel+harm
2928,2944,mel
2948,2960,mel
2962,2976,mel
2976,2988,mel
2992,3008,mel+harm
3008,3032,mel
3032,3057,rhythm
3058,3068,mel
3068,3082,rhythm
3082,3092,mel
3092,3118,rhythm+harm
