onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,4.0,62,D4,4.0,0,1,1.0,bassoon1
34.0,38.0,60,C4,4.0,0,9,2.0,bassoon1
38.0,40.0,59,B3,2.0,0,10,2.0,bassoon1
42.0,46.0,62,D4,4.0,0,11,2.0,bassoon1
46.0,48.0,60,C4,2.0,0,12,2.0,bassoon1
49.0,50.0,53,F3,1.0,0,13,1.5,bassoon1
50.0,51.0,53,F3,1.0,0,13,2.0,bassoon1
51.0,52.0,53,F3,1.0,0,13,2.5,bassoon1
52.0,53.0,53,F3,1.0,0,14,1.0,bassoon1
53.0,54.0,53,F3,1.0,0,14,1.5,bassoon1
54.0,55.0,53,F3,1.0,0,14,2.0,bassoon1
55.0,56.0,53,F3,1.0,0,14,2.5,bassoon1
56.0,57.0,55,G3,1.0,0,15,1.0,bassoon1
57.0,58.0,55,G3,1.0,0,15,1.5,bassoon1
58.0,59.0,43,G2,1.0,0,15,2.0,bassoon1
59.0,60.0,43,G2,1.0,0,15,2.5,bassoon1
60.0,61.0,48,C3,1.0,0,16,1.0,bassoon1
61.0,62.0,41,F2,1.0,0,16,1.5,bassoon1
62.0,63.0,53,F3,1.0,0,16,2.0,bassoon1
63.0,64.0,53,F3,1.0,0,16,2.5,bassoon1
64.0,65.0,53,F3,1.0,0,17,1.0,bassoon1
65.0,66.0,53,F3,1.0,0,17,1.5,bassoon1
66.0,67.0,53,F3,1.0,0,17,2.0,bassoon1
67.0,68.0,53,F3,1.0,0,17,2.5,bassoon1
68.0,69.0,55,G3,1.0,0,18,1.0,bassoon1
69.0,70.0,55,G3,1.0,0,18,1.5,bassoon1
70.0,71.0,43,G2,1.0,0,18,2.0,bassoon1
71.0,72.0,43,G2,1.0,0,18,2.5,bassoon1
72.0,73.0,48,C3,1.0,0,19,1.0,bassoon1
74.0,75.5,60,C4,1.5,0,19,2.0,bassoon1
75.5,76.0,60,C4,0.5,0,19,2.75,bassoon1
76.0,79.0,60,C4,3.0,0,20,1.0,bassoon1
79.0,79.5,59,B3,0.5,0,20,2.5,bassoon1
79.5,80.0,57,A3,0.5,0,20,2.75,bassoon1
80.0,80.5,55,G3,0.5,0,21,1.0,bassoon1
80.5,81.0,57,A3,0.5,0,21,1.25,bassoon1
81.0,81.5,55,G3,0.5,0,21,1.5,bassoon1
81.5,82.0,53,F3,0.5,0,21,1.75,bassoon1
82.0,82.5,52,E3,0.5,0,21,2.0,bassoon1
82.5,83.0,53,F3,0.5,0,21,2.25,bassoon1
83.0,83.5,52,E3,0.5,0,21,2.5,bassoon1
83.5,84.0,50,D3,0.5,0,21,2.75,bassoon1
