onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
0.0,4.0,62,D4,4.0,0,1,1.0,timpani
32.0,34.0,48,C3,2.0,0,9,1.0,timpani
36.0,38.0,43,G2,2.0,0,10,1.0,timpani
40.0,42.0,43,G2,2.0,0,11,1.0,timpani
44.0,46.0,48,C3,2.0,0,12,1.0,timpani
49.0,50.0,48,C3,1.0,0,13,1.5,timpani
50.0,51.0,48,C3,1.0,0,13,2.0,timpani
51.0,52.0,48,C3,1.0,0,13,2.5,timpani
52.0,54.0,48,C3,2.0,0,14,1.0,timpani
56.0,58.0,43,G2,2.0,0,15,1.0,timpani
58.0,60.0,43,G2,2.0,0,15,2.0,timpani
60.0,61.0,48,C3,1.0,0,16,1.0,timpani
61.0,62.0,48,C3,1.0,0,16,1.5,timpani
62.0,63.0,48,C3,1.0,0,16,2.0,timpani
63.0,64.0,48,C3,1.0,0,16,2.5,timpani
64.0,66.0,48,C3,2.0,0,17,1.0,timpani
68.0,70.0,43,G2,2.0,0,18,1.0,timpani
70.0,72.0,43,G2,2.0,0,18,2.0,timpani
72.0,74.0,48,C3,2.0,0,19,1.0,timpani
96.0,98.0,48,C3,2.0,0,25,1.0,timpani
98.0,99.5,48,C3,1.5,0,25,2.0,timpani
99.5,100.0,48,C3,0.5,0,25,2.75,timpani
100.0,102.0,48,C3,2.0,0,26,1.0,timpani
102.0,104.0,48,C3,2.0,0,26,2.0,timpani
104.0,106.0,43,G2,2.0,0,27,1.0,timpani
106.0,108.0,43,G2,2.0,0,27,2.0,timpani
108.0,109.0,48,C3,1.0,0,28,1.0,timpani
109.0,110.0,43,G2,1.0,0,28,1.5,timpani
110.0,111.0,48,C3,1.0,0,28,2.0,timpani
111.0,112.0,43,G2,1.0,0,28,2.5,timpani
112.0,113.0,48,C3,1.0,0,29,1.0,timpani
113.0,114.0,43,G2,1.0,0,29,1.5,timpani
114.0,115.0,48,C3,1.0,0,29,2.0,timpani
115.0,116.0,43,G2,1.0,0,29,2.5,timpani
116.0,118.0,48,C3,2.0,0,30,1.0,timpani
118.0,119.5,48,C3,1.5,0,30,2.0,timpani
119.5,120.0,48,C3,0.5,0,30,2.75,timpani
120.0,121.0,48,C3,1.0,0,31,1.0,timpani
121.0,122.0,43,G2,1.0,0,31,1.5,timpani
122.0,123.0,48,C3,1.0,0,31,2.0,timpani
123.0,124.0,48,C3,1.0,0,31,2.5,timpani
124.0,126.0,43,G2,2.0,0,32,1.0,timpani
128.0,130.0,43,G2,2.0,0,33,1.0,timpani
132.0,134.0,43,G2,2.0,0,34,1.0,timpani
134.0,136.0,43,G2,2.0,0,34,2.0,timpani
136.0,138.0,43,G2,2.0,0,35,1.0,timpani
208.0,210.0,48,C3,2.0,0,53,1.0,timpani
212.0,214.0,48,C3,2.0,0,54,1.0,timpani
216.0,218.0,43,G2,2.0,0,55,1.0,timpani
220.0,222.0,48,C3,2.0,0,56,1.0,timpani
374.0,376.0,43,G2,2.0,0,94,2.0,timpani
376.0,378.0,48,C3,2.0,0,95,1.0,timpani
392.0,394.0,43,G2,2.0,0,99,1.0,timpani
424.0,426.0,48,C3,2.0,0,107,1.0,timpani
434.0,436.0,43,G2,2.0,0,109,2.0,timpani
436.0,438.0,48,C3,2.0,0,110,1.0,timpani
440.0,442.0,48,C3,2.0,0,111,1.0,timpani
444.0,446.0,48,C3,2.0,0,112,1.0,timpani
448.0,450.0,48,C3,2.0,0,113,1.0,timpani
456.0,458.0,43,G2,2.0,0,115,1.0,timpani
458.0,460.0,43,G2,2.0,0,115,2.0,timpani
460.0,462.0,43,G2,2.0,0,116,1.0,timpani
464.0,466.0,43,G2,2.0,0,117,1.0,timpani
466.0,468.0,43,G2,2.0,0,117,2.0,timpani
468.0,470.0,43,G2,2.0,0,118,1.0,timpani
472.0,474.0,43,G2,2.0,0,119,1.0,timpani
474.0,476.0,43,G2,2.0,0,119,2.0,timpani
476.0,478.0,43,G2,2.0,0,120,1.0,timpani
488.0,490.0,43,G2,2.0,0,123,1.0,timpani
490.0,492.0,43,G2,2.0,0,123,2.0,timpani
492.0,494.0,43,G2,2.0,0,124,1.0,timpani
496.0,498.0,43,G2,2.0,0,125,1.0,timpani
498.0,500.0,43,G2,2.0,0,125,2.0,timpani
500.0,502.0,43,G2,2.0,0,126,1.0,timpani
503.0,504.0,43,G2,1.0,0,126,2.5,timpani
504.0,505.0,48,C3,1.0,0,127,1.0,timpani
505.0,506.0,48,C3,1.0,0,127,1.5,timpani
