onset,offset,role
34,48,harm
48,74,rhythm
74,84,mel
84,97,rhythm
98,108,mel
108,116,rhythm+harm
116,124,mel
124,138,rhythm
208,224,rhythm
224,254,harm
256,290,mel
304,312,mel
328,336,mel
345,374,mel
378,392,mel
394,400,mel
402,408,harm
410,416,mel
418,424,harm
426,456,mel
456,488,rhythm
488,508,mel
508,524,rhythm+harm
524,538,rhythm
540,576,mel
576,602,mel
614,626,mel
662,676,harm
676,702,rhythm
702,712,mel
712,725,rhythm
726,736,mel
736,744,rhythm+harm
744,752,mel
752,766,rhythm
836,852,rhythm
852,882,harm
884,918,mel
932,940,mel
956,964,mel
973,1002,mel
1006,1020,mel
1022,1028,mel
1030,1036,harm
1038,1044,mel
1046,1052,harm
1054,1084,mel
1084,1116,rhythm
1116,1136,mel
1136,1152,rhythm+harm
1152,1166,rhythm
1168,1204,mel
1204,1230,mel
1242,1254,mel
1270,1280,mel
1280,1292,harm
1302,1314,mel
1318,1372,mel+harm
1386,1392,mel+harm
1442,1464,harm
1464,1477,rhythm
1478,1490,mel
1492,1502,rhythm
1502,1526,harm
1532,1548,harm
1548,1554,rhythm+harm
1558,1596,harm
1598,1628,rhythm
1630,1636,rhythm
1636,1674,harm
1676,1710,mel
1725,1732,mel
1745,1749,rhythm
1750,1766,mel
1794,1844,mel+harm
1844,1872,mel
1872,1908,rhythm
1908,1936,mel
1936,1952,mel
1952,1962,rhythm
1964,2000,mel
2000,2026,mel
2026,2038,mel
2064,2074,mel
2074,2086,harm
2098,2110,mel
2114,2170,mel+harm
2182,2188,mel+harm
2238,2260,harm
2260,2273,rhythm
2274,2286,mel
2288,2298,rhythm
2298,2322,harm
2328,2344,harm
2344,2350,rhythm+harm
2354,2392,harm
2394,2424,rhythm
2426,2432,rhythm
2432,2470,harm
2472,2506,mel
2521,2528,mel
2541,2545,rhythm
2546,2562,mel
2590,2640,mel+harm
2640,2668,mel
2668,2704,rhythm
2704,2732,mel
2732,2748,mel
2748,2758,rhythm
2760,2796,mel
2796,2822,mel
2822,2834,mel
2848,2858,mel
2894,2906,mel+harm
2908,2924,mel+harm
2970,2984,mel
2988,3004,mel+harm
3004,3028,mel
3028,3053,rhythm
3054,3066,mel
3066,3078,rhythm
3066,3078,rhythm
3078,3088,mel
3088,3114,rhythm+harm
