onset,offset,role
34,48,harm
48,74,mel
98,108,mel
108,117,rhythm+harm
118,124,mel
124,138,rhythm+harm
208,224,mel
224,254,harm
254,276,mel
276,290,rhythm+harm
306,318,mel
330,374,mel
374,388,mel
394,400,mel
402,408,harm
410,416,mel
418,424,harm
426,458,mel
460,508,mel+harm
508,526,harm
526,538,mel
540,576,mel
576,602,harm
662,676,harm
676,702,mel
726,736,mel
736,745,rhythm+harm
746,752,mel
752,766,rhythm+harm
836,852,mel
852,882,harm
882,904,mel
904,918,rhythm+harm
934,946,mel
958,1002,mel
1002,1016,mel
1022,1028,mel
1030,1036,harm
1038,1044,mel
1046,1052,harm
1054,1086,mel
1088,1136,mel+harm
1136,1154,harm
1154,1166,mel
1168,1204,mel
1204,1230,harm
1302,1314,mel
1318,1372,mel+harm
1402,1412,mel+harm
1422,1432,mel+harm
1442,1464,mel+harm
1464,1490,harm
1492,1502,rhythm
1532,1548,harm
1548,1554,rhythm+harm
1558,1596,harm
1598,1628,rhythm
1630,1636,rhythm
1636,1674,harm
1674,1696,mel
1696,1710,rhythm
1726,1738,mel
1749,1756,mel
1765,1792,mel
1792,1844,mel+harm
1846,1872,mel
1872,1878,mel
1880,1936,rhythm+harm
1936,1962,mel
1964,2000,mel
2000,2026,harm
2038,2050,mel
2098,2110,mel
2114,2168,mel+harm
2198,2208,mel+harm
2218,2228,mel+harm
2238,2260,mel+harm
2260,2286,harm
2288,2298,rhythm
2328,2344,harm
2344,2350,rhythm+harm
2354,2392,harm
2394,2424,rhythm
2426,2432,rhythm
2432,2470,harm
2470,2492,mel
2492,2506,rhythm
2522,2534,mel
2545,2552,mel
2561,2588,mel
2588,2640,mel+harm
2642,2668,mel
2668,2674,mel
2676,2732,rhythm+harm
2732,2758,mel
2760,2796,mel
2796,2822,harm
2834,2846,mel
2848,2858,mel
2868,2892,mel+harm
2924,2972,mel+harm
2972,3018,mel
3018,3028,mel+harm
3028,3054,mel
3078,3088,mel
3088,3114,rhythm+harm
