onset,offset,role
16,24,harm
24,29,rhythm+harm
35,74,rhythm
74,84,mel
84,97,rhythm
98,108,mel
108,116,rhythm+harm
116,124,mel
124,138,rhythm
168,208,mel
208,224,rhythm
224,254,rhythm
256,290,mel
292,318,rhythm+harm
318,340,mel+harm
340,374,harm
376,456,mel
456,488,rhythm
488,508,mel
508,524,mel+rhythm
524,538,rhythm
538,576,mel
576,602,mel
602,626,mel
644,652,harm
652,657,rhythm+harm
663,702,rhythm
702,712,mel
712,725,rhythm
726,736,mel
736,744,rhythm+harm
744,752,mel
752,766,rhythm
796,836,mel
836,852,rhythm
852,882,rhythm
884,918,mel
920,946,rhythm+harm
946,968,mel+harm
968,1002,harm
1004,1084,mel
1084,1116,rhythm
1116,1136,mel
1136,1152,mel+rhythm
1152,1166,rhythm
1166,1204,mel
1204,1230,mel
1230,1254,mel
1256,1282,mel+harm
1288,1314,mel+harm
1318,1382,mel
1392,1402,mel
1412,1422,mel
1432,1442,mel
1464,1477,rhythm
1478,1502,mel
1516,1526,harm
1532,1548,harm
1548,1554,rhythm+harm
1559,1640,rhythm
1640,1674,rhythm
1676,1710,mel
1712,1738,rhythm+harm
1738,1760,mel+harm
1760,1794,harm
1796,1872,mel
1872,1928,rhythm
1928,1936,mel
1936,1962,rhythm
1962,2000,mel
2000,2026,mel
2030,2050,mel+harm
2050,2078,mel+harm
2084,2110,mel+harm
2114,2178,mel
2188,2198,mel
2208,2218,mel
2228,2238,mel
2260,2273,rhythm
2274,2298,mel
2312,2322,harm
2328,2344,harm
2344,2350,rhythm+harm
2355,2436,rhythm
2436,2470,rhythm
2472,2506,mel
2508,2534,rhythm+harm
2534,2556,mel+harm
2556,2590,harm
2592,2668,mel
2668,2724,rhythm
2724,2732,mel
2732,2758,rhythm
2758,2796,mel
2796,2822,mel
2826,2846,mel+harm
2846,2858,mel
2868,2906,mel+harm
2906,2920,mel
2924,2940,mel+harm
2940,2956,mel
2960,2972,mel
2974,3000,mel
3004,3016,mel+harm
3016,3028,mel
3028,3053,rhythm
3054,3064,mel
3064,3078,rhythm
3078,3088,mel
3088,3114,rhythm+harm
