onset,offset,role
16,24,harm
24,29,rhythm+harm
35,74,rhythm
74,84,mel
84,97,rhythm
98,108,mel
108,116,rhythm+harm
116,124,mel
124,138,rhythm
196,208,mel
208,224,rhythm
224,254,mel
256,290,mel
292,318,rhythm+harm
318,340,mel+harm
340,374,harm
378,456,mel
456,488,rhythm
488,508,mel
508,524,rhythm+harm
524,538,rhythm
538,576,mel
576,600,mel
600,626,rhythm
644,652,harm
652,657,rhythm+harm
663,702,rhythm
702,712,mel
712,725,rhythm
726,736,mel
736,744,rhythm+harm
744,752,mel
752,766,rhythm
824,836,mel
836,852,rhythm
852,882,mel
884,918,mel
920,946,rhythm+harm
946,968,mel+harm
968,1002,harm
1006,1084,mel
1084,1116,rhythm
1116,1136,mel
1136,1152,rhythm+harm
1152,1166,rhythm
1166,1204,mel
1204,1254,mel
1228,1254,rhythm
1256,1272,rhythm
1272,1280,harm
1280,1288,rhythm
1288,1314,harm
1314,1382,mel
1392,1404,mel
1410,1422,mel
1432,1444,mel
1464,1477,rhythm
1478,1500,mel
1500,1524,harm
1532,1548,harm
1548,1554,rhythm+harm
1559,1590,rhythm
1596,1636,mel+harm
1636,1674,mel
1676,1710,mel
1712,1738,rhythm+harm
1738,1760,mel+harm
1760,1794,harm
1798,1872,mel
1872,1908,rhythm
1908,1936,mel
1936,1962,rhythm
1962,2000,mel
2000,2024,mel
2024,2036,rhythm
2036,2050,rhythm+harm
2052,2068,rhythm
2068,2076,harm
2076,2084,rhythm
2084,2110,harm
2110,2178,mel
2188,2200,mel
2206,2218,mel
2228,2240,mel
2260,2273,rhythm
2274,2296,mel
2296,2320,harm
2328,2344,harm
2344,2350,rhythm+harm
2355,2386,rhythm
2392,2432,mel+harm
2432,2470,mel
2472,2506,mel
2508,2534,rhythm+harm
2534,2556,mel+harm
2556,2590,harm
2594,2668,mel
2668,2704,rhythm
2704,2732,mel
2732,2758,rhythm
2758,2796,mel
2796,2820,mel
2820,2832,rhythm
2832,2846,rhythm+harm
2844,2858,mel
2954,2968,mel
2972,2988,mel+harm
2988,3028,mel
3028,3053,rhythm
3054,3064,mel
3064,3078,rhythm
3078,3088,mel
3088,3114,rhythm+harm
