onset,offset,role
34,48,harm
48,74,mel
74,84,mel
84,108,rhythm
108,116,rhythm+harm
116,124,mel
124,138,rhythm+harm
208,224,mel
224,254,harm
256,276,mel
276,290,rhythm+harm
301,305,rhythm
325,329,rhythm
374,388,mel
394,400,mel
402,408,harm
410,416,mel
418,424,harm
426,436,mel
436,452,rhythm+harm
452,458,mel
460,508,mel+harm
508,538,harm
540,576,mel
576,602,harm
602,614,mel
662,676,harm
676,702,mel
702,712,mel
712,736,rhythm
736,744,rhythm+harm
744,752,mel
752,766,rhythm+harm
836,852,mel
852,882,harm
884,904,mel
904,918,rhythm+harm
929,933,rhythm
953,957,rhythm
1002,1016,mel
1022,1028,mel
1030,1036,harm
1038,1044,mel
1046,1052,harm
1054,1064,mel
1064,1080,rhythm+harm
1080,1086,mel
1088,1136,mel+harm
1136,1166,harm
1168,1204,mel
1204,1230,harm
1230,1242,mel
1270,1280,mel
1280,1292,harm
1318,1372,mel+harm
1382,1392,mel+harm
1402,1412,mel+harm
1422,1432,mel+harm
1442,1464,mel+harm
1464,1490,harm
1492,1502,rhythm
1532,1548,harm
1548,1554,rhythm+harm
1558,1596,harm
1598,1628,rhythm
1630,1636,rhythm
1636,1674,harm
1676,1696,mel
1696,1710,rhythm
1721,1725,rhythm
1749,1756,mel
1765,1792,mel
1792,1844,mel+harm
1846,1856,mel
1856,1872,rhythm+harm
1872,1878,mel
1880,1936,rhythm+harm
1936,1962,mel
1964,2000,mel
2000,2012,harm
2012,2026,mel
2066,2076,mel
2076,2088,harm
2114,2168,mel+harm
2178,2188,mel+harm
2198,2208,mel+harm
2218,2228,mel+harm
2238,2260,mel+harm
2260,2286,harm
2288,2298,rhythm
2328,2344,harm
2344,2350,rhythm+harm
2354,2392,harm
2394,2424,rhythm
2426,2432,rhythm
2432,2470,harm
2472,2492,mel
2492,2506,rhythm
2517,2521,rhythm
2545,2552,mel
2561,2588,mel
2588,2640,mel+harm
2642,2652,mel
2652,2668,rhythm+harm
2668,2674,mel
2676,2732,rhythm+harm
2732,2758,mel
2760,2796,mel
2796,2808,harm
2808,2822,mel
2848,2858,mel
2894,2906,mel+harm
2924,2972,mel+harm
2976,3018,mel
3018,3028,mel+harm
3028,3053,mel
3054,3066,mel
3066,3080,rhythm
3080,3088,harm
3088,3114,rhythm+harm
