onset,offset,role,instrument
264,278,mel+harm,altotrombone
278,282,mel,altotrombone
286,330,harm,altotrombone
414,430,harm,altotrombone
450,462,harm,altotrombone
540,605,harm,altotrombone
664,665,harm,altotrombone
680,681,mel,altotrombone
696,704,rhythm+harm,altotrombone
716,720,rhythm+harm,altotrombone
732,736,rhythm+harm,altotrombone
748,760,rhythm+harm,altotrombone
779,804,harm,altotrombone
804,812,mel,altotrombone
827,844,mel,altotrombone
843,858,mel+harm,altotrombone
858,876,rhythm+harm,altotrombone
880,938,rhythm+harm,altotrombone
936,966,rthythm,altotrombone
966,992,harm,altotrombone
992,999,rhythm+harm,altotrombone
999,1001,mel+harm,altotrombone
1003,1004,rhythm+harm,altotrombone
1004,1005,mel+harm,altotrombone
1006,1016,rhythm+harm,altotrombone
1060,1071,harm,altotrombone
1071,1089,mel+harm,altotrombone
1089,1101,harm,altotrombone
1160,1212,mel+harm,altotrombone
1264,1298,rhythm+harm,altotrombone
1364,1380,mel,altotrombone
1420,1436,mel,altotrombone
