onset,offset,role,instrument
0,72,harm,bass2
111,116,rhythm+harm,bass2
150,158,harm,bass2
160,165,rhythm+harm,bass2
164,174,harm,bass2
180,198,harm,bass2
198,214,rthythm,bass2
228,229,harm,bass2
230,262,rthythm,bass2
262,312,harm,bass2
354,398,harm,bass2
398,411,rthythm,bass2
414,499,harm,bass2
514,636,rthythm,bass2
664,703,rthythm,bass2
719,737,harm,bass2
751,758,mel+harm,bass2
759,772,harm,bass2
779,892,rthythm,bass2
916,937,rthythm,bass2
948,972,rthythm,bass2
974,992,harm,bass2
992,1053,rhythm+harm,bass2
1055,1071,rthythm,bass2
1071,1089,rhythm+harm,bass2
1089,1428,rthythm,bass2
