onset,offset,role,instrument
109,112,rhythm+harm,bassoon2
252,260,rhythm+harm,bassoon2
260,273,harm,bassoon2
273,286,mel,bassoon2
286,288,harm,bassoon2
288,290,mel,bassoon2
290,315,harm,bassoon2
450,466,harm,bassoon2
466,482,mel,bassoon2
478,502,harm,bassoon2
502,514,mel,bassoon2
523,589,rthythm,bassoon2
589,634,harm,bassoon2
680,692,rthythm,bassoon2
696,703,harm,bassoon2
727,733,rthythm,bassoon2
751,780,mel+harm,bassoon2
780,810,mel,bassoon2
810,820,rthythm,bassoon2
843,859,mel+harm,bassoon2
859,876,rhythm+harm,bassoon2
876,905,harm,bassoon2
906,913,rthythm,bassoon2
980,1002,mel+harm,bassoon2
1003,1004,rhythm+harm,bassoon2
1004,1006,mel+harm,bassoon2
1007,1016,rhythm+harm,bassoon2
1016,1028,mel+harm,bassoon2
1028,1059,rhythm+harm,bassoon2
1059,1071,harm,bassoon2
1071,1089,rhythm+harm,bassoon2
1089,1212,rthythm,bassoon2
1212,1224,mel+harm,bassoon2
1224,1264,rthythm,bassoon2
1264,1290,rhythm+harm,bassoon2
1298,1306,mel+harm,bassoon2
1306,1324,rthythm,bassoon2
1324,1362,rhythm+harm,bassoon2
1380,1408,rhythm+harm,bassoon2
