onset,offset,role,instrument
55,59,mel,clarinet2
91,98,harm,clarinet2
99,107,rhythm+harm,clarinet2
109,112,mel,clarinet2
212,228,mel+harm,clarinet2
243,292,mel+harm,clarinet2
292,315,harm,clarinet2
364,391,harm,clarinet2
418,423,mel,clarinet2
450,455,mel,clarinet2
482,502,harm,clarinet2
502,514,mel,clarinet2
514,589,rthythm,clarinet2
589,621,harm,clarinet2
664,665,harm,clarinet2
666,703,rhythm+harm,clarinet2
711,717,rthythm,clarinet2
721,727,rhythm+harm,clarinet2
727,733,rthythm,clarinet2
741,744,mel,clarinet2
743,749,rthythm,clarinet2
753,759,rhythm+harm,clarinet2
763,776,harm,clarinet2
776,817,rthythm,clarinet2
842,844,harm,clarinet2
859,866,rhythm+harm,clarinet2
876,904,harm,clarinet2
904,914,rthythm,clarinet2
974,1041,mel+harm,clarinet2
1041,1056,rhythm+harm,clarinet2
1059,1062,harm,clarinet2
1063,1086,mel+harm,clarinet2
1087,1101,mel+harm,clarinet2
1101,1128,rhythm+harm,clarinet2
1144,1152,rhythm+harm,clarinet2
1152,1159,mel+harm,clarinet2
1159,1208,rhythm+harm,clarinet2
1216,1224,rhythm+harm,clarinet2
1224,1237,rthythm,clarinet2
1245,1270,rhythm+harm,clarinet2
1270,1290,mel+harm,clarinet2
1290,1321,rhythm+harm,clarinet2
1322,1362,mel+harm,clarinet2
1380,1404,rhythm+harm,clarinet2
