onset,offset,role,instrument
90,98,mel,flute2
99,108,rhythm+harm,flute2
188,197,mel,flute2
200,205,mel,flute2
208,213,mel,flute2
220,223,mel+harm,flute2
224,226,harm,flute2
260,300,mel+harm,flute2
415,430,mel,flute2
447,514,mel,flute2
514,592,rthythm,flute2
664,665,mel,flute2
679,681,mel+harm,flute2
695,703,mel+harm,flute2
711,717,rthythm,flute2
727,733,rthythm,flute2
737,739,harm,flute2
742,749,rthythm,flute2
763,771,harm,flute2
771,776,harm,flute2
776,814,rthythm,flute2
842,844,harm,flute2
875,892,mel+harm,flute2
1159,1208,mel+harm,flute2
1242,1290,mel+harm,flute2
1306,1316,rhythm+harm,flute2
1338,1362,rhythm+harm,flute2
1380,1404,rhythm+harm,flute2
