onset,offset,role,instrument
44,52,harm,horn1
152,156,rhythm+harm,horn1
200,213,harm,horn1
232,245,rhythm+harm,horn1
266,270,harm,horn1
274,286,mel,horn1
286,288,harm,horn1
288,290,mel,horn1
290,304,harm,horn1
354,399,harm,horn1
478,502,mel,horn1
514,592,rthythm,horn1
592,634,harm,horn1
664,665,harm,horn1
679,681,mel+harm,horn1
682,697,rhythm+harm,horn1
698,703,mel+harm,horn1
722,728,rhythm+harm,horn1
736,737,harm,horn1
754,760,rhythm+harm,horn1
779,812,harm,horn1
843,858,mel+harm,horn1
859,866,rhythm+harm,horn1
876,880,harm,horn1
884,888,harm,horn1
892,906,harm,horn1
906,924,rthythm,horn1
936,988,rthythm,horn1
988,992,harm,horn1
992,999,rthythm,horn1
999,1016,rhythm+harm,horn1
1016,1028,mel+harm,horn1
1028,1055,rhythm+harm,horn1
1055,1092,rthythm,horn1
1096,1101,harm,horn1
1101,1224,rhythm+harm,horn1
1224,1240,rthythm,horn1
1244,1306,rhythm+harm,horn1
1366,1380,rhythm+harm,horn1
1404,1420,mel,horn1
