onset,offset,role,instrument
47,52,mel,oboe2
220,232,rhythm+harm,oboe2
232,244,mel,oboe2
243,262,rhythm+harm,oboe2
260,274,mel+harm,oboe2
278,292,mel,oboe2
292,304,harm,oboe2
447,462,mel,oboe2
478,502,mel,oboe2
523,589,rthythm,oboe2
589,606,harm,oboe2
664,665,harm,oboe2
666,703,mel+harm,oboe2
711,717,rthythm,oboe2
720,728,rhythm+harm,oboe2
732,733,rthythm,oboe2
736,741,harm,oboe2
741,744,mel,oboe2
743,749,rthythm,oboe2
753,763,rhythm+harm,oboe2
763,780,mel+harm,oboe2
780,810,mel,oboe2
842,844,harm,oboe2
859,876,rhythm+harm,oboe2
876,894,harm,oboe2
992,998,rthythm,oboe2
998,1006,mel+harm,oboe2
1006,1012,rhythm+harm,oboe2
1016,1040,mel+harm,oboe2
1040,1059,rhythm+harm,oboe2
1059,1067,harm,oboe2
1067,1089,rthythm,oboe2
1090,1101,mel+harm,oboe2
1102,1128,rhythm+harm,oboe2
1144,1152,rhythm+harm,oboe2
1152,1159,mel+harm,oboe2
1159,1192,rhythm+harm,oboe2
1244,1266,rhythm+harm,oboe2
1266,1274,mel+harm,oboe2
1274,1318,rhythm+harm,oboe2
1380,1400,rhythm+harm,oboe2
