onset,offset,role,instrument
265,330,harm,trombone
414,419,harm,trombone
446,456,harm,trombone
541,577,harm,trombone
664,665,harm,trombone
680,681,harm,trombone
696,704,rhythm+harm,trombone
716,720,rhythm+harm,trombone
732,737,rhythm+harm,trombone
748,752,rhythm+harm,trombone
779,812,harm,trombone
827,844,harm,trombone
843,857,rhythm+harm,trombone
857,876,rthythm,trombone
876,937,harm,trombone
974,996,harm,trombone
992,1016,rhythm+harm,trombone
1063,1069,rthythm,trombone
1069,1089,rhythm+harm,trombone
1090,1101,harm,trombone
1104,1116,rthythm,trombone
1143,1163,rhythm+harm,trombone
1163,1224,mel+harm,trombone
1244,1264,rthythm,trombone
1264,1274,rhythm+harm,trombone
1274,1304,rthythm,trombone
1364,1380,rhythm+harm,trombone
1420,1436,mel,trombone
