onset,offset,role,instrument
264,278,mel+harm,trumpet
278,292,mel,trumpet
202,302,harm,trumpet
418,430,harm,trumpet
456,462,harm,trumpet
541,606,harm,trumpet
664,665,mel,trumpet
680,681,mel,trumpet
696,703,rhythm+harm,trumpet
716,720,rhythm+harm,trumpet
732,736,rhythm+harm,trumpet
748,752,rhythm+harm,trumpet
780,812,mel,trumpet
827,840,harm,trumpet
843,858,mel+harm,trumpet
858,876,rhythm+harm,trumpet
974,992,harm,trumpet
992,999,rthythm,trumpet
999,1002,rhythm+harm,trumpet
1003,1006,mel+harm,trumpet
1007,1014,rhythm+harm,trumpet
1060,1067,harm,trumpet
1067,1089,rthythm,trumpet
1090,1117,mel+harm,trumpet
1152,1208,rhythm+harm,trumpet
1264,1290,rhythm+harm,trumpet
1364,1380,mel,trumpet
