onset,offset,role,instrument
265,292,harm,tuba
313,330,harm,tuba
446,451,harm,tuba
542,568,harm,tuba
664,668,harm,tuba
680,684,harm,tuba
696,704,rhythm+harm,tuba
718,720,rhythm+harm,tuba
735,737,rhythm+harm,tuba
750,752,rhythm+harm,tuba
779,812,harm,tuba
843,857,harm,tuba
859,876,rthythm,tuba
876,880,harm,tuba
892,896,harm,tuba
992,1016,rhythm+harm,tuba
1059,1071,rthythm,tuba
1071,1089,rhythm+harm,tuba
1089,1116,rthythm,tuba
1143,1163,rhythm+harm,tuba
1163,1176,mel+harm,tuba
1203,1224,mel+harm,tuba
1272,1308,rthythm,tuba
1424,1437,rthythm,tuba
