onset,offset,role,instrument
15,21,harm,viola1
39,52,harm,viola1
56,92,mel,viola1
107,109,mel,viola1
117,150,rhythm+harm,viola1
156,164,mel,viola1
164,170,rhythm+harm,viola1
170,174,mel+harm,viola1
173,181,rthythm,viola1
180,214,rhythm+harm,viola1
214,230,rthythm,viola1
229,246,rhythm+harm,viola1
246,250,rthythm,viola1
250,262,mel+harm,viola1
262,266,rhythm+harm,viola1
270,276,rhythm+harm,viola1
276,278,harm,viola1
278,290,mel+harm,viola1
290,294,rhythm+harm,viola1
294,312,harm,viola1
338,350,mel,viola1
368,391,harm,viola1
396,474,rhythm+harm,viola1
474,494,rthythm,viola1
494,502,rhythm+harm,viola1
517,589,mel+harm,viola1
589,636,mel,viola1
636,665,harm,viola1
666,704,rhythm+harm,viola1
704,767,mel+harm,viola1
767,775,mel+harm,viola1
775,817,rthythm,viola1
841,843,harm,viola1
849,852,mel+harm,viola1
856,896,mel+harm,viola1
903,937,mel+harm,viola1
943,946,mel+harm,viola1
951,954,mel+harm,viola1
959,966,mel+harm,viola1
980,1015,mel+harm,viola1
1015,1063,rhythm+harm,viola1
1063,1071,mel+harm,viola1
1071,1101,rthythm,viola1
1101,1103,rhythm+harm,viola1
1116,1136,rhythm+harm,viola1
1136,1224,mel+harm,viola1
1243,1270,rthythm,viola1
1270,1324,mel+harm,viola1
1361,1408,rthythm,viola1
