onset,offset,role,instrument
148,158,mel,violin2
164,177,rhythm+harm,violin2
177,181,harm,violin2
181,186,rhythm+harm,violin2
186,193,rthythm,violin2
193,197,harm,violin2
197,201,rhythm+harm,violin2
204,209,mel+harm,violin2
228,236,rthythm,violin2
236,241,rthythm,violin2
262,266,mel+harm,violin2
270,286,mel+harm,violin2
286,312,rhythm+harm,violin2
380,383,harm,violin2
396,502,rhythm+harm,violin2
517,589,mel+harm,violin2
588,606,mel,violin2
664,665,harm,violin2
666,704,rhythm+harm,violin2
720,737,mel+harm,violin2
752,768,mel+harm,violin2
775,814,rthythm,violin2
837,839,harm,violin2
849,852,mel+harm,violin2
856,904,mel+harm,violin2
967,1018,mel+harm,violin2
1015,1040,rhythm+harm,violin2
1039,1056,mel+harm,violin2
1055,1066,rhythm+harm,violin2
1063,1086,mel+harm,violin2
1087,1101,rthythm,violin2
1101,1103,rhythm+harm,violin2
1104,1117,rthythm,violin2
1117,1128,rhythm+harm,violin2
1128,1224,mel+harm,violin2
1243,1324,mel+harm,violin2
1361,1409,rthythm,violin2
