onset,offset,role,instrument
75,82,harm,cello1
83,132,rhythm+harm,cello1
156,167,harm,cello1
167,189,rhythm+harm,cello1
193,198,harm,cello1
198,214,mel,cello1
214,226,rthythm,cello1
226,230,rhythm+harm,cello1
230,262,rthythm,cello1
262,266,harm,cello1
270,276,rhythm+harm,cello1
276,312,harm,cello1
316,339,mel+harm,cello1
352,399,mel,cello1
402,403,rthythm,cello1
406,414,rthythm,cello1
414,450,harm,cello1
450,463,rhythm+harm,cello1
466,502,harm,cello1
514,589,rthythm,cello1
589,664,harm,cello1
664,704,rthythm,cello1
719,737,harm,cello1
751,758,mel+harm,cello1
759,764,harm,cello1
767,772,harm,cello1
775,937,rthythm,cello1
948,949,rthythm,cello1
956,971,rthythm,cello1
974,991,harm,cello1
992,1053,rhythm+harm,cello1
1055,1071,rthythm,cello1
1071,1089,rhythm+harm,cello1
1089,1128,rthythm,cello1
1128,1224,mel+harm,cello1
1224,1270,rthythm,cello1
1270,1290,mel+harm,cello1
1298,1306,mel+harm,cello1
1314,1324,mel+harm,cello1
1361,1425,rthythm,cello1
