Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
0.0,12.0,47,B2,12.0,0,1,1.0,Kontrabasser,Str
12.0,16.0,43,G2,4.0,0,4,1.0,Kontrabasser,Str
16.0,20.5,45,A2,4.5,0,5,1.0,Kontrabasser,Str
24.0,36.0,47,B2,12.0,0,7,1.0,Kontrabasser,Str
36.0,39.0,42,F#2,3.0,0,10,1.0,Kontrabasser,Str
39.0,40.0,43,G2,1.0,0,10,4.0,Kontrabasser,Str
40.0,44.5,42,F#2,4.5,0,11,1.0,Kontrabasser,Str
64.0,70.5,42,F#2,6.5,0,17,1.0,Kontrabasser,Str
111.5,112.5,43,G2,1.0,0,28,4.5,Kontrabasser,Str
112.5,114.5,40,E2,2.0,0,29,1.5,Kontrabasser,Str
150.0,152.0,35,B1,2.0,0,39,1.0,Kontrabasser,Str
152.0,154.0,37,C#2,2.0,0,39,3.0,Kontrabasser,Str
154.0,156.5,38,D2,2.5,0,40,1.0,Kontrabasser,Str
160.5,160.75,33,A1,0.25,0,41,3.5,Kontrabasser,Str
160.75,161.0,33,A1,0.25,0,41,3.75,Kontrabasser,Str
161.0,161.5,33,A1,0.5,0,41,4.0,Kontrabasser,Str
161.5,162.0,33,A1,0.5,0,41,4.5,Kontrabasser,Str
162.0,164.5,30,F#1,2.5,0,42,1.0,Kontrabasser,Str
164.5,165.0,43,G2,0.5,0,42,3.5,Kontrabasser,Str
165.0,165.5,42,F#2,0.5,0,42,4.0,Kontrabasser,Str
165.5,166.0,40,E2,0.5,0,42,4.5,Kontrabasser,Str
166.0,166.5,38,D2,0.5,0,43,1.0,Kontrabasser,Str
166.5,167.0,37,C#2,0.5,0,43,1.5,Kontrabasser,Str
167.0,167.5,35,B1,0.5,0,43,2.0,Kontrabasser,Str
167.5,168.0,33,A1,0.5,0,43,2.5,Kontrabasser,Str
168.0,168.5,31,G1,0.5,0,43,3.0,Kontrabasser,Str
168.5,169.0,30,F#1,0.5,0,43,3.5,Kontrabasser,Str
169.0,169.5,28,E1,0.5,0,43,4.0,Kontrabasser,Str
169.5,170.0,40,E2,0.5,0,43,4.5,Kontrabasser,Str
170.0,172.5,38,D2,2.5,0,44,1.0,Kontrabasser,Str
180.5,181.0,50,D3,0.5,0,46,3.5,Kontrabasser,Str
181.0,181.5,49,C#3,0.5,0,46,4.0,Kontrabasser,Str
181.5,182.0,47,B2,0.5,0,46,4.5,Kontrabasser,Str
182.0,182.5,45,A2,0.5,0,47,1.0,Kontrabasser,Str
182.5,183.0,44,G#2,0.5,0,47,1.5,Kontrabasser,Str
183.0,183.5,42,F#2,0.5,0,47,2.0,Kontrabasser,Str
183.5,184.0,40,E2,0.5,0,47,2.5,Kontrabasser,Str
