Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
47.0,48.0,56,G#3,1.0,0,12,4.0,A-klarinett,Cl
48.0,51.5,58,A#3,3.5,0,13,1.0,A-klarinett,Cl
55.0,55.5,62,D4,0.5,0,14,4.0,A-klarinett,Cl
55.0,56.0,59,B3,1.0,0,14,4.0,A-klarinett,Cl
55.5,56.0,64,E4,0.5,0,14,4.5,A-klarinett,Cl
56.0,58.5,66,F#4,2.5,0,15,1.0,A-klarinett,Cl
56.0,58.5,52,E3,2.5,0,15,1.0,A-klarinett,Cl
91.0,91.5,50,D3,0.5,0,23,4.0,A-klarinett,Cl
91.0,91.5,62,D4,0.5,0,23,4.0,A-klarinett,Cl
91.5,92.0,52,E3,0.5,0,23,4.5,A-klarinett,Cl
91.5,92.0,61,C#4,0.5,0,23,4.5,A-klarinett,Cl
92.0,93.0,53,E#3,1.0,0,24,1.0,A-klarinett,Cl
92.0,93.0,59,B3,1.0,0,24,1.0,A-klarinett,Cl
93.0,93.5,54,F#3,0.5,0,24,2.0,A-klarinett,Cl
93.0,93.5,58,A#3,0.5,0,24,2.0,A-klarinett,Cl
95.0,95.25,50,D3,0.25,0,24,4.0,A-klarinett,Cl
95.25,95.5,49,C#3,0.25,0,24,4.25,A-klarinett,Cl
95.5,95.75,50,D3,0.25,0,24,4.5,A-klarinett,Cl
95.75,96.0,52,E3,0.25,0,24,4.75,A-klarinett,Cl
95.0,97.0,59,B3,2.0,0,24,4.0,A-klarinett,Cl
96.0,97.0,53,E#3,1.0,0,25,1.0,A-klarinett,Cl
97.0,97.5,58,A#3,0.5,0,25,2.0,A-klarinett,Cl
97.0,97.5,54,F#3,0.5,0,25,2.0,A-klarinett,Cl
99.5,100.0,61,C#4,0.5,0,25,4.5,A-klarinett,Cl
99.5,100.0,70,A#4,0.5,0,25,4.5,A-klarinett,Cl
100.5,101.0,62,D4,0.5,0,26,1.5,A-klarinett,Cl
100.5,101.0,71,B4,0.5,0,26,1.5,A-klarinett,Cl
101.5,102.0,55,G3,0.5,0,26,2.5,A-klarinett,Cl
101.5,102.0,71,B4,0.5,0,26,2.5,A-klarinett,Cl
102.5,103.0,57,A3,0.5,0,26,3.5,A-klarinett,Cl
102.5,103.0,69,A4,0.5,0,26,3.5,A-klarinett,Cl
103.5,104.0,54,F#3,0.5,0,26,4.5,A-klarinett,Cl
103.5,104.0,69,A4,0.5,0,26,4.5,A-klarinett,Cl
104.5,105.0,55,G3,0.5,0,27,1.5,A-klarinett,Cl
104.5,105.0,67,G4,0.5,0,27,1.5,A-klarinett,Cl
105.5,106.5,52,E3,1.0,0,27,2.5,A-klarinett,Cl
105.5,106.5,59,B3,1.0,0,27,2.5,A-klarinett,Cl
109.0,109.25,73,C#5,0.25,0,28,2.0,A-klarinett,Cl
109.25,109.5,71,B4,0.25,0,28,2.25,A-klarinett,Cl
109.5,109.75,69,A4,0.25,0,28,2.5,A-klarinett,Cl
109.75,110.0,67,G4,0.25,0,28,2.75,A-klarinett,Cl
110.0,110.25,66,F#4,0.25,0,28,3.0,A-klarinett,Cl
109.5,110.5,52,E3,1.0,0,28,2.5,A-klarinett,Cl
110.25,110.5,64,E4,0.25,0,28,3.25,A-klarinett,Cl
110.5,110.75,62,D4,0.25,0,28,3.5,A-klarinett,Cl
110.75,111.0,61,C#4,0.25,0,28,3.75,A-klarinett,Cl
110.5,111.5,55,G3,1.0,0,28,3.5,A-klarinett,Cl
117.0,119.5,59,B3,2.5,0,30,2.0,A-klarinett,Cl
121.0,123.5,59,B3,2.5,0,31,4.0,A-klarinett,Cl
125.0,127.5,62,D4,2.5,0,32,4.0,A-klarinett,Cl
129.0,131.5,62,D4,2.5,0,33,4.0,A-klarinett,Cl
133.0,134.5,65,F4,1.5,0,34,4.0,A-klarinett,Cl
135.0,136.5,65,F4,1.5,0,35,2.0,A-klarinett,Cl
