Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
3.0,3.5,40,E2,0.5,0,1,4.0,Fagott,Bsn
3.5,4.0,42,F#2,0.5,0,1,4.5,Fagott,Bsn
4.0,5.0,43,G2,1.0,0,2,1.0,Fagott,Bsn
5.0,7.0,42,F#2,2.0,0,2,2.0,Fagott,Bsn
7.0,7.5,42,F#2,0.5,0,2,4.0,Fagott,Bsn
7.5,8.0,43,G2,0.5,0,2,4.5,Fagott,Bsn
8.0,9.0,45,A2,1.0,0,3,1.0,Fagott,Bsn
9.0,11.0,43,G2,2.0,0,3,2.0,Fagott,Bsn
11.0,11.5,43,G2,0.5,0,3,4.0,Fagott,Bsn
11.5,12.0,45,A2,0.5,0,3,4.5,Fagott,Bsn
12.0,13.0,47,B2,1.0,0,4,1.0,Fagott,Bsn
13.0,16.0,46,A#2,3.0,0,4,2.0,Fagott,Bsn
16.0,20.5,47,B2,4.5,0,5,1.0,Fagott,Bsn
27.0,27.5,40,E2,0.5,0,7,4.0,Fagott,Bsn
27.5,28.0,42,F#2,0.5,0,7,4.5,Fagott,Bsn
28.0,29.0,43,G2,1.0,0,8,1.0,Fagott,Bsn
29.0,31.0,42,F#2,2.0,0,8,2.0,Fagott,Bsn
31.0,31.5,42,F#2,0.5,0,8,4.0,Fagott,Bsn
31.5,32.0,43,G2,0.5,0,8,4.5,Fagott,Bsn
32.0,33.0,45,A2,1.0,0,9,1.0,Fagott,Bsn
33.0,35.0,43,G2,2.0,0,9,2.0,Fagott,Bsn
35.0,35.5,43,G2,0.5,0,9,4.0,Fagott,Bsn
35.5,36.0,45,A2,0.5,0,9,4.5,Fagott,Bsn
36.0,37.0,47,B2,1.0,0,10,1.0,Fagott,Bsn
37.0,39.0,45,A2,2.0,0,10,2.0,Fagott,Bsn
39.0,40.0,43,G2,1.0,0,10,4.0,Fagott,Bsn
40.0,44.5,40,E2,4.5,0,11,1.0,Fagott,Bsn
