Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
474.0,475.25,83,B5,1.25,0,120,1.0,Fløyte,Fl
475.25,475.5,79,G5,0.25,0,120,2.25,Fløyte,Fl
475.5,475.75,76,E5,0.25,0,120,2.5,Fløyte,Fl
475.75,476.0,71,B4,0.25,0,120,2.75,Fløyte,Fl
476.0,476.5,67,G4,0.5,0,120,3.0,Fløyte,Fl
479.0,481.0,88,E6,2.0,0,121,2.0,Fløyte,Fl
481.0,482.0,86,D6,1.0,0,121,4.0,Fløyte,Fl
482.0,483.75,86,D6,1.75,0,122,1.0,Fløyte,Fl
483.75,484.0,85,C#6,0.25,0,122,2.75,Fløyte,Fl
484.0,485.5,85,C#6,1.5,0,122,3.0,Fløyte,Fl
487.0,489.0,85,C#6,2.0,0,123,2.0,Fløyte,Fl
489.0,490.0,83,B5,1.0,0,123,4.0,Fløyte,Fl
490.0,491.75,83,B5,1.75,0,124,1.0,Fløyte,Fl
491.75,492.0,81,A5,0.25,0,124,2.75,Fløyte,Fl
492.0,494.5,81,A5,2.5,0,124,3.0,Fløyte,Fl
495.0,497.0,83,B5,2.0,0,125,2.0,Fløyte,Fl
497.0,498.5,81,A5,1.5,0,125,4.0,Fløyte,Fl
499.0,501.0,83,B5,2.0,0,126,2.0,Fløyte,Fl
501.0,502.0,81,A5,1.0,0,126,4.0,Fløyte,Fl
503.0,504.0,79,G5,1.0,0,127,2.0,Fløyte,Fl
504.0,505.0,78,F#5,1.0,0,127,3.0,Fløyte,Fl
505.0,506.0,76,E5,1.0,0,127,4.0,Fløyte,Fl
506.0,507.0,74,D5,1.0,0,128,1.0,Fløyte,Fl
507.0,509.0,73,C#5,2.0,0,128,2.0,Fløyte,Fl
509.0,510.0,71,B4,1.0,0,128,4.0,Fløyte,Fl
510.0,512.0,70,B-4,2.0,0,129,1.0,Fløyte,Fl
512.0,513.5,69,A4,1.5,0,129,3.0,Fløyte,Fl
1543/3,514.8333333333334,66,F#4,0.5,0,130,4/3,Fløyte,Fl
1543/3,514.8333333333334,69,A4,0.5,0,130,4/3,Fløyte,Fl
3089/6,515.3333333333334,66,F#4,0.5,0,130,11/6,Fløyte,Fl
3089/6,515.3333333333334,69,A4,0.5,0,130,11/6,Fløyte,Fl
1546/3,515.8333333333334,66,F#4,0.5,0,130,7/3,Fløyte,Fl
1546/3,515.8333333333334,69,A4,0.5,0,130,7/3,Fløyte,Fl
3095/6,516.3333333333334,66,F#4,0.5,0,130,17/6,Fløyte,Fl
3095/6,516.3333333333334,69,A4,0.5,0,130,17/6,Fløyte,Fl
1549/3,516.8333333333334,66,F#4,0.5,0,130,10/3,Fløyte,Fl
1549/3,516.8333333333334,69,A4,0.5,0,130,10/3,Fløyte,Fl
3101/6,518.8333333333334,66,F#4,2.0,0,130,23/6,Fløyte,Fl
3101/6,518.8333333333334,69,A4,2.0,0,130,23/6,Fløyte,Fl
3119/6,520.3333333333334,66,F#4,0.5,0,131,4/3,Fløyte,Fl
3119/6,520.3333333333334,74,D5,0.5,0,131,4/3,Fløyte,Fl
1561/3,520.8333333333334,66,F#4,0.5,0,131,11/6,Fløyte,Fl
1561/3,520.8333333333334,74,D5,0.5,0,131,11/6,Fløyte,Fl
3125/6,521.3333333333334,66,F#4,0.5,0,131,7/3,Fløyte,Fl
3125/6,521.3333333333334,74,D5,0.5,0,131,7/3,Fløyte,Fl
1564/3,521.8333333333334,66,F#4,0.5,0,131,17/6,Fløyte,Fl
1564/3,521.8333333333334,74,D5,0.5,0,131,17/6,Fløyte,Fl
3131/6,522.3333333333334,66,F#4,0.5,0,131,10/3,Fløyte,Fl
3131/6,522.3333333333334,74,D5,0.5,0,131,10/3,Fløyte,Fl
1568/3,523.1666666666666,68,G#4,0.5,0,131,25/6,Fløyte,Fl
1568/3,523.1666666666666,71,B4,0.5,0,131,25/6,Fløyte,Fl
3139/6,523.6666666666666,68,G#4,0.5,0,131,14/3,Fløyte,Fl
3139/6,523.6666666666666,71,B4,0.5,0,131,14/3,Fløyte,Fl
1571/3,524.1666666666666,68,G#4,0.5,0,131,7/6,Fløyte,Fl
1571/3,524.1666666666666,71,B4,0.5,0,131,7/6,Fløyte,Fl
3145/6,524.6666666666666,68,G#4,0.5,0,131,5/3,Fløyte,Fl
3145/6,524.6666666666666,71,B4,0.5,0,131,5/3,Fløyte,Fl
1574/3,525.1666666666666,68,G#4,0.5,0,131,13/6,Fløyte,Fl
1574/3,525.1666666666666,74,D5,0.5,0,131,13/6,Fløyte,Fl
525.5,526.0,74,D5,0.5,0,132,4/3,Fløyte,Fl
525.5,526.0,78,F#5,0.5,0,132,4/3,Fløyte,Fl
526.0,526.5,74,D5,0.5,0,132,11/6,Fløyte,Fl
526.0,526.5,78,F#5,0.5,0,132,11/6,Fløyte,Fl
526.5,527.0,74,D5,0.5,0,132,7/3,Fløyte,Fl
526.5,527.0,78,F#5,0.5,0,132,7/3,Fløyte,Fl
527.0,527.5,74,D5,0.5,0,132,17/6,Fløyte,Fl
527.0,527.5,78,F#5,0.5,0,132,17/6,Fløyte,Fl
527.5,528.0,74,D5,0.5,0,132,10/3,Fløyte,Fl
527.5,528.0,78,F#5,0.5,0,132,10/3,Fløyte,Fl
528.0,528.5,74,D5,0.5,0,132,23/6,Fløyte,Fl
528.0,528.5,78,F#5,0.5,0,132,23/6,Fløyte,Fl
530.5,531.0,69,A4,0.5,0,133,4/3,Fløyte,Fl
530.5,531.0,74,D5,0.5,0,133,4/3,Fløyte,Fl
531.0,531.5,69,A4,0.5,0,133,11/6,Fløyte,Fl
531.0,531.5,74,D5,0.5,0,133,11/6,Fløyte,Fl
531.5,532.0,69,A4,0.5,0,133,7/3,Fløyte,Fl
531.5,532.0,74,D5,0.5,0,133,7/3,Fløyte,Fl
532.0,532.5,69,A4,0.5,0,133,17/6,Fløyte,Fl
532.0,532.5,74,D5,0.5,0,133,17/6,Fløyte,Fl
532.5,533.0,69,A4,0.5,0,133,10/3,Fløyte,Fl
532.5,533.0,74,D5,0.5,0,133,10/3,Fløyte,Fl
1600/3,533.8333333333334,73,C#5,0.5,0,133,25/6,Fløyte,Fl
1600/3,533.8333333333334,76,E5,0.5,0,133,25/6,Fløyte,Fl
3203/6,534.3333333333334,73,C#5,0.5,0,133,14/3,Fløyte,Fl
3203/6,534.3333333333334,76,E5,0.5,0,133,14/3,Fløyte,Fl
1603/3,534.8333333333334,73,C#5,0.5,0,133,7/6,Fløyte,Fl
1603/3,534.8333333333334,76,E5,0.5,0,133,7/6,Fløyte,Fl
3209/6,535.3333333333334,73,C#5,0.5,0,133,5/3,Fløyte,Fl
3209/6,535.3333333333334,76,E5,0.5,0,133,5/3,Fløyte,Fl
1606/3,535.8333333333334,73,C#5,0.5,0,133,13/6,Fløyte,Fl
1606/3,535.8333333333334,76,E5,0.5,0,133,13/6,Fløyte,Fl
3217/6,536.6666666666666,74,D5,0.5,0,134,4/3,Fløyte,Fl
3217/6,536.6666666666666,78,F#5,0.5,0,134,4/3,Fløyte,Fl
1610/3,537.1666666666666,74,D5,0.5,0,134,11/6,Fløyte,Fl
1610/3,537.1666666666666,78,F#5,0.5,0,134,11/6,Fløyte,Fl
3223/6,537.6666666666666,74,D5,0.5,0,134,7/3,Fløyte,Fl
3223/6,537.6666666666666,78,F#5,0.5,0,134,7/3,Fløyte,Fl
1613/3,538.1666666666666,74,D5,0.5,0,134,17/6,Fløyte,Fl
1613/3,538.1666666666666,78,F#5,0.5,0,134,17/6,Fløyte,Fl
538.5,541.5,81,A5,3.0,0,134,11/3,Fløyte,Fl
538.5,541.5,84,C6,3.0,0,134,11/3,Fløyte,Fl
541.5,542.0,79,G5,0.5,0,135,1.0,Fløyte,Fl
541.5,542.0,83,B5,0.5,0,135,1.0,Fløyte,Fl
542.0,542.5,79,G5,0.5,0,135,1.5,Fløyte,Fl
542.0,542.5,83,B5,0.5,0,135,1.5,Fløyte,Fl
542.5,543.0,79,G5,0.5,0,135,2.0,Fløyte,Fl
542.5,543.0,83,B5,0.5,0,135,2.0,Fløyte,Fl
543.0,543.5,79,G5,0.5,0,135,2.5,Fløyte,Fl
543.0,543.5,83,B5,0.5,0,135,2.5,Fløyte,Fl
543.5,544.0,79,G5,0.5,0,135,3.0,Fløyte,Fl
543.5,544.0,83,B5,0.5,0,135,3.0,Fløyte,Fl
544.0,544.5,79,G5,0.5,0,135,3.5,Fløyte,Fl
544.0,544.5,83,B5,0.5,0,135,3.5,Fløyte,Fl
544.5,547.5,79,G5,3.0,0,135,4.0,Fløyte,Fl
544.5,547.5,82,B-5,3.0,0,135,4.0,Fløyte,Fl
547.5,548.0,78,F#5,0.5,0,136,1.0,Fløyte,Fl
547.5,548.0,81,A5,0.5,0,136,1.0,Fløyte,Fl
548.0,548.5,78,F#5,0.5,0,136,1.5,Fløyte,Fl
548.0,548.5,81,A5,0.5,0,136,1.5,Fløyte,Fl
548.5,549.0,78,F#5,0.5,0,136,2.0,Fløyte,Fl
548.5,549.0,81,A5,0.5,0,136,2.0,Fløyte,Fl
549.0,549.5,78,F#5,0.5,0,136,2.5,Fløyte,Fl
549.0,549.5,81,A5,0.5,0,136,2.5,Fløyte,Fl
549.5,550.0,78,F#5,0.5,0,136,3.0,Fløyte,Fl
549.5,550.0,81,A5,0.5,0,136,3.0,Fløyte,Fl
550.0,550.5,78,F#5,0.5,0,136,3.5,Fløyte,Fl
550.0,550.5,81,A5,0.5,0,136,3.5,Fløyte,Fl
550.5,553.5,71,B4,3.0,0,136,4.0,Fløyte,Fl
550.5,553.5,74,D5,3.0,0,136,4.0,Fløyte,Fl
553.5,554.0,69,A4,0.5,0,137,1.0,Fløyte,Fl
553.5,554.0,74,D5,0.5,0,137,1.0,Fløyte,Fl
554.0,554.5,69,A4,0.5,0,137,1.5,Fløyte,Fl
554.0,554.5,74,D5,0.5,0,137,1.5,Fløyte,Fl
554.5,555.0,69,A4,0.5,0,137,2.0,Fløyte,Fl
554.5,555.0,74,D5,0.5,0,137,2.0,Fløyte,Fl
555.0,555.5,69,A4,0.5,0,137,2.5,Fløyte,Fl
555.0,555.5,74,D5,0.5,0,137,2.5,Fløyte,Fl
555.5,556.0,69,A4,0.5,0,137,3.0,Fløyte,Fl
555.5,556.0,74,D5,0.5,0,137,3.0,Fløyte,Fl
556.0,556.5,69,A4,0.5,0,137,3.5,Fløyte,Fl
556.0,556.5,74,D5,0.5,0,137,3.5,Fløyte,Fl
556.5,559.5,73,C#5,3.0,0,137,4.0,Fløyte,Fl
556.5,559.5,79,G5,3.0,0,137,4.0,Fløyte,Fl
3359/6,560.3333333333334,74,D5,0.5,0,138,4/3,Fløyte,Fl
3359/6,560.3333333333334,78,F#5,0.5,0,138,4/3,Fløyte,Fl
1681/3,560.8333333333334,74,D5,0.5,0,138,11/6,Fløyte,Fl
1681/3,560.8333333333334,78,F#5,0.5,0,138,11/6,Fløyte,Fl
3365/6,561.3333333333334,74,D5,0.5,0,138,7/3,Fløyte,Fl
3365/6,561.3333333333334,78,F#5,0.5,0,138,7/3,Fløyte,Fl
1684/3,561.8333333333334,74,D5,0.5,0,138,17/6,Fløyte,Fl
1684/3,561.8333333333334,78,F#5,0.5,0,138,17/6,Fløyte,Fl
3373/6,565.1666666666666,81,A5,3.0,0,138,11/3,Fløyte,Fl
3373/6,565.1666666666666,84,C6,3.0,0,138,11/3,Fløyte,Fl
3391/6,565.6666666666666,79,G5,0.5,0,139,13/6,Fløyte,Fl
3391/6,565.6666666666666,83,B5,0.5,0,139,13/6,Fløyte,Fl
1697/3,566.1666666666666,79,G5,0.5,0,139,1.5,Fløyte,Fl
1697/3,566.1666666666666,83,B5,0.5,0,139,1.5,Fløyte,Fl
3397/6,566.6666666666666,79,G5,0.5,0,139,2.0,Fløyte,Fl
3397/6,566.6666666666666,83,B5,0.5,0,139,2.0,Fløyte,Fl
1700/3,567.1666666666666,79,G5,0.5,0,139,2.5,Fløyte,Fl
1700/3,567.1666666666666,83,B5,0.5,0,139,2.5,Fløyte,Fl
3403/6,567.6666666666666,79,G5,0.5,0,139,3.0,Fløyte,Fl
3403/6,567.6666666666666,83,B5,0.5,0,139,3.0,Fløyte,Fl
1703/3,568.1666666666666,79,G5,0.5,0,139,3.5,Fløyte,Fl
1703/3,568.1666666666666,83,B5,0.5,0,139,3.5,Fløyte,Fl
3409/6,571.1666666666666,79,G5,3.0,0,139,4.0,Fløyte,Fl
3409/6,571.1666666666666,82,B-5,3.0,0,139,4.0,Fløyte,Fl
3427/6,571.6666666666666,78,F#5,0.5,0,140,25/6,Fløyte,Fl
3427/6,571.6666666666666,81,A5,0.5,0,140,25/6,Fløyte,Fl
1715/3,572.1666666666666,78,F#5,0.5,0,140,1.5,Fløyte,Fl
1715/3,572.1666666666666,81,A5,0.5,0,140,1.5,Fløyte,Fl
3433/6,572.6666666666666,78,F#5,0.5,0,140,2.0,Fløyte,Fl
3433/6,572.6666666666666,81,A5,0.5,0,140,2.0,Fløyte,Fl
1718/3,573.1666666666666,78,F#5,0.5,0,140,2.5,Fløyte,Fl
1718/3,573.1666666666666,81,A5,0.5,0,140,2.5,Fløyte,Fl
3439/6,573.6666666666666,78,F#5,0.5,0,140,3.0,Fløyte,Fl
3439/6,573.6666666666666,81,A5,0.5,0,140,3.0,Fløyte,Fl
1721/3,574.1666666666666,78,F#5,0.5,0,140,3.5,Fløyte,Fl
1721/3,574.1666666666666,81,A5,0.5,0,140,3.5,Fløyte,Fl
3445/6,577.1666666666666,71,B4,3.0,0,140,4.0,Fløyte,Fl
3445/6,577.1666666666666,74,D5,3.0,0,140,4.0,Fløyte,Fl
3463/6,577.6666666666666,69,A4,0.5,0,141,13/6,Fløyte,Fl
3463/6,577.6666666666666,74,D5,0.5,0,141,13/6,Fløyte,Fl
1733/3,578.1666666666666,69,A4,0.5,0,141,1.5,Fløyte,Fl
1733/3,578.1666666666666,74,D5,0.5,0,141,1.5,Fløyte,Fl
3469/6,578.6666666666666,69,A4,0.5,0,141,2.0,Fløyte,Fl
3469/6,578.6666666666666,74,D5,0.5,0,141,2.0,Fløyte,Fl
1736/3,579.1666666666666,69,A4,0.5,0,141,2.5,Fløyte,Fl
1736/3,579.1666666666666,74,D5,0.5,0,141,2.5,Fløyte,Fl
3475/6,579.6666666666666,69,A4,0.5,0,141,3.0,Fløyte,Fl
3475/6,579.6666666666666,74,D5,0.5,0,141,3.0,Fløyte,Fl
1739/3,580.1666666666666,69,A4,0.5,0,141,3.5,Fløyte,Fl
1739/3,580.1666666666666,74,D5,0.5,0,141,3.5,Fløyte,Fl
3481/6,583.1666666666666,73,C#5,3.0,0,141,4.0,Fløyte,Fl
3481/6,583.1666666666666,79,G5,3.0,0,141,4.0,Fløyte,Fl
583.5,584.0,74,D5,0.5,0,142,4/3,Fløyte,Fl
583.5,584.0,78,F#5,0.5,0,142,4/3,Fløyte,Fl
584.0,584.5,74,D5,0.5,0,142,11/6,Fløyte,Fl
584.0,584.5,78,F#5,0.5,0,142,11/6,Fløyte,Fl
584.5,585.0,74,D5,0.5,0,142,7/3,Fløyte,Fl
584.5,585.0,78,F#5,0.5,0,142,7/3,Fløyte,Fl
585.0,585.5,74,D5,0.5,0,142,17/6,Fløyte,Fl
585.0,585.5,78,F#5,0.5,0,142,17/6,Fløyte,Fl
585.5,586.0,74,D5,0.5,0,142,10/3,Fløyte,Fl
585.5,586.0,78,F#5,0.5,0,142,10/3,Fløyte,Fl
676.0,676.5,88,E6,0.5,0,165,1.0,Fløyte,Fl
691.0,691.25,76,E5,0.25,0,168,4.0,Fløyte,Fl
691.25,691.5,79,G5,0.25,0,168,4.25,Fløyte,Fl
691.5,691.75,79,G5,0.25,0,168,4.5,Fløyte,Fl
691.75,692.0,88,E6,0.25,0,168,4.75,Fløyte,Fl
692.0,692.5,86,D6,0.5,0,169,1.0,Fløyte,Fl
694.0,694.1666666666666,86,D6,1/6,0,169,3.0,Fløyte,Fl
4165/6,2083/3,86,D6,1/6,0,169,19/6,Fløyte,Fl
2083/3,1389/2,86,D6,1/6,0,169,10/3,Fløyte,Fl
694.5,696.5,86,D6,2.0,0,169,3.5,Fløyte,Fl
696.5,697.0,86,D6,0.5,0,170,1.5,Fløyte,Fl
697.0,697.5,86,D6,0.5,0,170,2.0,Fløyte,Fl
697.5,698.0,86,D6,0.5,0,170,2.5,Fløyte,Fl
698.0,698.5,86,D6,0.5,0,170,3.0,Fløyte,Fl
698.5,699.0,86,D6,0.5,0,170,3.5,Fløyte,Fl
707.5,709.5,86,D6,2.0,0,172,4.5,Fløyte,Fl
709.5,711.5,86,D6,2.0,0,173,2.5,Fløyte,Fl
711.5,712.5,86,D6,1.0,0,173,4.5,Fløyte,Fl
723.5,725.5,81,A5,2.0,0,176,4.5,Fløyte,Fl
725.5,727.5,81,A5,2.0,0,177,2.5,Fløyte,Fl
727.5,728.5,81,A5,1.0,0,177,4.5,Fløyte,Fl
733.0,733.5,84,C6,0.5,0,179,2.0,Fløyte,Fl
733.5,734.0,81,A5,0.5,0,179,2.5,Fløyte,Fl
734.0,734.5,79,G5,0.5,0,179,3.0,Fløyte,Fl
734.5,735.5,81,A5,1.0,0,179,3.5,Fløyte,Fl
738.5,739.0,66,F#4,0.5,0,180,3.5,Fløyte,Fl
739.0,739.5,64,E4,0.5,0,180,4.0,Fløyte,Fl
739.5,741.5,88,E6,2.0,0,180,4.5,Fløyte,Fl
741.5,743.5,88,E6,2.0,0,181,2.5,Fløyte,Fl
743.5,744.5,88,E6,1.0,0,181,4.5,Fløyte,Fl
198161/160,1239.00625,75,D#5,0.5,0,305,3.5,Fløyte,Fl
198241/160,1239.50625,73,C#5,0.5,0,305,4.0,Fløyte,Fl
198321/160,1240.00625,71,B4,0.5,0,305,4.5,Fløyte,Fl
198401/160,1240.50625,68,G#4,0.5,0,306,161/160,Fløyte,Fl
198481/160,1241.00625,66,F#4,0.5,0,306,1.5,Fløyte,Fl
198561/160,1241.50625,63,D#4,0.5,0,306,2.0,Fløyte,Fl
198641/160,1242.00625,66,F#4,0.5,0,306,2.5,Fløyte,Fl
198721/160,1243.50625,71,B4,1.5,0,306,3.0,Fløyte,Fl
198961/160,1244.00625,68,G#4,0.5,0,306,4.5,Fløyte,Fl
199041/160,1245.50625,66,F#4,1.5,0,307,161/160,Fløyte,Fl
199441/160,1247.00625,75,D#5,0.5,0,307,3.5,Fløyte,Fl
199521/160,1247.50625,73,C#5,0.5,0,307,4.0,Fløyte,Fl
199601/160,1248.00625,71,B4,0.5,0,307,4.5,Fløyte,Fl
199681/160,1248.50625,66,F#4,0.5,0,308,161/160,Fløyte,Fl
199761/160,1249.00625,63,D#4,0.5,0,308,1.5,Fløyte,Fl
199841/160,1249.50625,71,B4,0.5,0,308,2.0,Fløyte,Fl
199921/160,1250.00625,63,D#4,0.5,0,308,2.5,Fløyte,Fl
200001/160,1251.50625,68,G#4,1.5,0,308,3.0,Fløyte,Fl
200241/160,1252.00625,66,F#4,0.5,0,308,4.5,Fløyte,Fl
200321/160,1254.00625,66,F#4,2.0,0,309,161/160,Fløyte,Fl
200641/160,1255.00625,78,F#5,1.0,0,309,3.0,Fløyte,Fl
200801/160,1255.75625,76,E5,0.75,0,309,4.0,Fløyte,Fl
200921/160,1256.00625,75,D#5,0.25,0,309,4.75,Fløyte,Fl
200961/160,1257.00625,75,D#5,1.0,0,310,161/160,Fløyte,Fl
201121/160,1258.00625,73,C#5,1.0,0,310,2.0,Fløyte,Fl
201281/160,1259.00625,76,E5,1.0,0,310,3.0,Fløyte,Fl
201441/160,1259.75625,75,D#5,0.75,0,310,4.0,Fløyte,Fl
201561/160,1260.00625,73,C#5,0.25,0,310,4.75,Fløyte,Fl
201601/160,1261.00625,73,C#5,1.0,0,311,161/160,Fløyte,Fl
201761/160,1262.00625,71,B4,1.0,0,311,2.0,Fløyte,Fl
202001/160,1263.00625,87,D#6,0.5,0,311,3.5,Fløyte,Fl
202081/160,1263.50625,85,C#6,0.5,0,311,4.0,Fløyte,Fl
202161/160,1264.00625,83,B5,0.5,0,311,4.5,Fløyte,Fl
202241/160,1264.50625,78,F#5,0.5,0,312,161/160,Fløyte,Fl
202321/160,1265.00625,75,D#5,0.5,0,312,1.5,Fløyte,Fl
202401/160,1265.50625,71,B4,0.5,0,312,2.0,Fløyte,Fl
202481/160,1266.00625,75,D#5,0.5,0,312,2.5,Fløyte,Fl
202561/160,1267.75625,80,G#5,1.75,0,312,3.0,Fløyte,Fl
202841/160,1268.00625,78,F#5,0.25,0,312,4.75,Fløyte,Fl
202881/160,608723/480,78,F#5,1/6,0,313,161/160,Fløyte,Fl
608723/480,608803/480,78,F#5,1/6,0,313,7/6,Fløyte,Fl
608803/480,202961/160,79,G5,1/6,0,313,4/3,Fløyte,Fl
202961/160,608963/480,80,G#5,1/6,0,313,1.5,Fløyte,Fl
608963/480,609043/480,81,A5,1/6,0,313,5/3,Fløyte,Fl
609043/480,203041/160,82,A#5,1/6,0,313,11/6,Fløyte,Fl
203041/160,1269.13125,83,B5,0.125,0,313,2.0,Fløyte,Fl
203061/160,1269.25625,84,B#5,0.125,0,313,2.125,Fløyte,Fl
203081/160,1269.38125,85,C#6,0.125,0,313,2.25,Fløyte,Fl
203101/160,1269.50625,86,D6,0.125,0,313,2.375,Fløyte,Fl
203121/160,1269.63125,87,D#6,0.125,0,313,2.5,Fløyte,Fl
203141/160,1269.75625,88,E6,0.125,0,313,2.625,Fløyte,Fl
203161/160,1269.88125,89,E#6,0.125,0,313,2.75,Fløyte,Fl
203181/160,1270.00625,90,F#6,0.125,0,313,2.875,Fløyte,Fl
203201/160,1271.00625,90,F#6,1.0,0,313,3.0,Fløyte,Fl
