Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
188.5,189.0,97,C#7,0.5,0,48,3.5,Pikkolofløyte,Picc
189.0,189.5,95,B6,0.5,0,48,4.0,Pikkolofløyte,Picc
189.5,190.0,93,A6,0.5,0,48,4.5,Pikkolofløyte,Picc
190.0,190.5,92,G#6,0.5,0,49,1.0,Pikkolofløyte,Picc
260.25,260.5,87,E-6,0.25,0,66,3.25,Pikkolofløyte,Picc
260.5,260.75,87,E-6,0.25,0,66,3.5,Pikkolofløyte,Picc
260.75,261.0,87,E-6,0.25,0,66,3.75,Pikkolofløyte,Picc
261.0,261.25,87,E-6,0.25,0,66,4.0,Pikkolofløyte,Picc
261.25,261.5,90,F#6,0.25,0,66,4.25,Pikkolofløyte,Picc
261.5,261.75,89,F6,0.25,0,66,4.5,Pikkolofløyte,Picc
261.75,262.0,87,E-6,0.25,0,66,4.75,Pikkolofløyte,Picc
262.0,264.0,86,D6,2.0,0,67,1.0,Pikkolofløyte,Picc
264.0,264.5,87,E-6,0.5,0,67,3.0,Pikkolofløyte,Picc
268.25,268.5,90,F#6,0.25,0,68,3.25,Pikkolofløyte,Picc
268.5,268.75,90,F#6,0.25,0,68,3.5,Pikkolofløyte,Picc
268.75,269.0,90,F#6,0.25,0,68,3.75,Pikkolofløyte,Picc
269.0,269.25,90,F#6,0.25,0,68,4.0,Pikkolofløyte,Picc
269.25,269.5,93,A6,0.25,0,68,4.25,Pikkolofløyte,Picc
269.5,269.75,92,G#6,0.25,0,68,4.5,Pikkolofløyte,Picc
269.75,270.0,90,F#6,0.25,0,68,4.75,Pikkolofløyte,Picc
270.0,272.0,89,F6,2.0,0,69,1.0,Pikkolofløyte,Picc
272.0,272.5,90,F#6,0.5,0,69,3.0,Pikkolofløyte,Picc
276.25,276.5,93,A6,0.25,0,70,3.25,Pikkolofløyte,Picc
276.5,276.75,93,A6,0.25,0,70,3.5,Pikkolofløyte,Picc
276.75,277.0,93,A6,0.25,0,70,3.75,Pikkolofløyte,Picc
277.0,277.25,93,A6,0.25,0,70,4.0,Pikkolofløyte,Picc
277.25,277.5,96,C7,0.25,0,70,4.25,Pikkolofløyte,Picc
277.5,277.75,95,B6,0.25,0,70,4.5,Pikkolofløyte,Picc
277.75,278.0,93,A6,0.25,0,70,4.75,Pikkolofløyte,Picc
278.0,278.25,89,F6,0.25,0,71,1.0,Pikkolofløyte,Picc
278.25,278.5,88,E6,0.25,0,71,1.25,Pikkolofløyte,Picc
278.5,278.75,86,D6,0.25,0,71,1.5,Pikkolofløyte,Picc
278.75,279.0,84,C6,0.25,0,71,1.75,Pikkolofløyte,Picc
279.0,279.25,83,B5,0.25,0,71,2.0,Pikkolofløyte,Picc
279.25,279.5,81,A5,0.25,0,71,2.25,Pikkolofløyte,Picc
279.5,279.75,77,F5,0.25,0,71,2.5,Pikkolofløyte,Picc
279.75,280.0,76,E5,0.25,0,71,2.75,Pikkolofløyte,Picc
280.25,280.5,93,A6,0.25,0,71,3.25,Pikkolofløyte,Picc
280.5,280.75,93,A6,0.25,0,71,3.5,Pikkolofløyte,Picc
280.75,281.0,93,A6,0.25,0,71,3.75,Pikkolofløyte,Picc
281.0,281.25,93,A6,0.25,0,71,4.0,Pikkolofløyte,Picc
281.25,281.5,96,C7,0.25,0,71,4.25,Pikkolofløyte,Picc
281.5,281.75,95,B6,0.25,0,71,4.5,Pikkolofløyte,Picc
281.75,282.0,93,A6,0.25,0,71,4.75,Pikkolofløyte,Picc
282.0,282.25,89,F6,0.25,0,72,1.0,Pikkolofløyte,Picc
282.25,282.5,88,E6,0.25,0,72,1.25,Pikkolofløyte,Picc
282.5,282.75,86,D6,0.25,0,72,1.5,Pikkolofløyte,Picc
282.75,283.0,84,C6,0.25,0,72,1.75,Pikkolofløyte,Picc
283.0,283.25,83,B5,0.25,0,72,2.0,Pikkolofløyte,Picc
283.25,283.5,81,A5,0.25,0,72,2.25,Pikkolofløyte,Picc
283.5,283.75,77,F5,0.25,0,72,2.5,Pikkolofløyte,Picc
283.75,284.0,76,E5,0.25,0,72,2.75,Pikkolofløyte,Picc
284.25,284.5,93,A6,0.25,0,72,3.25,Pikkolofløyte,Picc
284.5,284.75,93,A6,0.25,0,72,3.5,Pikkolofløyte,Picc
284.75,285.0,93,A6,0.25,0,72,3.75,Pikkolofløyte,Picc
285.0,285.25,93,A6,0.25,0,72,4.0,Pikkolofløyte,Picc
285.25,285.5,96,C7,0.25,0,72,4.25,Pikkolofløyte,Picc
285.5,285.75,95,B6,0.25,0,72,4.5,Pikkolofløyte,Picc
285.75,286.0,93,A6,0.25,0,72,4.75,Pikkolofløyte,Picc
286.25,286.5,81,A5,0.25,0,73,1.25,Pikkolofløyte,Picc
286.5,286.75,81,A5,0.25,0,73,1.5,Pikkolofløyte,Picc
286.75,287.0,81,A5,0.25,0,73,1.75,Pikkolofløyte,Picc
287.0,287.25,81,A5,0.25,0,73,2.0,Pikkolofløyte,Picc
287.25,287.5,84,C6,0.25,0,73,2.25,Pikkolofløyte,Picc
287.5,287.75,83,B5,0.25,0,73,2.5,Pikkolofløyte,Picc
287.75,288.0,81,A5,0.25,0,73,2.75,Pikkolofløyte,Picc
288.25,288.5,93,A6,0.25,0,73,3.25,Pikkolofløyte,Picc
288.5,288.75,93,A6,0.25,0,73,3.5,Pikkolofløyte,Picc
288.75,289.0,93,A6,0.25,0,73,3.75,Pikkolofløyte,Picc
289.0,289.25,93,A6,0.25,0,73,4.0,Pikkolofløyte,Picc
289.25,289.5,96,C7,0.25,0,73,4.25,Pikkolofløyte,Picc
289.5,289.75,95,B6,0.25,0,73,4.5,Pikkolofløyte,Picc
289.75,290.0,93,A6,0.25,0,73,4.75,Pikkolofløyte,Picc
290.25,290.5,81,A5,0.25,0,74,1.25,Pikkolofløyte,Picc
290.5,290.75,81,A5,0.25,0,74,1.5,Pikkolofløyte,Picc
290.75,291.0,81,A5,0.25,0,74,1.75,Pikkolofløyte,Picc
291.0,291.25,81,A5,0.25,0,74,2.0,Pikkolofløyte,Picc
291.25,291.5,84,C6,0.25,0,74,2.25,Pikkolofløyte,Picc
291.5,291.75,83,B5,0.25,0,74,2.5,Pikkolofløyte,Picc
291.75,292.0,81,A5,0.25,0,74,2.75,Pikkolofløyte,Picc
292.25,292.5,81,A5,0.25,0,74,3.25,Pikkolofløyte,Picc
292.5,292.75,81,A5,0.25,0,74,3.5,Pikkolofløyte,Picc
292.75,293.0,81,A5,0.25,0,74,3.75,Pikkolofløyte,Picc
293.0,293.25,81,A5,0.25,0,74,4.0,Pikkolofløyte,Picc
293.25,293.5,84,C6,0.25,0,74,4.25,Pikkolofløyte,Picc
293.5,293.75,83,B5,0.25,0,74,4.5,Pikkolofløyte,Picc
293.75,294.0,81,A5,0.25,0,74,4.75,Pikkolofløyte,Picc
294.25,294.5,81,A5,0.25,0,75,1.25,Pikkolofløyte,Picc
294.5,294.75,81,A5,0.25,0,75,1.5,Pikkolofløyte,Picc
294.75,295.0,81,A5,0.25,0,75,1.75,Pikkolofløyte,Picc
295.0,295.25,81,A5,0.25,0,75,2.0,Pikkolofløyte,Picc
295.25,295.5,84,C6,0.25,0,75,2.25,Pikkolofløyte,Picc
295.5,295.75,83,B5,0.25,0,75,2.5,Pikkolofløyte,Picc
295.75,296.0,81,A5,0.25,0,75,2.75,Pikkolofløyte,Picc
296.25,296.5,81,A5,0.25,0,75,3.25,Pikkolofløyte,Picc
296.5,296.75,81,A5,0.25,0,75,3.5,Pikkolofløyte,Picc
296.75,297.0,81,A5,0.25,0,75,3.75,Pikkolofløyte,Picc
297.0,297.25,81,A5,0.25,0,75,4.0,Pikkolofløyte,Picc
297.25,297.5,85,C#6,0.25,0,75,4.25,Pikkolofløyte,Picc
297.5,297.75,83,B5,0.25,0,75,4.5,Pikkolofløyte,Picc
297.75,298.0,81,A5,0.25,0,75,4.75,Pikkolofløyte,Picc
298.25,298.5,81,A5,0.25,0,76,1.25,Pikkolofløyte,Picc
298.5,298.75,81,A5,0.25,0,76,1.5,Pikkolofløyte,Picc
298.75,299.0,81,A5,0.25,0,76,1.75,Pikkolofløyte,Picc
299.0,299.25,81,A5,0.25,0,76,2.0,Pikkolofløyte,Picc
299.25,299.5,85,C#6,0.25,0,76,2.25,Pikkolofløyte,Picc
299.5,299.75,83,B5,0.25,0,76,2.5,Pikkolofløyte,Picc
299.75,300.0,81,A5,0.25,0,76,2.75,Pikkolofløyte,Picc
965.0,965.25,81,A5,0.25,0,242,4.0,Pikkolofløyte,Picc
965.25,965.5,82,B-5,0.25,0,242,4.25,Pikkolofløyte,Picc
965.5,965.75,83,B5,0.25,0,242,4.5,Pikkolofløyte,Picc
965.75,966.0,82,B-5,0.25,0,242,4.75,Pikkolofløyte,Picc
966.0,966.25,85,C#6,0.25,0,243,1.0,Pikkolofløyte,Picc
966.25,966.5,83,B5,0.25,0,243,1.25,Pikkolofløyte,Picc
966.5,967.0,83,B5,0.5,0,243,1.5,Pikkolofløyte,Picc
