Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
47.0,47.5,74,D5,0.5,0,12,4.0,Obo,Ob
47.0,48.0,71,B4,1.0,0,12,4.0,Obo,Ob
47.5,48.0,76,E5,0.5,0,12,4.5,Obo,Ob
48.0,51.5,78,F#5,3.5,0,13,1.0,Obo,Ob
48.0,51.5,64,E4,3.5,0,13,1.0,Obo,Ob
172.5,173.0,78,F#5,0.5,0,44,3.5,Obo,Ob
173.0,173.5,76,E5,0.5,0,44,4.0,Obo,Ob
173.5,174.0,74,D5,0.5,0,44,4.5,Obo,Ob
174.0,174.5,73,C#5,0.5,0,45,1.0,Obo,Ob
174.5,175.0,71,B4,0.5,0,45,1.5,Obo,Ob
175.0,175.5,69,A4,0.5,0,45,2.0,Obo,Ob
175.5,176.0,68,G#4,0.5,0,45,2.5,Obo,Ob
176.0,176.5,66,F#4,0.5,0,45,3.0,Obo,Ob
176.5,177.0,64,E4,0.5,0,45,3.5,Obo,Ob
177.0,177.5,62,D4,0.5,0,45,4.0,Obo,Ob
177.5,178.0,61,C#4,0.5,0,45,4.5,Obo,Ob
178.0,178.25,73,C#5,0.25,0,46,1.0,Obo,Ob
178.25,178.5,74,D5,0.25,0,46,1.25,Obo,Ob
178.5,178.75,73,C#5,0.25,0,46,1.5,Obo,Ob
178.75,179.0,74,D5,0.25,0,46,1.75,Obo,Ob
179.0,179.25,73,C#5,0.25,0,46,2.0,Obo,Ob
179.25,179.5,74,D5,0.25,0,46,2.25,Obo,Ob
179.5,179.75,73,C#5,0.25,0,46,2.5,Obo,Ob
179.75,180.0,74,D5,0.25,0,46,2.75,Obo,Ob
180.0,180.5,73,C#5,0.5,0,46,3.0,Obo,Ob
203.0,204.5,68,G#4,1.5,0,52,2.0,Obo,Ob
211.0,212.25,68,G#4,1.25,0,54,2.0,Obo,Ob
212.25,212.5,80,G#5,0.25,0,54,3.25,Obo,Ob
212.5,212.75,80,G#5,0.25,0,54,3.5,Obo,Ob
212.75,213.0,80,G#5,0.25,0,54,3.75,Obo,Ob
213.0,213.25,80,G#5,0.25,0,54,4.0,Obo,Ob
213.25,213.5,80,G#5,0.25,0,54,4.25,Obo,Ob
213.5,213.75,76,E5,0.25,0,54,4.5,Obo,Ob
213.75,214.0,76,E5,0.25,0,54,4.75,Obo,Ob
214.0,214.5,75,D#5,0.5,0,55,1.0,Obo,Ob
214.5,215.0,71,B4,0.5,0,55,1.5,Obo,Ob
215.0,215.5,71,B4,0.5,0,55,2.0,Obo,Ob
216.25,216.5,75,D#5,0.25,0,55,3.25,Obo,Ob
216.5,216.75,75,D#5,0.25,0,55,3.5,Obo,Ob
216.75,217.0,75,D#5,0.25,0,55,3.75,Obo,Ob
217.0,217.25,75,D#5,0.25,0,55,4.0,Obo,Ob
217.25,217.5,75,D#5,0.25,0,55,4.25,Obo,Ob
217.5,217.75,69,A4,0.25,0,55,4.5,Obo,Ob
217.75,218.0,69,A4,0.25,0,55,4.75,Obo,Ob
218.0,218.5,68,G#4,0.5,0,56,3.0,Obo,Ob
218.5,219.0,68,G#4,0.5,0,56,3.5,Obo,Ob
219.0,219.5,68,G#4,0.5,0,56,4.0,Obo,Ob
220.25,220.5,64,E4,0.25,0,56,1.25,Obo,Ob
220.25,220.5,71,B4,0.25,0,56,1.25,Obo,Ob
220.5,220.75,64,E4,0.25,0,56,1.5,Obo,Ob
220.5,220.75,71,B4,0.25,0,56,1.5,Obo,Ob
220.75,221.0,64,E4,0.25,0,56,1.75,Obo,Ob
220.75,221.0,71,B4,0.25,0,56,1.75,Obo,Ob
221.0,221.25,64,E4,0.25,0,56,2.0,Obo,Ob
221.0,221.25,71,B4,0.25,0,56,2.0,Obo,Ob
221.25,221.5,71,B4,0.25,0,56,2.25,Obo,Ob
221.25,221.5,80,G#5,0.25,0,56,2.25,Obo,Ob
221.5,221.75,68,G#4,0.25,0,56,2.5,Obo,Ob
221.5,221.75,76,E5,0.25,0,56,2.5,Obo,Ob
221.75,222.0,68,G#4,0.25,0,56,2.75,Obo,Ob
221.75,222.0,76,E5,0.25,0,56,2.75,Obo,Ob
222.0,222.5,67,F##4,0.5,0,57,1.0,Obo,Ob
222.0,222.5,75,D#5,0.5,0,57,1.0,Obo,Ob
222.5,223.0,69,A4,0.5,0,57,1.5,Obo,Ob
222.5,223.0,78,F#5,0.5,0,57,1.5,Obo,Ob
223.0,223.5,75,D#5,0.5,0,57,2.0,Obo,Ob
223.0,223.5,79,F##5,0.5,0,57,2.0,Obo,Ob
224.25,224.5,71,B4,0.25,0,57,3.25,Obo,Ob
224.25,224.5,79,F##5,0.25,0,57,3.25,Obo,Ob
224.5,224.75,71,B4,0.25,0,57,3.5,Obo,Ob
224.5,224.75,79,F##5,0.25,0,57,3.5,Obo,Ob
224.75,225.0,71,B4,0.25,0,57,3.75,Obo,Ob
224.75,225.0,79,F##5,0.25,0,57,3.75,Obo,Ob
225.0,225.25,71,B4,0.25,0,57,4.0,Obo,Ob
225.0,225.25,79,F##5,0.25,0,57,4.0,Obo,Ob
225.25,225.5,70,A#4,0.25,0,57,4.25,Obo,Ob
225.25,225.5,79,F##5,0.25,0,57,4.25,Obo,Ob
225.5,225.75,68,G#4,0.25,0,57,4.5,Obo,Ob
225.5,225.75,73,C#5,0.25,0,57,4.5,Obo,Ob
225.75,226.0,67,F##4,0.25,0,57,4.75,Obo,Ob
225.75,226.0,73,C#5,0.25,0,57,4.75,Obo,Ob
226.0,226.5,64,E4,0.5,0,58,1.0,Obo,Ob
226.0,226.5,71,B4,0.5,0,58,1.0,Obo,Ob
226.5,227.0,62,C##4,0.5,0,58,1.5,Obo,Ob
226.5,227.0,71,B4,0.5,0,58,1.5,Obo,Ob
227.0,227.5,63,D#4,0.5,0,58,2.0,Obo,Ob
227.0,227.5,71,B4,0.5,0,58,2.0,Obo,Ob
232.5,233.0,68,G#4,0.5,0,59,1.5,Obo,Ob
