Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
276.0,277.0,45,A2,1.0,0,70,3.0,Pauker,Timp
277.0,277.5,45,A2,0.5,0,70,4.0,Pauker,Timp
280.0,281.0,45,A2,1.0,0,71,3.0,Pauker,Timp
281.0,281.5,45,A2,0.5,0,71,4.0,Pauker,Timp
284.0,285.0,45,A2,1.0,0,72,3.0,Pauker,Timp
285.0,285.5,45,A2,0.5,0,72,4.0,Pauker,Timp
286.0,287.0,52,E3,1.0,0,73,1.0,Pauker,Timp
287.0,287.5,52,E3,0.5,0,73,2.0,Pauker,Timp
288.0,289.0,45,A2,1.0,0,73,3.0,Pauker,Timp
289.0,289.5,45,A2,0.5,0,73,4.0,Pauker,Timp
290.0,291.0,52,E3,1.0,0,74,1.0,Pauker,Timp
291.0,291.5,52,E3,0.5,0,74,2.0,Pauker,Timp
292.0,292.5,45,A2,0.5,0,74,3.0,Pauker,Timp
293.0,293.5,52,E3,0.5,0,74,4.0,Pauker,Timp
294.0,294.5,45,A2,0.5,0,75,1.0,Pauker,Timp
295.0,295.5,52,E3,0.5,0,75,2.0,Pauker,Timp
296.0,296.5,52,E3,0.5,0,75,3.0,Pauker,Timp
297.0,297.5,51,E-3,0.5,0,75,4.0,Pauker,Timp
298.0,298.5,52,E3,0.5,0,76,1.0,Pauker,Timp
299.0,299.5,51,E-3,0.5,0,76,2.0,Pauker,Timp
532.0,534.0,50,D3,2.0,0,134,3.0,Pauker,Timp
534.0,534.5,50,D3,0.5,0,135,1.0,Pauker,Timp
536.0,538.0,50,D3,2.0,0,135,3.0,Pauker,Timp
538.0,538.5,50,D3,0.5,0,136,1.0,Pauker,Timp
548.0,550.0,50,D3,2.0,0,138,3.0,Pauker,Timp
550.0,550.5,50,D3,0.5,0,139,1.0,Pauker,Timp
552.0,554.0,50,D3,2.0,0,139,3.0,Pauker,Timp
554.0,554.5,50,D3,0.5,0,140,1.0,Pauker,Timp
564.0,566.0,50,D3,2.0,0,142,3.0,Pauker,Timp
566.0,570.0,50,D3,4.0,0,143,1.0,Pauker,Timp
570.0,574.0,50,D3,4.0,0,144,1.0,Pauker,Timp
574.0,578.0,50,D3,4.0,0,145,1.0,Pauker,Timp
578.0,582.0,50,D3,4.0,0,146,1.0,Pauker,Timp
582.0,586.0,50,D3,4.0,0,147,1.0,Pauker,Timp
586.0,590.0,50,D3,4.0,0,148,1.0,Pauker,Timp
590.0,594.0,50,D3,4.0,0,149,1.0,Pauker,Timp
