Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
265.0,265.5,54,F#3,0.5,0,67,4.0,Basstrombone,Trb
265.5,266.0,58,A#3,0.5,0,67,4.5,Basstrombone,Trb
266.0,267.0,58,A#3,1.0,0,68,1.0,Basstrombone,Trb
267.0,268.0,53,E#3,1.0,0,68,2.0,Basstrombone,Trb
268.0,269.5,54,F#3,1.5,0,68,3.0,Basstrombone,Trb
273.0,273.5,57,A3,0.5,0,69,4.0,Basstrombone,Trb
273.5,274.0,61,C#4,0.5,0,69,4.5,Basstrombone,Trb
274.0,275.0,61,C#4,1.0,0,70,1.0,Basstrombone,Trb
275.0,276.0,56,G#3,1.0,0,70,2.0,Basstrombone,Trb
276.0,277.5,57,A3,1.5,0,70,3.0,Basstrombone,Trb
280.0,281.5,57,A3,1.5,0,71,3.0,Basstrombone,Trb
284.0,285.5,57,A3,1.5,0,72,3.0,Basstrombone,Trb
286.0,287.5,52,E3,1.5,0,73,1.0,Basstrombone,Trb
288.0,289.5,57,A3,1.5,0,73,3.0,Basstrombone,Trb
290.0,291.5,52,E3,1.5,0,74,1.0,Basstrombone,Trb
292.0,293.0,53,F3,1.0,0,74,3.0,Basstrombone,Trb
293.0,293.5,52,E3,0.5,0,74,4.0,Basstrombone,Trb
294.0,295.0,53,F3,1.0,0,75,1.0,Basstrombone,Trb
295.0,295.5,52,E3,0.5,0,75,2.0,Basstrombone,Trb
296.0,297.0,52,E3,1.0,0,75,3.0,Basstrombone,Trb
297.0,297.5,51,E-3,0.5,0,75,4.0,Basstrombone,Trb
298.0,299.0,52,E3,1.0,0,76,1.0,Basstrombone,Trb
299.0,299.5,51,E-3,0.5,0,76,2.0,Basstrombone,Trb
300.0,301.0,52,E3,1.0,0,76,3.0,Basstrombone,Trb
301.0,301.5,51,E-3,0.5,0,76,4.0,Basstrombone,Trb
302.0,303.0,52,E3,1.0,0,77,1.0,Basstrombone,Trb
