Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
264.5,264.75,58,A#3,0.25,0,67,1.5,Alttrombone,Trb
264.75,265.0,58,A#3,0.25,0,67,1.75,Alttrombone,Trb
265.0,265.5,63,D#4,0.5,0,67,2.0,Alttrombone,Trb
265.0,265.5,58,A#3,0.5,0,67,2.0,Alttrombone,Trb
265.5,266.0,65,E#4,0.5,0,67,2.5,Alttrombone,Trb
265.5,266.0,62,C##4,0.5,0,67,2.5,Alttrombone,Trb
266.0,267.0,66,F#4,1.0,0,68,3.0,Alttrombone,Trb
266.0,267.0,63,D#4,1.0,0,68,3.0,Alttrombone,Trb
267.0,268.0,65,E#4,1.0,0,68,4.0,Alttrombone,Trb
267.0,268.0,62,C##4,1.0,0,68,4.0,Alttrombone,Trb
268.0,268.5,66,F#4,0.5,0,68,1.0,Alttrombone,Trb
268.0,268.5,61,C4,0.5,0,68,1.0,Alttrombone,Trb
272.5,272.75,61,C#4,0.25,0,69,1.5,Alttrombone,Trb
272.75,273.0,61,C#4,0.25,0,69,1.75,Alttrombone,Trb
273.0,273.5,66,F#4,0.5,0,69,2.0,Alttrombone,Trb
273.0,273.5,61,C#4,0.5,0,69,2.0,Alttrombone,Trb
273.5,274.0,68,G#4,0.5,0,69,2.5,Alttrombone,Trb
273.5,274.0,65,E#4,0.5,0,69,2.5,Alttrombone,Trb
274.0,275.0,69,A4,1.0,0,70,3.0,Alttrombone,Trb
274.0,275.0,66,F#4,1.0,0,70,3.0,Alttrombone,Trb
275.0,276.0,68,G#4,1.0,0,70,4.0,Alttrombone,Trb
275.0,276.0,65,E#4,1.0,0,70,4.0,Alttrombone,Trb
276.0,276.5,69,A4,0.5,0,70,1.0,Alttrombone,Trb
276.0,276.5,64,E4,0.5,0,70,1.0,Alttrombone,Trb
278.0,279.0,69,A4,1.0,0,71,3.0,Alttrombone,Trb
279.0,280.0,60,C4,1.0,0,71,4.0,Alttrombone,Trb
278.5,279.5,64,E4,1.0,0,71,3.5,Alttrombone,Trb
279.5,280.0,57,A3,0.5,0,71,4.5,Alttrombone,Trb
282.0,283.0,69,A4,1.0,0,72,3.0,Alttrombone,Trb
283.0,284.0,60,C4,1.0,0,72,4.0,Alttrombone,Trb
282.5,283.5,64,E4,1.0,0,72,3.5,Alttrombone,Trb
283.5,284.0,57,A3,0.5,0,72,4.5,Alttrombone,Trb
286.0,287.5,57,A3,1.5,0,73,1.0,Alttrombone,Trb
286.0,287.5,60,C4,1.5,0,73,1.0,Alttrombone,Trb
290.0,291.5,57,A3,1.5,0,74,1.0,Alttrombone,Trb
290.0,291.5,60,C4,1.5,0,74,1.0,Alttrombone,Trb
292.0,293.5,57,A3,1.5,0,74,3.0,Alttrombone,Trb
292.0,293.5,60,C4,1.5,0,74,3.0,Alttrombone,Trb
294.0,295.5,57,A3,1.5,0,75,1.0,Alttrombone,Trb
294.0,295.5,60,C4,1.5,0,75,1.0,Alttrombone,Trb
296.0,297.5,55,G3,1.5,0,75,3.0,Alttrombone,Trb
296.0,297.5,57,A3,1.5,0,75,3.0,Alttrombone,Trb
298.0,299.5,55,G3,1.5,0,76,1.0,Alttrombone,Trb
298.0,299.5,57,A3,1.5,0,76,1.0,Alttrombone,Trb
300.0,301.5,55,G3,1.5,0,76,3.0,Alttrombone,Trb
300.0,301.5,57,A3,1.5,0,76,3.0,Alttrombone,Trb
302.0,303.5,55,G3,1.5,0,77,1.0,Alttrombone,Trb
302.0,303.5,57,A3,1.5,0,77,1.0,Alttrombone,Trb
313.0,315.5,49,C#3,2.5,0,79,4.0,Alttrombone,Trb
313.0,315.5,55,G3,2.5,0,79,4.0,Alttrombone,Trb
320.0,324.0,49,C#3,4.0,0,81,3.0,Alttrombone,Trb
324.0,328.5,50,D3,4.5,0,82,3.0,Alttrombone,Trb
415.0,416.0,54,F#3,1.0,0,105,4.0,Alttrombone,Trb
416.0,417.0,56,G#3,1.0,0,105,1.0,Alttrombone,Trb
417.0,418.0,58,A#3,1.0,0,105,2.0,Alttrombone,Trb
418.0,419.0,59,B3,1.0,0,106,3.0,Alttrombone,Trb
419.0,420.0,49,C#3,1.0,0,106,4.0,Alttrombone,Trb
420.0,421.0,50,D3,1.0,0,106,1.0,Alttrombone,Trb
421.0,422.0,52,E3,1.0,0,106,2.0,Alttrombone,Trb
422.0,423.0,53,E#3,1.0,0,107,3.0,Alttrombone,Trb
423.0,424.0,54,F#3,1.0,0,107,4.0,Alttrombone,Trb
424.0,425.0,55,G3,1.0,0,107,1.0,Alttrombone,Trb
425.0,426.0,56,G#3,1.0,0,107,2.0,Alttrombone,Trb
426.0,427.0,57,A3,1.0,0,108,3.0,Alttrombone,Trb
427.0,428.0,59,B3,1.0,0,108,4.0,Alttrombone,Trb
428.0,429.0,60,C4,1.0,0,108,1.0,Alttrombone,Trb
429.0,430.0,61,C#4,1.0,0,108,2.0,Alttrombone,Trb
451.0,452.0,56,G#3,1.0,0,114,4.0,Alttrombone,Trb
452.0,453.0,57,A3,1.0,0,114,1.0,Alttrombone,Trb
453.0,454.0,59,B3,1.0,0,114,2.0,Alttrombone,Trb
454.0,455.0,60,B#3,1.0,0,115,3.0,Alttrombone,Trb
455.0,456.0,61,C#4,1.0,0,115,4.0,Alttrombone,Trb
456.0,457.0,50,D3,1.0,0,115,1.0,Alttrombone,Trb
457.0,458.0,51,D#3,1.0,0,115,2.0,Alttrombone,Trb
458.0,459.0,52,E3,1.0,0,116,3.0,Alttrombone,Trb
459.0,460.0,54,F#3,1.0,0,116,4.0,Alttrombone,Trb
460.0,461.0,55,G3,1.0,0,116,1.0,Alttrombone,Trb
461.0,462.0,56,G#3,1.0,0,116,2.0,Alttrombone,Trb
532.0,533.0,54,F#3,1.0,0,134,3.0,Alttrombone,Trb
533.0,533.5,55,G3,0.5,0,134,4.0,Alttrombone,Trb
533.5,534.0,57,A3,0.5,0,134,4.5,Alttrombone,Trb
534.0,534.5,47,B2,0.5,0,135,1.0,Alttrombone,Trb
536.0,537.0,52,E3,1.0,0,135,3.0,Alttrombone,Trb
537.0,537.5,54,F#3,0.5,0,135,4.0,Alttrombone,Trb
537.5,538.0,55,G3,0.5,0,135,4.5,Alttrombone,Trb
538.0,538.5,54,F#3,0.5,0,136,1.0,Alttrombone,Trb
544.0,545.0,51,D#3,1.0,0,137,3.0,Alttrombone,Trb
545.0,545.5,52,E3,0.5,0,137,4.0,Alttrombone,Trb
548.0,549.0,54,F#3,1.0,0,138,3.0,Alttrombone,Trb
549.0,549.5,55,G3,0.5,0,138,4.0,Alttrombone,Trb
549.5,550.0,57,A3,0.5,0,138,4.5,Alttrombone,Trb
550.0,550.5,47,B2,0.5,0,139,1.0,Alttrombone,Trb
552.0,553.0,52,E3,1.0,0,139,3.0,Alttrombone,Trb
553.0,553.5,54,F#3,0.5,0,139,4.0,Alttrombone,Trb
553.5,554.0,55,G3,0.5,0,139,4.5,Alttrombone,Trb
554.0,554.5,54,F#3,0.5,0,140,1.0,Alttrombone,Trb
560.0,561.0,51,D#3,1.0,0,141,3.0,Alttrombone,Trb
