Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
15.0,15.5,52,E3,0.5,0,4,4.0,Bratsjer,Str
15.5,16.0,54,F#3,0.5,0,4,4.5,Bratsjer,Str
16.0,18.0,55,G3,2.0,0,5,1.0,Bratsjer,Str
18.0,20.5,54,F#3,2.5,0,5,3.0,Bratsjer,Str
39.0,39.5,50,D3,0.5,0,10,4.0,Bratsjer,Str
39.5,40.0,52,E3,0.5,0,10,4.5,Bratsjer,Str
40.0,44.5,54,F#3,4.5,0,11,1.0,Bratsjer,Str
48.0,50.0,74,D5,2.0,0,13,1.0,Bratsjer,Str
50.0,51.5,73,C#5,1.5,0,13,3.0,Bratsjer,Str
56.0,58.0,62,D4,2.0,0,15,1.0,Bratsjer,Str
58.0,59.0,61,C#4,1.0,0,15,3.0,Bratsjer,Str
59.0,59.75,59,B3,0.75,0,15,4.0,Bratsjer,Str
59.75,60.0,57,A3,0.25,0,15,4.75,Bratsjer,Str
60.0,62.0,55,G3,2.0,0,16,1.0,Bratsjer,Str
62.0,63.0,54,F#3,1.0,0,16,3.0,Bratsjer,Str
63.0,63.75,52,E3,0.75,0,16,4.0,Bratsjer,Str
63.75,64.0,50,D3,0.25,0,16,4.75,Bratsjer,Str
64.0,66.5,50,D3,2.5,0,17,1.0,Bratsjer,Str
66.5,67.0,49,C#3,0.5,0,17,3.5,Bratsjer,Str
67.0,67.5,52,E3,0.5,0,17,4.0,Bratsjer,Str
67.5,68.0,50,D3,0.5,0,17,4.5,Bratsjer,Str
68.0,70.5,49,C#3,2.5,0,18,1.0,Bratsjer,Str
75.0,75.5,71,B4,0.5,0,19,4.0,Bratsjer,Str
75.5,76.0,73,C#5,0.5,0,19,4.5,Bratsjer,Str
76.0,77.0,74,D5,1.0,0,20,1.0,Bratsjer,Str
77.0,77.5,73,C#5,0.5,0,20,2.0,Bratsjer,Str
79.0,79.25,71,B4,0.25,0,20,4.0,Bratsjer,Str
79.25,79.5,76,E5,0.25,0,20,4.25,Bratsjer,Str
79.5,79.75,74,D5,0.25,0,20,4.5,Bratsjer,Str
79.75,80.0,71,B4,0.25,0,20,4.75,Bratsjer,Str
80.0,81.0,74,D5,1.0,0,21,1.0,Bratsjer,Str
81.0,81.5,73,C#5,0.5,0,21,2.0,Bratsjer,Str
83.0,83.25,78,F#5,0.25,0,21,4.0,Bratsjer,Str
83.25,83.5,76,E5,0.25,0,21,4.25,Bratsjer,Str
83.5,83.75,76,E5,0.25,0,21,4.5,Bratsjer,Str
83.75,84.0,76,E5,0.25,0,21,4.75,Bratsjer,Str
84.0,84.25,79,G5,0.25,0,22,1.0,Bratsjer,Str
84.25,84.5,78,F#5,0.25,0,22,1.25,Bratsjer,Str
84.5,84.75,78,F#5,0.25,0,22,1.5,Bratsjer,Str
84.75,85.0,78,F#5,0.25,0,22,1.75,Bratsjer,Str
85.0,85.25,71,B4,0.25,0,22,2.0,Bratsjer,Str
85.25,85.5,70,A#4,0.25,0,22,2.25,Bratsjer,Str
85.5,85.75,70,A#4,0.25,0,22,2.5,Bratsjer,Str
85.75,86.0,70,A#4,0.25,0,22,2.75,Bratsjer,Str
86.0,86.25,73,C#5,0.25,0,22,3.0,Bratsjer,Str
86.25,86.5,71,B4,0.25,0,22,3.25,Bratsjer,Str
86.5,86.75,71,B4,0.25,0,22,3.5,Bratsjer,Str
86.75,87.0,71,B4,0.25,0,22,3.75,Bratsjer,Str
87.0,87.25,66,F#4,0.25,0,22,4.0,Bratsjer,Str
87.25,87.5,64,E4,0.25,0,22,4.25,Bratsjer,Str
87.5,87.75,64,E4,0.25,0,22,4.5,Bratsjer,Str
87.75,88.0,64,E4,0.25,0,22,4.75,Bratsjer,Str
88.0,88.25,67,G4,0.25,0,23,1.0,Bratsjer,Str
88.25,88.5,66,F#4,0.25,0,23,1.25,Bratsjer,Str
88.5,88.75,64,E4,0.25,0,23,1.5,Bratsjer,Str
88.75,89.0,62,D4,0.25,0,23,1.75,Bratsjer,Str
89.0,89.25,61,C#4,0.25,0,23,2.0,Bratsjer,Str
89.25,89.5,62,D4,0.25,0,23,2.25,Bratsjer,Str
89.5,89.75,61,C#4,0.25,0,23,2.5,Bratsjer,Str
89.75,90.0,59,B3,0.25,0,23,2.75,Bratsjer,Str
90.0,90.5,58,A#3,0.5,0,23,3.0,Bratsjer,Str
107.0,107.25,76,E5,0.25,0,27,4.0,Bratsjer,Str
107.25,107.5,74,D5,0.25,0,27,4.25,Bratsjer,Str
107.5,107.75,73,C#5,0.25,0,27,4.5,Bratsjer,Str
107.75,108.0,71,B4,0.25,0,27,4.75,Bratsjer,Str
108.0,108.25,69,A4,0.25,0,28,1.0,Bratsjer,Str
108.25,108.5,67,G4,0.25,0,28,1.25,Bratsjer,Str
108.5,108.75,66,F#4,0.25,0,28,1.5,Bratsjer,Str
108.75,109.0,64,E4,0.25,0,28,1.75,Bratsjer,Str
117.0,118.0,52,E3,1.0,0,30,2.0,Bratsjer,Str
118.0,119.0,54,F#3,1.0,0,31,1.0,Bratsjer,Str
119.0,119.5,55,G3,0.5,0,31,2.0,Bratsjer,Str
121.0,121.5,52,E3,0.5,0,31,4.0,Bratsjer,Str
121.5,122.0,53,E#3,0.5,0,31,4.5,Bratsjer,Str
122.0,123.0,54,F#3,1.0,0,32,1.0,Bratsjer,Str
123.0,123.5,55,G3,0.5,0,32,2.0,Bratsjer,Str
125.0,125.25,50,D3,0.25,0,32,4.0,Bratsjer,Str
125.25,125.5,50,D3,0.25,0,32,4.25,Bratsjer,Str
125.5,125.75,50,D3,0.25,0,32,4.5,Bratsjer,Str
125.75,126.0,50,D3,0.25,0,32,4.75,Bratsjer,Str
126.0,126.25,50,D3,0.25,0,33,1.0,Bratsjer,Str
126.25,126.5,50,D3,0.25,0,33,1.25,Bratsjer,Str
126.5,126.75,50,D3,0.25,0,33,1.5,Bratsjer,Str
126.75,127.0,50,D3,0.25,0,33,1.75,Bratsjer,Str
127.0,127.25,50,D3,0.25,0,33,2.0,Bratsjer,Str
127.25,127.5,49,C#3,0.25,0,33,2.25,Bratsjer,Str
127.5,127.75,50,D3,0.25,0,33,2.5,Bratsjer,Str
127.75,128.0,52,E3,0.25,0,33,2.75,Bratsjer,Str
128.0,128.25,55,G3,0.25,0,33,3.0,Bratsjer,Str
128.25,128.5,53,F3,0.25,0,33,3.25,Bratsjer,Str
128.5,128.75,52,E3,0.25,0,33,3.5,Bratsjer,Str
128.75,129.0,50,D3,0.25,0,33,3.75,Bratsjer,Str
129.0,129.25,50,D3,0.25,0,33,4.0,Bratsjer,Str
129.25,129.5,50,D3,0.25,0,33,4.25,Bratsjer,Str
129.5,129.75,50,D3,0.25,0,33,4.5,Bratsjer,Str
129.75,130.0,50,D3,0.25,0,33,4.75,Bratsjer,Str
130.0,130.25,50,D3,0.25,0,34,1.0,Bratsjer,Str
130.25,130.5,50,D3,0.25,0,34,1.25,Bratsjer,Str
130.5,130.75,50,D3,0.25,0,34,1.5,Bratsjer,Str
130.75,131.0,50,D3,0.25,0,34,1.75,Bratsjer,Str
131.0,131.25,50,D3,0.25,0,34,2.0,Bratsjer,Str
131.25,131.5,49,C#3,0.25,0,34,2.25,Bratsjer,Str
131.5,131.75,50,D3,0.25,0,34,2.5,Bratsjer,Str
131.75,132.0,52,E3,0.25,0,34,2.75,Bratsjer,Str
132.0,132.25,55,G3,0.25,0,34,3.0,Bratsjer,Str
132.25,132.5,53,F3,0.25,0,34,3.25,Bratsjer,Str
132.5,132.75,52,E3,0.25,0,34,3.5,Bratsjer,Str
132.75,133.0,50,D3,0.25,0,34,3.75,Bratsjer,Str
133.0,133.5,50,D3,0.5,0,34,4.0,Bratsjer,Str
133.5,134.0,49,D-3,0.5,0,34,4.5,Bratsjer,Str
134.0,134.5,48,C3,0.5,0,35,1.0,Bratsjer,Str
135.0,135.25,50,D3,0.25,0,35,2.0,Bratsjer,Str
135.25,135.5,50,D3,0.25,0,35,2.25,Bratsjer,Str
135.5,135.75,49,D-3,0.25,0,35,2.5,Bratsjer,Str
135.75,136.0,49,D-3,0.25,0,35,2.75,Bratsjer,Str
136.0,136.5,48,C3,0.5,0,35,3.0,Bratsjer,Str
137.0,137.5,53,F3,0.5,0,35,4.0,Bratsjer,Str
137.5,138.0,52,E3,0.5,0,35,4.5,Bratsjer,Str
138.0,138.5,51,D#3,0.5,0,36,1.0,Bratsjer,Str
139.0,139.25,53,E#3,0.25,0,36,2.0,Bratsjer,Str
139.25,139.5,53,E#3,0.25,0,36,2.25,Bratsjer,Str
