Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
117.0,117.5,59,B3,0.5,0,30,2.0,Fioliner,Str
117.5,118.0,61,C#4,0.5,0,30,2.5,Fioliner,Str
118.0,119.0,62,D4,1.0,0,31,1.0,Fioliner,Str
119.0,119.5,61,C#4,0.5,0,31,2.0,Fioliner,Str
121.0,121.25,59,B3,0.25,0,31,4.0,Fioliner,Str
121.25,121.5,64,E4,0.25,0,31,4.25,Fioliner,Str
121.5,121.75,62,D4,0.25,0,31,4.5,Fioliner,Str
121.75,122.0,59,B3,0.25,0,31,4.75,Fioliner,Str
122.0,123.0,62,D4,1.0,0,32,1.0,Fioliner,Str
123.0,123.5,61,C#4,0.5,0,32,2.0,Fioliner,Str
125.0,125.5,62,D4,0.5,0,32,4.0,Fioliner,Str
125.5,126.0,64,E4,0.5,0,32,4.5,Fioliner,Str
126.0,127.0,65,F4,1.0,0,33,1.0,Fioliner,Str
127.0,127.5,64,E4,0.5,0,33,2.0,Fioliner,Str
129.0,129.25,62,D4,0.25,0,33,4.0,Fioliner,Str
129.25,129.5,67,G4,0.25,0,33,4.25,Fioliner,Str
129.5,129.75,65,F4,0.25,0,33,4.5,Fioliner,Str
129.75,130.0,62,D4,0.25,0,33,4.75,Fioliner,Str
130.0,131.0,65,F4,1.0,0,34,1.0,Fioliner,Str
131.0,131.5,64,E4,0.5,0,34,2.0,Fioliner,Str
133.0,133.5,58,B-3,0.5,0,34,4.0,Fioliner,Str
133.0,133.5,65,F4,0.5,0,34,4.0,Fioliner,Str
133.5,134.0,59,B3,0.5,0,34,4.5,Fioliner,Str
133.5,134.0,67,G4,0.5,0,34,4.5,Fioliner,Str
134.0,134.5,68,A-4,0.5,0,35,3.0,Fioliner,Str
134.0,134.5,60,C4,0.5,0,35,3.0,Fioliner,Str
134.5,135.0,67,G4,0.5,0,35,3.5,Fioliner,Str
135.0,135.25,65,F4,0.25,0,35,4.0,Fioliner,Str
135.0,135.25,58,B-3,0.25,0,35,4.0,Fioliner,Str
135.25,135.5,70,B-4,0.25,0,35,4.25,Fioliner,Str
135.25,135.5,58,B-3,0.25,0,35,4.25,Fioliner,Str
135.5,135.75,68,A-4,0.25,0,35,4.5,Fioliner,Str
135.5,135.75,59,B3,0.25,0,35,4.5,Fioliner,Str
135.75,136.0,65,F4,0.25,0,35,4.75,Fioliner,Str
135.75,136.0,59,B3,0.25,0,35,4.75,Fioliner,Str
136.0,136.5,68,A-4,0.5,0,35,1.0,Fioliner,Str
136.0,136.5,60,C4,0.5,0,35,1.0,Fioliner,Str
136.5,137.0,67,G4,0.5,0,35,1.5,Fioliner,Str
