Onset,Offset,MIDI_number,Pitch_ame,Duration,Staff,Measure,Beat_in_measure,Instrument_name,Instrument_abbr
148.0,148.5,86,D6,0.5,0,38,3.0,Fioliner,Str
148.0,148.5,90,F#6,0.5,0,38,3.0,Fioliner,Str
152.0,154.25,73,C#5,2.25,0,39,3.0,Fioliner,Str
152.0,154.25,76,E5,2.25,0,39,3.0,Fioliner,Str
154.25,154.5,73,C#5,0.25,0,40,1.25,Fioliner,Str
154.25,154.5,76,E5,0.25,0,40,1.25,Fioliner,Str
154.5,154.75,71,B4,0.25,0,40,1.5,Fioliner,Str
154.5,154.75,74,D5,0.25,0,40,1.5,Fioliner,Str
154.75,155.0,69,A4,0.25,0,40,1.75,Fioliner,Str
154.75,155.0,73,C#5,0.25,0,40,1.75,Fioliner,Str
155.0,155.25,67,G4,0.25,0,40,2.0,Fioliner,Str
155.0,155.25,71,B4,0.25,0,40,2.0,Fioliner,Str
155.25,155.5,66,F#4,0.25,0,40,2.25,Fioliner,Str
155.25,155.5,69,A4,0.25,0,40,2.25,Fioliner,Str
155.5,155.75,64,E4,0.25,0,40,2.5,Fioliner,Str
155.5,155.75,67,G4,0.25,0,40,2.5,Fioliner,Str
155.75,156.0,62,D4,0.25,0,40,2.75,Fioliner,Str
155.75,156.0,66,F#4,0.25,0,40,2.75,Fioliner,Str
156.0,156.5,61,C#4,0.5,0,40,3.0,Fioliner,Str
156.0,156.5,64,E4,0.5,0,40,3.0,Fioliner,Str
164.5,164.75,58,A#3,0.25,0,42,3.5,Fioliner,Str
164.75,165.0,58,A#3,0.25,0,42,3.75,Fioliner,Str
165.0,165.5,59,B3,0.5,0,42,4.0,Fioliner,Str
165.5,166.0,58,A#3,0.5,0,42,4.5,Fioliner,Str
166.0,166.5,59,B3,0.5,0,43,1.0,Fioliner,Str
166.5,166.75,64,E4,0.25,0,43,1.5,Fioliner,Str
166.75,167.0,64,E4,0.25,0,43,1.75,Fioliner,Str
167.0,167.5,66,F#4,0.5,0,43,2.0,Fioliner,Str
167.5,168.0,61,C#4,0.5,0,43,2.5,Fioliner,Str
168.0,168.5,62,D4,0.5,0,43,3.0,Fioliner,Str
168.5,168.75,57,A3,0.25,0,43,3.5,Fioliner,Str
168.75,169.0,57,A3,0.25,0,43,3.75,Fioliner,Str
169.0,169.5,59,B3,0.5,0,43,4.0,Fioliner,Str
169.5,170.0,55,G3,0.5,0,43,4.5,Fioliner,Str
170.25,170.5,56,G#3,0.25,0,44,1.25,Fioliner,Str
170.5,170.75,57,A3,0.25,0,44,1.5,Fioliner,Str
170.75,171.0,56,G#3,0.25,0,44,1.75,Fioliner,Str
171.0,171.25,57,A3,0.25,0,44,2.0,Fioliner,Str
171.25,171.5,56,G#3,0.25,0,44,2.25,Fioliner,Str
171.5,171.75,57,A3,0.25,0,44,2.5,Fioliner,Str
171.75,172.0,56,G#3,0.25,0,44,2.75,Fioliner,Str
172.0,172.5,57,A3,0.5,0,44,3.0,Fioliner,Str
177.5,178.0,56,G#3,0.5,0,45,4.5,Fioliner,Str
178.0,178.25,57,A3,0.25,0,46,1.0,Fioliner,Str
178.25,178.5,56,G#3,0.25,0,46,1.25,Fioliner,Str
178.5,178.75,57,A3,0.25,0,46,1.5,Fioliner,Str
178.75,179.0,56,G#3,0.25,0,46,1.75,Fioliner,Str
179.0,179.25,57,A3,0.25,0,46,2.0,Fioliner,Str
179.25,179.5,56,G#3,0.25,0,46,2.25,Fioliner,Str
179.5,179.75,57,A3,0.25,0,46,2.5,Fioliner,Str
179.75,180.0,56,G#3,0.25,0,46,2.75,Fioliner,Str
180.0,180.5,57,A3,0.5,0,46,3.0,Fioliner,Str
180.5,180.75,65,E#4,0.25,0,46,3.5,Fioliner,Str
180.75,181.0,65,E#4,0.25,0,46,3.75,Fioliner,Str
181.0,181.5,66,F#4,0.5,0,46,4.0,Fioliner,Str
181.5,182.0,65,E#4,0.5,0,46,4.5,Fioliner,Str
182.0,182.5,66,F#4,0.5,0,47,1.0,Fioliner,Str
182.5,182.75,71,B4,0.25,0,47,1.5,Fioliner,Str
182.75,183.0,71,B4,0.25,0,47,1.75,Fioliner,Str
183.0,183.5,73,C#5,0.5,0,47,2.0,Fioliner,Str
183.5,184.0,68,G#4,0.5,0,47,2.5,Fioliner,Str
184.0,184.5,69,A4,0.5,0,47,3.0,Fioliner,Str
184.5,184.75,64,E4,0.25,0,47,3.5,Fioliner,Str
184.75,185.0,64,E4,0.25,0,47,3.75,Fioliner,Str
185.0,185.5,66,F#4,0.5,0,47,4.0,Fioliner,Str
185.5,186.0,62,D4,0.5,0,47,4.5,Fioliner,Str
186.25,186.5,63,D#4,0.25,0,48,1.25,Fioliner,Str
186.5,186.75,61,C#4,0.25,0,48,1.5,Fioliner,Str
186.75,187.0,63,D#4,0.25,0,48,1.75,Fioliner,Str
187.0,187.25,61,C#4,0.25,0,48,2.0,Fioliner,Str
187.25,187.5,63,D#4,0.25,0,48,2.25,Fioliner,Str
187.5,187.75,61,C#4,0.25,0,48,2.5,Fioliner,Str
187.75,188.0,63,D#4,0.25,0,48,2.75,Fioliner,Str
188.0,188.5,61,C#4,0.5,0,48,3.0,Fioliner,Str
188.5,188.75,61,C#4,0.25,0,48,3.5,Fioliner,Str
188.75,189.0,61,C#4,0.25,0,48,3.75,Fioliner,Str
189.0,189.5,61,C#4,0.5,0,48,4.0,Fioliner,Str
189.5,190.0,61,C#4,0.5,0,48,4.5,Fioliner,Str
190.0,190.5,61,C#4,0.5,0,49,1.0,Fioliner,Str
191.0,191.5,68,G#4,0.5,0,49,2.0,Fioliner,Str
192.0,192.5,64,E4,0.5,0,49,3.0,Fioliner,Str
193.0,193.5,61,C#4,0.5,0,49,4.0,Fioliner,Str
193.5,194.0,63,D#4,0.5,0,49,4.5,Fioliner,Str
194.0,194.25,64,E4,0.25,0,50,1.0,Fioliner,Str
194.25,194.5,63,D#4,0.25,0,50,1.25,Fioliner,Str
194.5,194.75,64,E4,0.25,0,50,1.5,Fioliner,Str
194.75,195.0,63,D#4,0.25,0,50,1.75,Fioliner,Str
195.0,195.25,64,E4,0.25,0,50,2.0,Fioliner,Str
195.25,195.5,63,D#4,0.25,0,50,2.25,Fioliner,Str
195.5,195.75,64,E4,0.25,0,50,2.5,Fioliner,Str
195.75,196.0,63,D#4,0.25,0,50,2.75,Fioliner,Str
196.0,196.25,64,E4,0.25,0,50,3.0,Fioliner,Str
196.25,196.5,80,G#5,0.25,0,50,3.25,Fioliner,Str
196.5,196.75,80,G#5,0.25,0,50,3.5,Fioliner,Str
196.75,197.0,80,G#5,0.25,0,50,3.75,Fioliner,Str
197.0,197.25,80,G#5,0.25,0,50,4.0,Fioliner,Str
197.25,197.5,80,G#5,0.25,0,50,4.25,Fioliner,Str
197.5,197.75,80,G#5,0.25,0,50,4.5,Fioliner,Str
197.75,198.0,80,G#5,0.25,0,50,4.75,Fioliner,Str
198.0,198.25,78,F#5,0.25,0,51,1.0,Fioliner,Str
198.25,198.5,78,F#5,0.25,0,51,1.25,Fioliner,Str
198.5,198.75,75,D#5,0.25,0,51,1.5,Fioliner,Str
198.75,199.0,75,D#5,0.25,0,51,1.75,Fioliner,Str
199.0,199.25,72,B#4,0.25,0,51,2.0,Fioliner,Str
199.25,199.5,72,B#4,0.25,0,51,2.25,Fioliner,Str
199.5,199.75,66,F#4,0.25,0,51,2.5,Fioliner,Str
199.75,200.0,66,F#4,0.25,0,51,2.75,Fioliner,Str
200.0,200.5,64,E4,0.5,0,51,3.0,Fioliner,Str
204.25,204.5,80,G#5,0.25,0,52,3.25,Fioliner,Str
204.5,204.75,80,G#5,0.25,0,52,3.5,Fioliner,Str
204.75,205.0,80,G#5,0.25,0,52,3.75,Fioliner,Str
205.0,205.25,80,G#5,0.25,0,52,4.0,Fioliner,Str
205.25,205.5,80,G#5,0.25,0,52,4.25,Fioliner,Str
205.5,205.75,80,G#5,0.25,0,52,4.5,Fioliner,Str
205.75,206.0,80,G#5,0.25,0,52,4.75,Fioliner,Str
206.0,206.25,78,F#5,0.25,0,53,1.0,Fioliner,Str
