onset,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
265.0,265.5,63,D#4,0.5,0,67,4.0,trombone1
265.5,266.0,65,E#4,0.5,0,67,4.5,trombone1
266.0,267.0,66,F#4,1.0,0,68,1.0,trombone1
267.0,268.0,65,E#4,1.0,0,68,2.0,trombone1
268.0,268.5,66,F#4,0.5,0,68,3.0,trombone1
273.0,273.5,66,F#4,0.5,0,69,4.0,trombone1
273.5,274.0,68,G#4,0.5,0,69,4.5,trombone1
274.0,275.0,69,A4,1.0,0,70,1.0,trombone1
275.0,276.0,68,G#4,1.0,0,70,2.0,trombone1
276.0,276.5,69,A4,0.5,0,70,3.0,trombone1
278.0,279.0,69,A4,1.0,0,71,1.0,trombone1
279.0,280.0,60,C4,1.0,0,71,2.0,trombone1
282.0,283.0,69,A4,1.0,0,72,1.0,trombone1
283.0,284.0,60,C4,1.0,0,72,2.0,trombone1
286.0,287.5,60,C4,1.5,0,73,1.0,trombone1
290.0,291.5,60,C4,1.5,0,74,1.0,trombone1
292.0,293.5,60,C4,1.5,0,74,3.0,trombone1
294.0,295.5,60,C4,1.5,0,75,1.0,trombone1
296.0,297.5,57,A3,1.5,0,75,3.0,trombone1
298.0,299.5,57,A3,1.5,0,76,1.0,trombone1
300.0,301.5,57,A3,1.5,0,76,3.0,trombone1
302.0,303.5,57,A3,1.5,0,77,1.0,trombone1
313.0,315.5,55,G3,2.5,0,79,4.0,trombone1
320.0,324.0,49,C#3,4.0,0,81,3.0,trombone1
324.0,328.5,50,D3,4.5,0,82,3.0,trombone1
415.0,416.0,54,F#3,1.0,0,105,2.0,trombone1
416.0,417.0,56,G#3,1.0,0,105,3.0,trombone1
417.0,418.0,58,A#3,1.0,0,105,4.0,trombone1
418.0,419.0,59,B3,1.0,0,106,1.0,trombone1
424.0,425.0,55,G3,1.0,0,107,3.0,trombone1
425.0,426.0,56,G#3,1.0,0,107,4.0,trombone1
426.0,427.0,57,A3,1.0,0,108,1.0,trombone1
427.0,428.0,59,B3,1.0,0,108,2.0,trombone1
428.0,429.0,60,C4,1.0,0,108,3.0,trombone1
429.0,430.0,61,C#4,1.0,0,108,4.0,trombone1
456.0,457.0,50,D3,1.0,0,115,3.0,trombone1
457.0,458.0,51,D#3,1.0,0,115,4.0,trombone1
458.0,459.0,52,E3,1.0,0,116,1.0,trombone1
459.0,460.0,54,F#3,1.0,0,116,2.0,trombone1
460.0,461.0,55,G3,1.0,0,116,3.0,trombone1
461.0,462.0,56,G#3,1.0,0,116,4.0,trombone1
532.0,533.0,54,F#3,1.0,0,134,3.0,trombone1
533.0,533.5,55,G3,0.5,0,134,4.0,trombone1
533.5,534.0,57,A3,0.5,0,134,4.5,trombone1
534.0,534.5,47,B2,0.5,0,135,1.0,trombone1
536.0,537.0,52,E3,1.0,0,135,3.0,trombone1
537.0,537.5,54,F#3,0.5,0,135,4.0,trombone1
537.5,538.0,55,G3,0.5,0,135,4.5,trombone1
538.0,538.5,54,F#3,0.5,0,136,1.0,trombone1
544.0,545.0,51,D#3,1.0,0,137,3.0,trombone1
545.0,545.5,52,E3,0.5,0,137,4.0,trombone1
548.0,549.0,54,F#3,1.0,0,138,3.0,trombone1
549.0,549.5,55,G3,0.5,0,138,4.0,trombone1
549.5,550.0,57,A3,0.5,0,138,4.5,trombone1
550.0,550.5,47,B2,0.5,0,139,1.0,trombone1
552.0,553.0,52,E3,1.0,0,139,3.0,trombone1
553.0,553.5,54,F#3,0.5,0,139,4.0,trombone1
553.5,554.0,55,G3,0.5,0,139,4.5,trombone1
554.0,554.5,54,F#3,0.5,0,140,1.0,trombone1
560.0,561.0,51,D#3,1.0,0,141,3.0,trombone1
561.0,561.5,52,E3,0.5,0,141,4.0,trombone1
564.0,566.0,54,F#3,2.0,0,142,3.0,trombone1
566.0,568.0,55,G3,2.0,0,143,1.0,trombone1
568.0,570.0,52,E3,2.0,0,143,3.0,trombone1
570.0,572.0,54,F#3,2.0,0,144,1.0,trombone1
572.0,574.5,54,F#3,2.5,0,144,3.0,trombone1
576.0,578.0,52,E3,2.0,0,145,3.0,trombone1
578.0,578.5,50,D3,0.5,0,146,1.0,trombone1
638.0,638.5,57,A3,0.5,0,161,1.0,trombone1
654.0,654.5,64,E4,0.5,0,165,1.0,trombone1
670.0,670.5,62,D4,0.5,0,169,1.0,trombone1
672.0,672.25,62,D4,0.25,0,169,3.0,trombone1
672.25,672.5,62,D4,0.25,0,169,3.25,trombone1
672.5,674.5,62,D4,2.0,0,169,3.5,trombone1
674.5,675.0,62,D4,0.5,0,170,1.5,trombone1
675.0,675.5,62,D4,0.5,0,170,2.0,trombone1
675.5,676.0,62,D4,0.5,0,170,2.5,trombone1
676.0,676.5,62,D4,0.5,0,170,3.0,trombone1
676.5,677.0,62,D4,0.5,0,170,3.5,trombone1
690.5,691.0,58,B-3,0.5,0,174,1.5,trombone1
691.0,691.5,53,F3,0.5,0,174,2.0,trombone1
691.5,692.0,60,C4,0.5,0,174,2.5,trombone1
