onset,offset,role
12,21,harm
36,45,harm
64,82,harm
83,92,rhythm+harm
125,147,rhythm+harm
156,164,mel
164,170,rhythm+harm
170,174,mel+harm
173,181,rthythm
180,214,rhythm+harm
214,230,rthythm
229,246,rhythm+harm
246,250,rthythm
250,262,mel+harm
262,266,rhythm+harm
270,276,rhythm+harm
276,278,harm
278,290,mel+harm
290,294,rhythm+harm
294,312,harm
338,350,mel
368,391,harm
396,474,rhythm+harm
474,494,rthythm
494,502,rhythm+harm
517,589,mel+harm
589,636,mel
636,665,harm
666,704,rhythm+harm
704,767,mel+harm
767,775,mel+harm
775,817,rthythm
841,843,harm
849,852,mel+harm
856,896,mel+harm
903,937,mel+harm
943,946,mel+harm
951,954,mel+harm
959,966,mel+harm
980,1015,mel+harm
1015,1063,rhythm+harm
1063,1071,mel+harm
1071,1101,rthythm
1101,1103,rhythm+harm
1116,1136,rhythm+harm
1136,1224,mel+harm
1243,1270,rthythm
1270,1324,mel+harm
1361,1408,rthythm
