onset,offset,role
116,153,mel
164,201,mel+harm
204,209,mel+harm
214,228,mel+harm
228,236,mel+harm
236,242,mel+harm
262,266,mel+harm
270,276,mel+harm
276,286,mel+harm
290,318,rhythm+harm
352,398,mel
398,427,rhythm+harm
427,431,mel
433,451,rhythm+harm
459,463,mel
464,474,rhythm+harm
474,491,rthythm
498,502,rhythm+harm
517,589,mel+harm
588,636,mel
636,652,harm
664,665,mel
666,721,rhythm+harm
735,767,rhythm+harm
767,775,rhythm+harm
775,814,rthythm
837,839,harm
849,852,mel+harm
857,937,mel+harm
943,946,mel+harm
951,954,mel+harm
959,1086,mel+harm
1086,1101,rthythm
1100,1103,rhythm+harm
1103,1117,rthythm
1117,1136,rhythm+harm
1136,1224,mel+harm
1242,1324,mel+harm
1361,1405,rthythm
